word,part_of_speechs
"เกาหลี","adjective"
"เน้น","verb"
"แบบ","noun,verb,adjective,preposition,particle,classifier"
"การแข่งขัน","noun"
"ของ","preposition,noun,verb"
"บ้านเรา","noun"
"จะ","verb,noun,adverb"
"แบบ","noun,verb,adjective,preposition,particle,classifier"
"รายการ","noun,classifier"
"วา","noun,verb"
"ไร","particle,noun,pronoun,adverb,interjection,verb,adjective"
"ตี้",""
"มากกว่า","adverb"
"ค่ะ","particle"
" ",""
"",""
"และ","conjunction"
"ของ","preposition,noun,verb"
"เกาหลี","adjective"
"คือ","verb,transitive,conjunction"
"ถ้า","conjunction"
"ไม่","particle"
"ดัง","adjective,adverb,verb"
"แล้ว","adverb,verb,pronoun"
"เข้า","verb,particle,transitive,intransitive,noun"
"รอบ","noun,adverb"
"ลึก","adjective,noun"
"ๆ",""
"เค้า","noun,pronoun,verb,intransitive"
"จะ","verb,noun,adverb"
"ชม","verb,transitive,intransitive,poetic,adjective,noun"
"กัน","adverb,conjunction,verb,transitive,noun,pronoun"
"มากๆเลย","adverb"
"ค่ะ","particle"
" ",""
"",""
"ไม่มี","adverb"
"ดราม่า","noun"
"ว่า","conjunction,verb"
"'",""
"ไม่","particle"
"ดัง","adjective,adverb,verb"
"เอามา","verb"
"ออก","noun,verb,transitive,adverb,intransitive,particle"
"ทำไม","adverb"
" ",""
"ไม่รู้","verb"
"จัก","verb,adjective"
"'",""
"ไร","particle,noun,pronoun,adverb,interjection,verb,adjective"
"แบบนี้","phrase"
"ค่ะ","particle"
" ",""
"",""
"แล้ว","adverb,verb,pronoun"
"คือ","verb,transitive,conjunction"
"ถ้า","conjunction"
"ไป","verb,transitive,intransitive,noun,adjective"
"รายการ","noun,classifier"
"นี้","adjective"
"แล้ว","adverb,verb,pronoun"
"=",""
"เพิ่ม","verb,noun"
"กระแส","noun,poetic,verb"
"ให้","verb,transitive,preposition,conjunction,noun,prefix"
"ตัว","noun,pronoun,particle,classifier"
"วง","noun"
"ได้","verb,transitive,noun,adverb,particle"
"ด้วย","adverb,preposition,conjunction,particle"
"ค่ะ","particle"
" ",""
"คนทั่วไป","noun"
"จะได้","verb"
"รู้จัก","verb"
"ด้วย","adverb,preposition,conjunction,particle"
"",""
