word,part_of_speechs
"ผม","pronoun,noun"
"เป็น","verb,transitive,intransitive,prefix,conjunction,preposition"
"ผู้ใช้","noun"
"บัตรเครดิต","noun"
" ",""
"KTC",""
" ",""
" ",""
"ทุกๆ","adjective"
"เดือน","noun,poetic"
"ผม","pronoun,noun"
"จะได้","verb"
"รับ","verb,adjective,transitive"
"ใบแจ้งหนี้","noun"
"บัตรเครดิต","noun"
" ",""
"และ","conjunction"
"มี","verb,transitive,noun,adjective"
"ใบ","noun,classifier"
"โปรโมชั่น","noun"
"ส่วนลด","noun"
"ร้านอาหาร","noun"
"แนบ","verb,transitive"
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"ด้วย","adverb,preposition,conjunction,particle"
"",""
"เมื่อ","adverb,preposition,conjunction"
"อาทิตย์ที่ผ่านมา","phrase,poetic"
" ",""
"ผม","pronoun,noun"
"อ่าน","verb,transitive,intransitive,noun,adjective"
"ใบ","noun,classifier"
"โปรโมชั่น","noun"
"นั้น","pronoun,adjective,preposition,adverb"
" ",""
"เห็น","verb,transitive,intransitive,adjective"
"ภาพ","noun"
"ปู","noun,verb"
"อ","prefix"
"ลา","verb,noun,adjective"
"สก้า",""
" ",""
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"ร้าน","noun,classifier"
" ",""
"Ho",""
" ",""
"Kitchen",""
" ",""
"Seafood",""
" ",""
"และ","conjunction"
"เขียน","verb,transitive,intransitive,noun,adjective"
"ว่า","conjunction,verb"
"ส่วนลด","noun"
" ",""
"10",""
"%",""
" ",""
" ",""
"ผม","pronoun,noun"
"จึง","conjunction"
"เกิด","verb,transitive,intransitive,noun,adjective"
"ความคิด","noun"
"อยาก","noun"
"พา","verb"
"คุณพ่อ","noun"
" ",""
"คุณแม่","noun"
"และ","conjunction"
"ครอบครัว","noun,classifier"
"ไป","verb,transitive,intransitive,noun,adjective"
"ทาน","noun,verb,transitive,intransitive"
"ทันที","adverb"
"ครับ","particle"
"",""
"",""
"รูป","noun,classifier,adjective"
"ใบ","noun,classifier"
"โปร","adjective"
"โม","particle"
"ชัน","adjective,noun,verb"
"ครับ","particle"
"",""
"",""
"",""
"",""
"และ","conjunction"
"ผม","pronoun,noun"
"ก็ได้","phrase"
"มี","verb,transitive,noun,adjective"
"โอา",""
"กา","verb,noun,adjective"
"ส",""
"พา","verb"
"คุณพ่อ","noun"
"คุณแม่","noun"
"และ","conjunction"
"ครอบครัว","noun,classifier"
"ไป","verb,transitive,intransitive,noun,adjective"
"ทานอาหาร","verb"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
" ",""
"Ho",""
" ",""
"Kitchen",""
" ",""
"นี้","adjective"
"ครับ","particle"
" ",""
"ทาง","noun,preposition,verb,classifier"
"ร้าน","noun,classifier"
"แจ้ง","verb,adjective,noun,adverb"
"ว่า","conjunction,verb"
"ปู","noun,verb"
"อ","prefix"
"ลา","verb,noun,adjective"
"ส",""
"ก้านั้น",""
"ขาย","verb,noun"
"ตาม","adverb,preposition,verb,transitive"
"น้ำหนัก","noun"
" ",""
"กิโล","noun"
"ละ","adjective,verb,particle,adverb"
" ",""
"4,500",""
" ",""
"บาท","noun,classifier"
" ",""
" ",""
"ตัว","noun,pronoun,particle,classifier"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"จับ","verb"
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"น้ำหนัก","noun"
" ",""
"2.6",""
" ",""
"กิโลกรัม","noun"
" ",""
"ก็","conjunction,particle,idiom"
"ตกลง","verb"
"สั่ง","verb,noun"
"ครับ","particle"
"",""
"อาหาร","noun"
"อร่อย","adjective"
" ",""
"บริการ","noun,verb"
"ดี","adjective,interjection,adverb,noun"
" ",""
"วิว","noun"
"แม่น้ำ","noun"
"สวย","adjective"
" ",""
"เป็น","verb,transitive,intransitive,prefix,conjunction,preposition"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"ประทับใจ","adjective"
" ",""
"แต่","conjunction,preposition,particle,verb"
"พอถึง","adverb"
"เวลา","noun,conjunction"
"ชำระเงิน","verb"
" ",""
"ทาง","noun,preposition,verb,classifier"
"ร้าน","noun,classifier"
"แจ้ง","verb,adjective,noun,adverb"
"ว่า","conjunction,verb"
" ",""
"ปู","noun,verb"
"อ","prefix"
"ลา","verb,noun,adjective"
"สก้า",""
" ",""
"ไม่","particle"
"ร่วม","verb,noun,adjective,adverb"
"รายการ","noun,classifier"
"ลด","verb"
" ",""
"10",""
"%",""
" ",""
"ลด","verb"
"ได้","verb,transitive,noun,adverb,particle"
"แต่","conjunction,preposition,particle,verb"
"อาหาร","noun"
"อย่าง","noun,adjective,prefix,classifier"
"อื่น","adjective,pronoun"
" ",""
"แม้ว่า","conjunction"
"ผม","pronoun,noun"
"จะ","verb,noun,adverb"
"แสดง","verb,noun"
"ใบ","noun,classifier"
"โปรโมชั่น","noun"
"นี้","adjective"
"ให้ทาง","verb"
"ร้าน","noun,classifier"
"ดู","verb,transitive,intransitive,adjective"
"แล้ว","adverb,verb,pronoun"
" ",""
" ",""
"",""
"แต่","conjunction,preposition,particle,verb"
"เมื่อ","adverb,preposition,conjunction"
"ทาง","noun,preposition,verb,classifier"
"ร้าน","noun,classifier"
