word,part_of_speechs
"ค่อยๆ","adverb"
"อธิบายความ","verb"
"จริง","adjective,adverb,noun"
"อีก","adverb,adjective"
"ด้าน","noun,adjective,classifier"
"ให้","verb,transitive,preposition,conjunction,noun,prefix"
"เค้า","noun,pronoun,verb,intransitive"
"ฟัง","verb,transitive,intransitive"
" ",""
"",""
"",""
"แต่","conjunction,preposition,particle,verb"
"เกิด","verb,transitive,intransitive,noun,adjective"
"อะไร","adverb,noun,pronoun"
"ขึ้น","verb,adverb,adjective,transitive"
"รู้","verb,intransitive,noun"
"ไหม","particle,adjective,noun"
"ฮะ","particle,interjection"
"ท่าน","pronoun,classifier"
"ผู้ชม","noun"
" ",""
".",""
".",""
".",""
".",""
" ",""
"",""
"",""
"ดิ","particle"
"ชั้น","noun,adjective,pronoun,classifier"
"ผิด","adjective,verb,noun"
"เต็ม","adjective,verb,transitive,adverb"
"ๆ",""
"เลย","adverb"
"ค่าาาา",""
" ",""
"โดน","verb"
"มัน","pronoun,noun,adjective,verb"
"ด่า","verb,transitive,intransitive"
"กลับมา","verb"
"ว่า","conjunction,verb"
" ",""
"โง่","adjective"
" ",""
"หูเบา","adjective,idiom"
" ",""
"เขลา","adjective,noun"
" ",""
"เอา","verb,interjection,adverb,particle"
"เข้าไป","verb"
" ",""
"มัน","pronoun,noun,adjective,verb"
"บอกว่า","verb"
"ไง","adverb"
"รู้","verb,intransitive,noun"
"มะ","prefix"
" ",""
"",""
"-",""
" ",""
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"รัฐบาล","noun"
"ตี","verb,transitive,noun"
"วัด","noun,verb"
" ",""
"เพราะ","conjunction,adjective"
"ถังแตก","verb,phrase,idiom"
" ",""
"จะเอา","verb"
"เงิน","noun,adjective"
"ของ","preposition,noun,verb"
"วัด","noun,verb"
"ไป","verb,transitive,intransitive,noun,adjective"
"ใช้","verb,transitive,noun,preposition"
"",""
"-",""
" ",""
"รัฐบาล","noun"
"จะ","verb,noun,adverb"
"ยกเลิก","verb"
"โครงการ","noun,classifier"
"30",""
"บาท","noun,classifier"
" ",""
"เลย","adverb"
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"เล่น","verb,noun,adjective,intransitive,transitive,adverb"
"เรื่องนี้","noun"
"กลบ","verb,transitive"
"ข่าว","noun"
" ",""
"",""
"-",""
" ",""
"ไทย","adjective,noun"
"จะเอา","verb"
"ศาสนา","noun,classifier"
"อิสลาม","adjective"
"เป็น","verb,transitive,intransitive,prefix,conjunction,preposition"
"ศาสนา","noun,classifier"
"ประจำชาติ","adjective"
" ",""
"เลย","adverb"
"ตี","verb,transitive,noun"
"ศาสนาพุทธ","noun"
"ให้","verb,transitive,preposition,conjunction,noun,prefix"
"แตก","verb,adjective,transitive,noun"
" ",""
"",""
"-",""
" ",""
"สื่อ","noun,verb"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"นำเสนอ","verb"
"เป็น","verb,transitive,intransitive,prefix,conjunction,preposition"
"ข่าว","noun"
"ปลอม","adjective,verb,intransitive,noun"
"ทั้งเพ","adverb"
" ",""
"",""
"-",""
" ",""
"หลวงพ่อ","noun"
"ของมัน","pronoun"
"ใช้","verb,transitive,noun,preposition"
"ยาสีฟัน","noun"
"หลอด","noun,classifier"
"ละ","adjective,verb,particle,adverb"
"30",""
"บาท","noun,classifier"
" ",""
".",""
".",""
".",""
".",""
" ",""
"จ้าา",""
" ",""
"",""
"-",""
" ",""
"ไม่มี","adverb"
"ห้อง","noun,classifier"
"ออกกำลังกาย","verb"
"สำหรับ","preposition,adjective"
"พระ","noun,pronoun,prefix"
" ",""
"ทุกอย่าง","adverb"
"สร้าง","verb,transitive,noun"
"ให้","verb,transitive,preposition,conjunction,noun,prefix"
"โยม","pronoun,prefix,noun"
"",""
"-",""
" ",""
"เพราะ","conjunction,adjective"
"วัด","noun,verb"
"จะ","verb,noun,adverb"
"เอื้อประโยชน์","verb"
"ให้","verb,transitive,preposition,conjunction,noun,prefix"
"โยม","pronoun,prefix,noun"
"ไง","adverb"
" ",""
"เลย","adverb"
"ต้องมี","verb"
"เงิน","noun,adjective"
"เยอะๆ","adverb"
" ",""
"",""
"-",""
" ",""
"หลวงพ่อ","noun"
"มัน","pronoun,noun,adjective,verb"
"โดน","verb"
"ใส่","verb,adjective,noun,preposition"
"ร้าย","adjective"
"ยยย",""
"",""
"สุดท้าย","adjective"
"ประโยค","noun,classifier"
"คลาสสิค","adjective"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"มัน","pronoun,noun,adjective,verb"
"ตะคอก","verb"
"เรา","pronoun"
"จ้าาาา",""
" ",""
"",""
""",""
"เธอ","pronoun"
"ไม่เคยมา","verb"
"วัด","noun,verb"
" ",""
"เธอ","pronoun"
"อย่ามา","verb"
"พูด","verb,intransitive,adjective,noun"
"ได้","verb,transitive,noun,adverb,particle"
"ปะ","verb,conjunction"
""",""
" ",""
" ",""
"โถ","noun"
"ถถถถ",""
" ",""
"ไอ้","interjection"
" ",""
"Wennnnnnnn ",""
"",""
"",""
"เรา","pronoun"
"เลิก","verb,adjective"
"เลย","adverb"
"ค่ะ","particle"
" ",""
"เลิก","verb,adjective"
"เลย","adverb"
" ",""
"มัน","pronoun,noun,adjective,verb"
"กู่","verb,noun"
"ไม่","particle"
"กลับ","verb,transitive,intransitive"
"แล้ว","adverb,verb,pronoun"
"จริงๆ","adjective"
"กับ","preposition,conjunction,adverb,noun"
"คน","noun,prefix,classifier,verb,adjective"
"แบบนี้","phrase"
" ",""
"คือ","verb,transitive,conjunction"
"มัน","pronoun,noun,adjective,verb"
"ไม่","particle"
"ยอม","verb,transitive,intransitive,noun"
"เปิด","verb,noun,adjective"
"ใจ","noun,verb,adjective,adverb"
"รับฟัง","verb"
"ความจริง","noun"
"อีก","adverb,adjective"
"ด้าน","noun,adjective,classifier"
" ",""
"เหมือน","adjective,conjunction,verb"
"ว่า","conjunction,verb"
" ",""
"โดน","verb"
"ครอบงำ","verb"
"ไปหมด","adverb,phrase"
"แล้ว","adverb,verb,pronoun"
" ",""
"",""
"คิดดู","verb"
"นะ","particle"
" ",""
"วันๆ","adverb"
"มัน","pronoun,noun,adjective,verb"
"ไป","verb,transitive,intransitive,noun,adjective"
"ปล่อย","verb,noun"
"แต่","conjunction,preposition,particle,verb"
"ปลา","noun"
" ",""
"บอก","verb,transitive,intransitive"
"จิตใจ","noun"
"จะ","verb,noun,adverb"
"บริสุทธิ์","adjective"
" ",""
"แล้ว","adverb,verb,pronoun"
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"ขอ","verb,noun,adjective"
"ตังค์","noun"
"เรา","pronoun"
"ใช้","verb,transitive,noun,preposition"
"จ้า","adjective"
" ",""
"คือ","verb,transitive,conjunction"
"มัน","pronoun,noun,adjective,verb"
"บอกว่า","verb"
"หลวงพ่อ","noun"
"มัน","pronoun,noun,adjective,verb"
"สอน","verb,noun"
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"ดี","adjective,interjection,adverb,noun"
" ",""
"ว่า","conjunction,verb"
"ต้อง","verb,adverb,preposition"
"ปล่อยปลา","verb,phrase"
"ออกไป","verb"
" ",""
"จิตใจ","noun"
"จะ","verb,noun,adverb"
"พ้น","verb,adverb"
"จาก","preposition,adjective,verb,noun"
"ทุกข์","noun"
" ",""
"ยังไง","adverb,phrase"
"ก็","conjunction,particle,idiom"
"ตามแต่","preposition"
"เถอะ","particle"
" ",""
"แต่","conjunction,preposition,particle,verb"
"เรา","pronoun"
"ไม่","particle"
"โอเค","adjective"
"อะ",""
" ",""
"",""
"",""
"นี่","pronoun,particle,interjection"
"ล่ะ","particle"
"เหตุผล","noun"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"เลิก","verb,adjective"
"กัน","adverb,conjunction,verb,transitive,noun,pronoun"
" ",""
"อาจ","adjective,verb,intransitive,adverb"
"ดู","verb,transitive,intransitive,adjective"
"ขำ","adjective,verb"
"นะ","particle"
" ",""
"แต่","conjunction,preposition,particle,verb"
"เรา","pronoun"
"ว่า","conjunction,verb"
"มัน","pronoun,noun,adjective,verb"
"เรื่อง","preposition,noun,verb,transitive,classifier"
"ใหญ่","adjective,adverb"
"เลย","adverb"
"ล่ะ","particle"
"คนๆ","noun"
"นึง","noun"
"โดน","verb"
"ลัทธิ","noun,classifier"
"นึง","noun"
"ครอบงำ","verb"
"",""
"",""
"หู","noun,verb"
"ยย",""
" ",""
"นอนหลับ","adjective"
"ไป","verb,transitive,intransitive,noun,adjective"
"แป้บ",""
"เดียว","adjective,noun"
" ",""
"กลับมา","verb"
"ดู","verb,transitive,intransitive,adjective"
" ",""
"มี","verb,transitive,noun,adjective"
"คน","noun,prefix,classifier,verb,adjective"
"กด","verb,noun,transitive"
"บวก","verb,adjective"
"ให้","verb,transitive,preposition,conjunction,noun,prefix"
"เต็มไปหมด","adverb"
" ",""
"กะ","preposition,adverb,verb,noun,conjunction"
"จะ","verb,noun,adverb"
"แค่","adverb"
"เข้ามา","verb"
"บ่น","verb,adjective"
"ๆ",""
"หา","verb,interjection"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"ระบาย","verb"
"เฉยๆ","adjective"
" ",""
"ฮ่าๆๆ","interjection"
"ๆ",""
" ",""
"",""
"มี","verb,transitive,noun,adjective"
"บางคน","pronoun,adverb"
"หลังไมค์","adjective,conjunction,phrase"
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"ว่า","conjunction,verb"
"อิ",""
"ชั้น","noun,adjective,pronoun,classifier"
"แต่งเรื่อง","verb"
"มโน","noun,adjective"
"ขึ้นมา","verb"
"เพราะ","conjunction,adjective"
"อิ",""
"ชั้น","noun,adjective,pronoun,classifier"
"เกลียด","verb,adjective"
" ",""
"Thamma",""
" ",""
"Guy",""
" ",""
"ขอบ","noun"
"อก","noun"
"ว่า","conjunction,verb"
"ไม่","particle"
"จริ๊",""
"งง","adjective,verb"
"ง",""
" ",""
"นี่","pronoun,particle,interjection"
"เป็น","verb,transitive,intransitive,prefix,conjunction,preposition"
"ข้อความ","noun"
"สุดท้าย","adjective"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"คุยกับ","verb"
"แฟน","noun"
"ค่า","noun"
" ",""
"",""
