word,part_of_speechs
"อยากมา","verb"
"แชร์","verb"
"ประสบการณ์","noun"
"ค่ะ","particle"
" ",""
"",""
"",""
"เรา","pronoun"
"คบ","verb,adjective,noun"
"กับ","preposition,conjunction,adverb,noun"
"ผู้ชาย","noun"
"คน","noun,prefix,classifier,verb,adjective"
"นึง","noun"
"ได้","verb,transitive,noun,adverb,particle"
"ปีก","noun"
"ว่า","conjunction,verb"
" ",""
" ",""
"ก่อนหน้านี้","adverb"
"รู้","verb,intransitive,noun"
"เพียงแค่","adverb,phrase"
"เค้า","noun,pronoun,verb,intransitive"
"เป็น","verb,transitive,intransitive,prefix,conjunction,preposition"
"คน","noun,prefix,classifier,verb,adjective"
"ฝักใฝ่","verb,intransitive"
"ธรรม","noun"
" ",""
"ชอบ","verb,adjective"
"ทางนี้","preposition"
" ",""
"เรา","pronoun"
"ก็","conjunction,particle,idiom"
"ไม่ว่า","conjunction"
"อะไร","adverb,noun,pronoun"
"นะ","particle"
"คะ","particle"
" ",""
"",""
"เค้า","noun,pronoun,verb,intransitive"
"ชอบไป","verb"
"วัด","noun,verb"
" ",""
"บอกว่า","verb"
"ไป","verb,transitive,intransitive,noun,adjective"
"ปล่อยปลา","verb,phrase"
" ",""
"ไป","verb,transitive,intransitive,noun,adjective"
"สวดมนต์","verb"
" ",""
"ไป","verb,transitive,intransitive,noun,adjective"
"เจริญ","verb,adjective,noun"
"สมาธิ","noun"
" ",""
"อะไร","adverb,noun,pronoun"
"ของ","preposition,noun,verb"
"เค้า","noun,pronoun,verb,intransitive"
"นั่น","preposition,noun,adverb,interjection"
"ล่ะ","particle"
"ค่ะ","particle"
" ",""
"อยู่","verb,transitive,intransitive,particle,noun"
"เป็นประจำ","adjective"
" ",""
"แต่","conjunction,preposition,particle,verb"
"ไม่เคยบอก","verb"
"เลย","adverb"
"ว่า","conjunction,verb"
"ไป","verb,transitive,intransitive,noun,adjective"
"วัด","noun,verb"
"ไหน","adverb,conjunction,pronoun"
" ",""
"",""
"เรา","pronoun"
"ก็","conjunction,particle,idiom"
"ไม่","particle"
"เคย","adverb,noun"
"ถาม","verb,transitive"
"ค่ะ","particle"
" ",""
"แต่","conjunction,preposition,particle,verb"
"ตัว","noun,pronoun,particle,classifier"
"เค้า","noun,pronoun,verb,intransitive"
"เอง","adjective,adverb,pronoun"
"ไม่","particle"
"คิด","verb,intransitive,noun,adjective"
"ที่จะ","conjunction"
"ทำงาน","verb"
" ",""
"อ้าง","verb"
"แต่ว่า","interjection"
"ไป","verb,transitive,intransitive,noun,adjective"
"นั่งสมาธิ","verb"
"ช่วย","verb,interjection,noun"
"ทำให้","verb,transitive"
"จิตใจ","noun"
"สงบ","adjective,verb,noun"
" ",""
"โดย","preposition,prefix"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"ไม่ไป","verb"
"ทำงาน","verb"
"ทำ","verb,noun,adjective"
"การ","noun,adverb"
" ",""
"วันๆ","adverb"
"ไป","verb,transitive,intransitive,noun,adjective"
"แต่","conjunction,preposition,particle,verb"
"วัด","noun,verb"
" ",""
"",""
"เรา","pronoun"
"เคย","adverb,noun"
"ทะเลาะกัน","verb"
"รุนแรง","adjective"
" ",""
"เพราะ","conjunction,adjective"
"เค้า","noun,pronoun,verb,intransitive"
"เอาแต่","adverb"
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"ยืม","verb"
"เงิน","noun,adjective"
"เรา","pronoun"
" ",""
"ค่าใช้จ่าย","noun"
"ต่างๆ","adjective,adverb"
" ",""
"แม้แต่","preposition"
"เงิน","noun,adjective"
"กินข้าว","verb"
" ",""
"เรา","pronoun"
"เลย","adverb"
"ว่า","conjunction,verb"
"เค้า","noun,pronoun,verb,intransitive"
"ไป","verb,transitive,intransitive,noun,adjective"
"ว่า","conjunction,verb"
" ",""
"การไป","noun"
"นั่งสมาธิ","verb"
" ",""
"ไป","verb,transitive,intransitive,noun,adjective"
"ปล่อยปลา","verb,phrase"
"เพียงอย่างเดียว","adverb"
" ",""
"ไม่ได้ทำ","verb"
"ให้","verb,transitive,preposition,conjunction,noun,prefix"
"เธอ","pronoun"
"มีเงิน","adjective"
"ขึ้นมา","verb"
"ได้","verb,transitive,noun,adverb,particle"
" ",""
" ",""
"เค้า","noun,pronoun,verb,intransitive"
"ก็","conjunction,particle,idiom"
"เงียบ","adjective,noun,verb,adverb"
"และ","conjunction"
"ซึม","verb,intransitive,adjective"
"ไป","verb,transitive,intransitive,noun,adjective"
" ",""
"สุดท้าย","adjective"
"เป็น","verb,transitive,intransitive,prefix,conjunction,preposition"
"เรา","pronoun"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"รู้สึกผิด","adjective"
"ใน","preposition"
"ตอนนั้น","adverb"
"ว่า","conjunction,verb"
"ไป","verb,transitive,intransitive,noun,adjective"
"ด่าว่า","verb"
"นักพรต","adjective"
"คน","noun,prefix,classifier,verb,adjective"
"ไหว้พระ","verb"
" ",""
"",""
"",""
"จน","preposition,conjunction,adjective"
"วัน","noun,adverb"
"นึง","noun"
" ",""
"เรา","pronoun"
"ก็","conjunction,particle,idiom"
"ถาม","verb,transitive"
"ว่า","conjunction,verb"
" ",""
"เธอ","pronoun"
"ไป","verb,transitive,intransitive,noun,adjective"
"วัด","noun,verb"
"ไหน","adverb,conjunction,pronoun"
" ",""
"ทำไม","adverb"
"ไม่เคยบอก","verb"
" ",""
"เค้า","noun,pronoun,verb,intransitive"
"ก็","conjunction,particle,idiom"
"พูด","verb,intransitive,adjective,noun"
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"ว่า","conjunction,verb"
" ",""
"Wat",""
" ",""
"thamma",""
" ",""
"Guy",""
" ",""
"ตอนนั้น","adverb"
"เรา","pronoun"
"นี่","pronoun,particle,interjection"
"หลุด","verb"
"ขำ","adjective,verb"
"ในใจ","adjective,adverb"
"ค่ะ","particle"
" ",""
"ไม่รู้","verb"
"เหมือนกัน","adjective,adverb"
"นะ","particle"
"คะ","particle"
" ",""
"ก็","conjunction,particle,idiom"
"ไม่ได้มี","verb"
"อคติ","noun"
" ",""
"แต่","conjunction,preposition,particle,verb"
"มัน","pronoun,noun,adjective,verb"
"ก็","conjunction,particle,idiom"
"ขำ","adjective,verb"
"ในใจ","adjective,adverb"
"อะ",""
" ",""
"",""
"",""
"เรา","pronoun"
"ก็","conjunction,particle,idiom"
"ไม่ได้","verb"
"ก้าวก่าย","verb"
"หรือ","conjunction,particle"
"ล่วง","verb"
"ล้ำ","adverb,verb"
"อะไร","adverb,noun,pronoun"
"เค้า","noun,pronoun,verb,intransitive"
"นะ","particle"
"คะ","particle"
" ",""
"คือ","verb,transitive,conjunction"
"ก็","conjunction,particle,idiom"
"รับรู้","verb,intransitive"
" ",""
"ว่า","conjunction,verb"
" ",""
"อ้อ","interjection"
" ",""
"เค้า","noun,pronoun,verb,intransitive"
"เป็น","verb,transitive,intransitive,prefix,conjunction,preposition"
"สาวก","noun"
"ของ","preposition,noun,verb"
"ที่นี่","preposition"
"นะ","particle"
" ",""
"ไม่เคยว่า","verb"
" ",""
"ไม่","particle"
"เคย","adverb,noun"
"ห้าม","adjective,verb"
" ",""
"ด้วย","adverb,preposition,conjunction,particle"
"ตอนนั้น","adverb"
"ยัง","adverb,verb,preposition,adjective"
"ไม่รู้","verb"
"ข้อมูล","noun"
"เบื้องลึก","noun"
"ของ","preposition,noun,verb"
"วัด","noun,verb"
"นี้","adjective"
"มาก","adjective,adverb,prefix"
" ",""
"",""
"",""
"แต่","conjunction,preposition,particle,verb"
"เมื่อ","adverb,preposition,conjunction"
"รอบ","noun,adverb"
"สัปดาห์","noun"
"ที่ผ่านมา","adverb"
" ",""
"เรื่อง","preposition,noun,verb,transitive,classifier"
"ของ","preposition,noun,verb"
"วัด","noun,verb"
"นี้","adjective"
"แดง","noun,adjective"
"ขึ้น","verb,adverb,adjective,transitive"
"เรื่อยๆ","adverb"
" ",""
"เรา","pronoun"
"เสพ","verb,noun"
"ข่าว","noun"
"แบบ","noun,verb,adjective,preposition,particle,classifier"
"เป็นกลาง","adjective"
" ",""
"ก็","conjunction,particle,idiom"
"รู้","verb,intransitive,noun"
"อะ",""
"ค่ะ","particle"
"ว่า","conjunction,verb"
"อะไร","adverb,noun,pronoun"
"เป็นอะไร","verb"
" ",""
"ตัว","noun,pronoun,particle,classifier"
"แฟน","noun"
"ไป","verb,transitive,intransitive,noun,adjective"
"เป็น","verb,transitive,intransitive,prefix,conjunction,preposition"
"การ์จ",""
"ที่นั่น","noun"
" ",""
"ต้อง","verb,adverb,preposition"
"อด","verb,noun"
"ข้าว","noun"
" ",""
"นอน","verb,intransitive"
"เสื่อ","noun"
" ",""
"นอน","verb,intransitive"
"มุ้ง","noun"
" ",""
" ",""
"แล้วก็","preposition"
"ไป","verb,transitive,intransitive,noun,adjective"
"ปะทะ","verb,transitive,intransitive,noun"
"กับ","preposition,conjunction,adverb,noun"
"จนท.","noun"
" ",""
"เจ็บเนื้อเจ็บตัว","verb,phrase"
"ไปหมด","adverb,phrase"
" ",""
"เห้อ","interjection"
" ",""
"คือ","verb,transitive,conjunction"
"เห็น","verb,transitive,intransitive,adjective"
"แล้ว","adverb,verb,pronoun"
"เพลีย","adjective"
"อะ",""
" ",""
"เลย","adverb"
"บอก","verb,transitive,intransitive"
"เค้า","noun,pronoun,verb,intransitive"
"ให้","verb,transitive,preposition,conjunction,noun,prefix"
"กลับมา","verb"
"เถอะ","particle"
" ",""
"แล้วก็","preposition"
