word,spell,type,meaning
ท.บ.,thaH haanR bohkL,abbreviation,[abbreviation for ทหารบก] army
ท.ร.,thaH haanR reuuaM,abbreviation,[abbreviation for ทหารเรือ] navy; sailor
ท.ส.,thaawM saawR,"proper noun, abbreviation",[abbreviation for พรรคไทยสร้างสรรค์]
ทก.,graL suaangM thaehkF no:hM lo:hM yeeM saaR raH sohnR thaehtF laeH gaanM seuuL saanR,"noun, abbreviation",[abbreviation for กระทรวงเทคโนโลยีสารสนเทศและการสื่อสาร]
ทกล้า,thaH glaaF,noun,soldier; warrier; braveheart
ทคผ.,thaawM khaawM phaawR,"proper noun, abbreviation",[abbreviation for พรรคแทนคุณแผ่นดิน]
ทงอี,thohngM eeM,proper noun,Dong Yi (famous historical drama from South Korea)
ทงัน,thaH nganM,,[alternate spelling of ตระหง่าน]
ทด ,thohtH,verb,to carry over; as in mathematical addition
ทด ,thohtH,"verb, transitive",to reciprocate; repay; give in return; recompense; reimburse
ทด ,thohtH,"verb, transitive",to irrigate
ทด ,thohtH,"verb, transitive",to substitute one thing for another; replace one thing with another
ทดท้อ,thohtH thaawH,adjective,[is] discouraged
ทดแทน,thohtH thaaenM,"verb, transitive",to return; pay back (an obligation); reward; compensate; recompense (for losses); indemnify; reimburse; replace (casualties); substitute for
ทดรอง,thohtH raawngM,"verb, transitive, intransitive",to pay in the expectation that one will be reimbursed; to advance (money to farmers); to give credit; to loan
ทดลองงาน,thohtH laawngM ngaanM,noun,probation prior to one’s employment
ทดเลข,thohtH laehkF,"verb, intransitive",to carry a number in addition
ทดเลขผิด,thohtH laehkF phitL,"verb, intransitive",to miscarry a number
ทดเวลา,thohtH waehM laaM,noun,injury time (out)
ทดสอบ ,thohtH saawpL,verb,"to test or quiz, to find the limits of, to try"
ทดถอย,thohtH thaawyR,"verb, intransitive",to decrease; to recede; to retreat
ทดน้ำ,thohtH naamH,"verb, intransitive",to dam up water; to pump up water; to supply irrigation; to irrigate
ทดลอง ,thohtH laawngM,verb,to experiment; test
ทดลอง ,thohtH laawngM,noun,[การทดลอง] an experiment; a trial; a test; experimentation
ทดลอง ,thohtH laawngM,adjective,[การทดลองใจ] [is] steadfast
ทดลองดู,thohtH laawngM duuM,verb,to test; try out
ทดลองแสดง,thohtH laawngM saL daaengM,verb,"to audition [for a part in a play, e.g.]"
ทดลองให้เห็นจริง,thohtH laawngM haiF henR jingM,"verb, phrase",demonstrate
ททท.,thaawM thaawM thaawM,abbreviation,[abbreviation for การท่องเที่ยวแห่งประเทศไทย] TAT
ททบ.,,abbreviation,[abbreviation for สถานีวิทยุโทรทัศน์กองทัพบก]
ทน ,thohnM,verb,to bear; stand; put up with; tolerate; endure; last
ทนขายหน้า,thohnM khaaiR naaF,,to endure shame or humiliation
ทนความยากแค้นครอบงำไม่ไหวคู่ชีวิตจึงทิ้งร้าง,thohnM khwaamM yaakF khaaenH khraawpF ngamM maiF waiR khuuF cheeM witH jeungM thingH raangH,example sentence,"""[His wife] could no longer tolerate the crushing poverty [which beset them]; she therefore deserted him."""
ทนเจ้านายบ่นทั้งปีเพื่อโบนัสปีใหม่แค่นี้แหล่ะ,thohnM jaoF naaiM bohnL thangH bpeeM pheuuaF bo:hM natH bpeeM maiL khaaeF neeH haaeR laF,example sentence,"""[He] had to tolerate his bosses complaints all year long just to get a New Years bonus for such a [miserly] amount."""
ทนทรมาน,thohnM thaawM raH maanM,"verb, intransitive, phrase, formal",to suffer
ทนทาน ,thohnM thaanM,adjective,[is] durable; enduring
ทนทาน ,thohnM thaanM,verb,to endure; to last
