word,spell,type,meaning
จ.,wanM janM,"proper noun, abbreviation",[abbreviation for วันจันทร์ ] Monday
จ.,wanM janM,"noun, abbreviation",[dictionary abbreviation for] ภาษาจีน; (Chinese)
จ.,wanM janM,abbreviation,"[written abbreviation for] จังหวัด , province"
จ.,jeenM,,[alternate pronunciation of จ.]
จ.,jangM watL,,[alternate pronunciation of จ.]
จ.ต.,jaaL dtreeM,"noun, abbreviation",[abbreviation for จ่าอากาศตรี and จ่าตรี]
จ.ท.,jaaL tho:hM,"noun, abbreviation",[abbreviation for จ่าอากาศโท or จ่าโท]
จ.ป.ร.,jaawM bpaawM raawM,,[alternate spelling of จปร.]
จ.ศ.,,abbreviation,[abbreviation for จุลศักราช]
จ.ส.ต.,jaaL sipL dtreeM,"noun, abbreviation",[abbreviation for จ่าสิบตรี]
จ.ส.ท.,jaaL sipL tho:hM,"noun, abbreviation",[abbreviation for จ่าสิบโท]
จ.ส.อ.,jaaL sipL aehkL,"noun, abbreviation",[abbreviation for จ่าสิบเอก]
จ.อ.,jaaL aehkL,"noun, abbreviation",[abbreviation for จ่าอากาศเอก and จ่าเอก]
จก,johkL,,to snatch up; to pick out; to dig with the hands
จขกท.,jaawM khaawR gaawM thaawM,"noun, abbreviation",[abbreviation for เจ้าของกระทู้] OP
จขคห.,jaawM khaawR khaawM haawR,"noun, abbreviation",[abbreviation for เจ้าของความเห็น] OP
จขบ.,jaawM khaawR baawM,"noun, colloquial, abbreviation","[abbreviation for เจ้าของบล็อก] ""blogger"" or ""owner of a blog site"
จง ,johngM,auxiliary verb,[auxiliary verb used to indicate a command or order] should; ought to
verb,[จงใจ] to intend; plan; design; mean,,
noun,[ความจงใจ] intention; aim; purpose,,
จงกินเสียเถิด เพราะนี่คือร่างกายของเรา,johngM ginM siiaR theertL phrawH neeF kheuuM raangF gaaiM khaawngR raoM,example sentence,"Eat it, for this is my body."" (Mt 26: 26)."
จงเกลียดจงชัง,johngM gliiatL johngM changM,verb,to hate; detest
จงใจ,johngM jaiM,verb,[จงใจ] to intend; plan; design; mean
จงซื่อสัตย์กับคู่รักของคุณและตัวคุณเอง แล้วความรู้สึกดี ๆ ก็จะตามมา,johngM seuuF satL gapL khuuF rakH khaawngR khoonM laeH dtuaaM khoonM aehngM laaeoH khwaamM ruuH seukL deeM deeM gaawF jaL dtaamM maaM,example sentence,"[You] need to be honest with the one you love and with yourself; and, if you are, you will feel better."
จงดู ,johngM duuM,"interjection, phrase",Look!
จงเตรียมพร้อม,johngM dtriiamM phraawmH,phrase,"(the Boy Scout motto) ""Be prepared!"
จงปฏิบัติต่อผู้อื่นดังเช่นที่เราต้องการให้ผู้อื่นปฏิบัติต่อเรา,johngM bpaL dtiL batL dtaawL phuuF euunL dangM chenF theeF raoM dtawngF gaanM haiF phuuF euunL bpaL dtiL batL dtaawL raoM,example sentence,Do unto others as you would have them do unto you.
...จงเป็นไปเพื่อประโยชน์ และความสุขแก่ข้าพเจ้าสิ้นกาลนานเทอญ,johngM bpenM bpaiM pheuuaF bpraL yo:htL laeH khwaamM sookL gaaeL khaaF phaH jaoF sinF gaaM laH naanM theernM,example sentence,...bring rewards and happiness to me forever.
จงพากเพียรไปเถิดจักเกิดผล,johngM phaakF phiianM bpaiM theertL jakL geertL phohnR,"example sentence, idiom",Hard work pays.
จงฟัง,johngM fangM,interjection,Listen!
จงรักภักดี,johngM rakH phakH deeM,"adjective, phrase",[is] faithful to one's master; keep the faith with; [is] loyal to
จงรักภักดีกับ,johngM rakH phakH deeM gapL,verb,"Bear with me."" — keep faith with (someone)"
จงอย่าบอกรักใครเพียงเพื่อครอบครอง แต่จงบอกรักเมื่อคุณรู้สึกอย่างนั้นจริง ๆ,johngM yaaL baawkL rakH khraiM phiiangM pheuuaF khraawpF khraawngM dtaaeL johngM baawkL rakH meuuaF khoonM ruuH seukL yaangL nanH jingM jingM,example sentence,Do not profess that you love someone solely to possess [your intended]; but you should tell her that you love her when you really feel that you do [love her].
จงกรม,johngM grohmM,verb,to walk back and forth; excercise while walking; walking meditation
จงอาง,johngM aangM,noun,[งูจงอาง] king cobra snake
จชด.,jaawM chaawM daawM,"noun, abbreviation",[abbreviation for จังหวัดชายแดน]
จด ,johtL,verb,to take note; to jot down
verb,to touch; to abut; to reach out to,,
verb,to enjoin,,
verb,[is] contiguous; to adjoin; border,,
จดจ่อ ,johtL jaawL,"verb, intransitive, phrase",to concentrate; to contemplate; to focus
จด ๆจ้อง ๆ,johtL jaawngF,verb,to hesitate
จด ๆจ้อง ๆ,johtL jaawngF,adjective,[is] unsure; irresolute
จดจำ,johtL jamM,verb,to memorize; remember purposely; imprint on one's memory
จดจำไม่รู้ลืม,johtL jamM maiF ruuH leuumM,"verb, phrase",to remember forever; never forget
จดจำไว้ ถึงวันเก่า ๆ,johtL jamM waiH theungR wanM gaoL,example sentence,[Please] remember the old days.
จดจำไว้ เพื่อนยังไม่ลืม,johtL jamM waiH pheuuanF yangM maiF leuumM,example sentence,"Please remember me; [I], your friend, will not forget."
จดจำไว้ เพื่อนยังไม่ลืม,johtL jamM waiH pheuuanF yangM maiF leuumM,example sentence,"Just remember, you friend will never forget you."
จดทะเบียน ,johtL thaH biianM,verb,to register
จดทะเบียนถูกต้องตามกฎหมาย,johtL thaH biianM thuukL dtawngF dtaamM gohtL maaiR,"adjective, phrase",legitimately registered
จดทะเบียนสมรส,johtL thaH biianM sohmR rohtH,"verb, phrase",to register a marriage
จดบันทึก,johtL banM theukH,verb,to take notes; notate
จดลิขสิทธิ์,johtL likH khaL sitL,,to record a copyright
จดไว้ ,johtL waiH,verb,to make a note; write down
จดสิทธิบัตร,johtL sitL thiH batL,verb,[จดสิทธิบัตร] to register a patent
จดหมาย ,johtL maaiR,noun,postal letter; mail; a letter
จดหมายเขียนเสร็จแล้วครับ ,johtL maaiR khiianR setL laaeoH khrapH,example sentence,"[spoken by male] ""I have finished the letter."
,,,
จดหมายเปิดผนึก,johtL maaiR bpeertL phaL neukL,noun,an open letter; a publicly disclosed letter
จดหมายรับรอง,johtL maaiR rapH raawngM,noun,letter of recommendation (for both study or job)
จดหมายลงทะเบียน ,johtL maaiR lohngM thaH biianM,noun,registered letter
จดหมายลาตาย,johtL maaiR laaM dtaaiM,noun,suicide note
จดหมายเสร็จแล้วหรือยัง ,johtL maaiR setL laaeoH reuuR yangM,example sentence,Have you finished the letter yet?
จดหมายเหตุ,johtL maaiR haehtL,"noun, phrase, formal",memorial; written account; annal; record
จดหมายอากาศ,johtL maaiR aaM gaatL,noun,aerogram
จดหมายอิเล็กทรอนิกส์ ,johtL maaiR iL lekH thraawM nikH,"noun, colloquial",electronic mail; e-mail
จดหมายอีเลคโทรนิคส์,johtL maaiR eeM laehkF tho:hnM nikH,noun,e-mail
จตุ,jaL dtooL,prefix,[prefix meaning] quadri-
จตุคามรามเทพ,jaL dtooL khaamM raamM thaehpF,proper noun,[name of a] popular amulet in Thailand; Catugamaramadeva
จตุธาตุ,jaL dtooL thaatF,noun,four elements
จตุปัจจัย,jaL dtooL bpatL jaiM,noun,[จตุปัจจัย] the four necessities of life (Buddhism)
จตุจักร ,jaL dtooL jakL,proper noun,Chatuchuk
proper noun,[เขตจตุจักร] [administrative district of Bangkok] Chatuchak,,
