word,spell,type,meaning
ยก ,yohkH,verb,to raise; to hoist (up); to revoke; to advance; to abolish; to elevate; to lift; to erect
ยก ,yohkH,verb,"to give bequeath, or bestow"
ยก ,yohkH,verb,mathematical exponentiation; to raise to a power
ยก ,yohkH,noun,[boxing] a round
ยก ,yohkH,verb,to abolish; discontinue; revoke; cancel
ยก ,yohkH,noun,a [certain] volume of timber
ยก ,yohkH,noun,[printing] set of proofing pages
ยก ,yohkH,"noun, ancient","[ผ้ายก] brocade, a [certain type of] fabric woven with an elaborate textured design often containing golden thread"
ยก ,yohkH,noun,a sequence of events
ยกกำลัง ,yohkH gamM langM,noun,mathematical exponentiation; power function
ยกกำลังสอง,yohkH gamM langM saawngR,adjective,raised to the second power; squared
ยกขบวน,yohkH khaL buaanM,verb,to come in crowds; throng; crowd; flock to
ยกขึ้น ,yohkH kheunF,verb,to pull up; to raise up
ยกโขยง,yohkH khaL yo:hngR,verb,to come in crowds; throng; crowd; flock to
ยกคดี ,yohkH khaH deeM,verb,to dismiss a lawsuit
ยกเครื่อง,yohkH khreuuangF,verb,to overhaul; rebuild; fix; renew; renovate; restore
ยกเครื่อง,yohkH khreuuangF,verb,to have cosmetic surgery to enhance one's beauty
ยกเค้า,yohkH khaaoH,"verb, phrase",to steal everything; completely take away; burgle
ยกซด,yohkH sohtH,"noun, verb, colloquial","[colloquial slang for] ""to perform cunnilingus"" (the act or practice of orally stimulating the female genitals)"
ยกฐานะ,yohkH thaaR naH,verb,promote; to raise one's relative position or status
ยกเดียวจอด,yohkH diaaoM jaawtL,"noun, phrase",a one round knockout
ยกตนข่มท่าน,yohkH dtohnM khohmL thanF,"verb, phrase",to bluster; make oneself superior to others
ยกตัว,yohkH dtuaaM,verb,to praise or exalt oneself; to puff oneself up
ยกตัวอย่าง ,yohkH dtuaaM yaangL,adverb,for example; for instance
ยกตัวอย่าง,yohkH dtuaaM yaangL,verb,to give as an example; illustrate
ยกทรง ,yohkH sohngM,noun,bra; brassiere
ยกทหาร,yohkH thaH haanR,"verb, intransitive",to advance troops
ยกทัพ,yohkH thapH,"verb, intransitive",to advance an army
ยกโทษ ,yohkH tho:htF,verb,to forgive
ยกโทษให้ ,yohkH tho:htF haiF,verb,to forgive someone
ยกธง,yohkH thohngM,phrase,to surrender; yield; give up; accept defeat
ยกน้ำหนัก,yohkH namH nakL,verb,[ยกน้ำหนัก] to lift weights
ยกนิ้ว,yohkH niuH,"verb, intransitive",to agree
ยกบ้าน,yohkH baanF,"verb, intransitive",to erect a house
ยกพล,yohkH phohnM,verb,to dispatch or advance or move the army or troops
ยกพวก,yohkH phuaakF,"verb, intransitive",to assemble a force
ยกมาบางส่วน,yohkH maaM baangM suaanL,verb,to extract; excerpt
ยกมือขึ้น,yohkH meuuM kheunF,verb,to raise one’s hands
ยกมือขึ้น,yohkH meuuM kheunF,example sentence,"""(imperative) “Raise your hand.”; (crime) “Hands up!”."""
ยกเมฆ,yohkH maehkF,verb,to trump up; lie; fib; invent; think up; concoct; invent; misrepresent
ยกไม่ไหว,yohkH maiF waiR,"verb, phrase",[is] unable to lift
ยกยอ,yohkH yaawM,"verb, transitive, intransitive, phrase, colloquial","to glorify, praise, laud or flatter (insincerely)"
ยกยอ,yohkH yaawM,"verb, transitive, intransitive, phrase, colloquial",to raise a fish trap from the water (to see if the fish is caught)
ยกยอปอปั้น,yohkH yaawM bpaawM bpanF,"verb, transitive, intransitive, phrase, colloquial, idiom",to praise; glorify; flatter; laud; give; bestow (showing disapproval)
ยกระดับ,yohkH raH dapL,noun,upgrade
ยกระดับ,yohkH raH dapL,adjective,[is] elevated; raised
ยกระดับ,yohkH raH dapL,verb,to raise the level
ยกลง ,yohkH lohngM,verb,pick up and set down (something from a higher to lower position)
ยกเลิก ,yohkH leerkF,verb,to cancel; abandon
ยกเลิก,yohkH leerkF,verb,to return to the prior state (computer command); Ctrl+Z
ยกเว้น ,yohkH wenH,"adjective, verb, preposition, conjunction",except; unless; exempt; to exempt
ยกเว้น,yohkH wenH,verb,to exempt; except
...ยกเว้นกรณีคนขอนแก่นยังชอบจอดรถซ้อนสองคันหรือสามคัน เลยทำให้รถราติดโดยไม่จำเป็น,yohkH wenH gaL raH neeM khohnM khaawnR gaenL yangM chaawpF jaawtL rohtH saawnH saawngR khanM reuuR saamR khanM leeuyM thamM haiF rohtH raaM dtitL dooyM maiF jamM bpenM,example sentence,"""...except for the fact that the people of Khon Kaen still like to double- or triple-park their cars, unnecessarily impeding the traffic flow."""
ยกเว้นแต่ว่ารัฐจะเข้ามาแทรกแซงด้วยการจำนำข้าวหรือประกันราคาข้าว,yohkH wenH dtaaeL waaF ratH jaL khaoF maaM saaekF saaengM duayF gaanM jamM namM khaaoF reuuR bpraL ganM raaM khaaM khaaoF,example sentence,"""[This is true] except when the government steps in with rice pledging schemes or price guarantees."""
"ยกเว้นหน้าที่เดียวที่ฟ้าใสโยนให้เป็นภาระของผม...""จ่ายเงิน"" ครับ",yohkH wenH naaF theeF diaaoM theeF faaH saiR yo:hnM haiF bpenM phaaM raH khaawngR phohmR jaaiL ngernM khrapH,example sentence,"""[That is] except one duty which Fasai transferred back to be my burden – paying [for the trip]."""
ยกสมอ,yohkH saL maawR,"verb, intransitive",to weigh anchor
ยกหัวแม่มือ,yohkH huaaR maaeF meuuM,,"to give the ""thumbs up"" to"
ยกหู,yohkH huuR,verb,to pick up the telephone
ยกหูต่อสายโทรศัพท์พูดคุยกับ,yohkH huuR dtaawL saaiR tho:hM raH sapL phuutF khuyM gapL,"verb, phrase",to pick up the telephone and conntect to (someone)
ยกหูโทรศัพท์ถึง,yohkH huuR tho:hM raH sapL theungR,"verb, phrase",to pick up the phone and call to (someone)
ยกให้,yohkH haiF,verb,to transfer
ยกใหญ่,yohkH yaiL,adverb,so much; extremely
ยกย่อง ,yohkH yaawngF,verb,to praise; respect
adjective,[น่ายกย่อง] exemplary; praiseworthy,,
noun,[การยกย่อง] glorification,,
ยง ,yohngM,adjective,courageous; stable; durable
adjective,[is] pretty,,
ยติภังค์,yaH dtiL phangM,,[alternate spelling of ยัติภังค์]
ยถากรรม,yaH thaaR gamM,noun,fate; chance; random; destiny
ยธ.,grohmM yo:hM thaaM thiH gaanM,"noun, abbreviation",[abbreviation for กรมโยธาธิการ]
"noun, abbreviation",[abbreviation for กระทรวงยุติธรรม],,
ยธ.,graL suaangM yootH dtiL thamM,,[alternate pronunciation of ยธ.]
ย่น ,yohnF,adjective,[is] wrinkled; crumpled; rough; rumpled
verb,to shorten; abridge; truncate,,
verb,[ทำให้ย่น] to wrinkle,,
ย่นคิ้ว,yohnF khiuH,"verb, phrase",to frown
ย่นย่อ,yohnF yaawF,adjective,[is] condensed; abridged
ยนต์ ,yohnM,adjective,[is] powered; motorized; mechanical
noun,mechanical device; engine; machine; mechanical instrument; motor; device; contrivance,,
