word,spell,type,meaning
ณ,naH,preposition,in; at; on; by; from
ณ ที่... ,naH theeF,phrase,at the place of...
ณที่นี้,naH theeF neeH,adverb,at this time; here; on this occasion
ณ บัดนี้,naH batL neeH,adverb,here and now
ณ เมืองแห่งหนึ่งซึ่งกำลังจะเกิดสงครามขึ้น เหล่าทหารทั้งหลายจึงต้องเตรียมพร้อมทำสงคราม,naH meuuangM haengL neungL seungF gamM langM jaL geertL sohngR khraamM kheunF laoL thaH haanR thangH laaiR jeungM dtawngF dtriiamM phraawmH thamM sohngR khraamM,example sentence,"""In a country where war was imminent, soldiers were preparing themselves for battle."""
ณ วัน... ,naH wanM,phrase,on the day of...
ณรงค์,naH rohngM,verb,to campaign
ณรงค์,naH rohngM,noun,[การณรงค์] a campaign
ณรงค์,naH rohngM,noun,[Thai man's given name] Narong
ณรงค์ศักดิ์,naH rohngM sakL,proper noun,Narongsak [a Thai given name]
ณอ ,naawM,,[pronunciation of the 19th letter of the Thai alphabet]
ณัฎฐา,natH thaaR,proper noun,Nuttha [a Thai given name]
ณัฏฐสิทธิ์,natH thaL sitL,proper noun,Nattasit [Thai male given name]
ณัฐ,natH,proper noun,Nat; Nut [a Thai male nickname]
ณัฐิมา,natH thiL maaM,proper noun,Nuttima [a Thai given name]
ณี,neeM,proper noun,Nee [a Thai female given name or nickname]
เณร ,naehnM,noun,Buddhist novice or monk [typically] below the age of twenty; title used to refer to a novice
"เณรเคาะประตูได้ยินเสียง ""เชิญ"" เลื่อนประตูออก เห็นหลวงพ่อกำลังนั่งจิบชาอ่านหนังสือพิมพ์ ",naehnM khawH bpraL dtuuM daiF yinM siiangR cheernM leuuanF bpraL dtuuM aawkL henR luaangR phaawF gamM langM nangF jipL chaaM aanL nangR seuuR phimM,example sentence,"""The novice knocked on the door; hear a voice asking him to enter. He opened the door and saw the monk sitting and sipping tea while reading the newspaper."""
