word,spell,type,meaning
อ,aL,prefix,[a prefix meaning] non-; un-; im-; anti-
อกตัญญู,aL gaL dtanM yuuM,adjective,[อกตัญญู] [is] ungrateful
อเทวนิยม,aL thaehM waH niH yohmM,noun,atheism
อธรรม,aL thamM maH,adjective,[is] unrighteous; irreligious; wicked; unjust; bad; evil; lawless
อธรรม,aL thamM maH,noun,lawlessness; impiety; evil; wickedness; immorality
อนิยม,aL niH yaH maH,adjective,[is] transitory; unconventional; unusual; non-conforming
อนิยมวิเศษณ์,aL niH yaH maH wiH saehtL,noun,[Thai grammar] indefinite modifier
อยุติธรรม,aL yootH dtiL thamM,adjective,[อยุติธรรม] [is] unfair; unjust
อรูปภพ,aL ruupF phohpH,"noun, phrase, formal, loanword, Pali",[Buddhism] the World of the Brahma without form (i.e. possessing no bodies but minds); formless world; immaterial sphere
อรูปโลก,aL ruupF bpaL lo:hkF,noun,[Buddhism] the World of the Brahma without form (i.e. possessing no bodies but minds); formless world; immaterial sphere
อสมมาตร,aL sohmR maatF,adjective,[is] asymmetrical
อสังหาริมทรัพย์ ,aL sangR haaR rimM maH sapH,noun,real estate; real property
อสัญญี,aL sanR yeeM,adjective,unconscious; anesthetized
อสุรกาย,aL sooL raH gaaiM,"phrase, formal, loanword, Pali",monster; demons; spectres; phantoms; ghosts
อสุรกายแฟรงเก็นสไตน์,aL sooL raH gaaiM fraaengM genM saL dtaiM,"noun, proper noun, loanword, English",the Frankenstein monster
อ.,wanM angM khaanM,"proper noun, abbreviation",[abbreviation for วันอังคาร ] (Tuesday)
พ.,wanM angM khaanM,abbreviation,[abbreviation for อำเภอ ] (geographical administrative district)
พฤ.,wanM angM khaanM,abbreviation,[abbreviation for อาจารย์ ] (Professor or Teacher)
ศ.,wanM angM khaanM,abbreviation,[dictionary abbreviation for ภาษาอังกฤษ] (English)
ส.,wanM angM khaanM,"noun, abbreviation",[abbreviation for อุทาน ] an exclamation
อ.,amM phuuhrM,,[alternate pronunciation of อ.]
อ.,aaM jaanM,,[alternate pronunciation of อ.]
