word,spell,type,meaning
ธ,thaH,pronoun,[3rd person pronoun used for referencing royalty] He
ธ,thaH,"pronoun, archaic",[archaic] [2nd or 3rd person pronoun] you; he; she
ธ.ค.,thanM waaM khohmM,"proper noun, abbreviation",[written abbreviation for ธันวาคม ] December
ธกส.,thaawM gaawM saawR,"proper noun, abbreviation",[abbreviation for ธนาคารเพื่อการเกษตร และสหกรณ์การเกษตร]
ธง ,thohngM,noun,flag
ธงขาว,thohngM khaaoR,noun,the white flag
ธงคำตอบ,thohngM khamM dtaawpL,noun,"the answer key to an examination [, especially] in law school"
ธงแคนาดา ,thohngM khaaeM naaM daaM,noun,[ธงแคนาดา] Canadian flag
ธงช้าง,thohngM chaangH,noun,the former Thai flag with the figure of an elephant in the middle
ธงชาติ,thohngM chaatF,noun,national flag
ธงแดง,thohngM daaengM,noun,the Red Flag of communism; a red flag used in signalling
ธงไตรรงค์ ,thohngM dtraiM rohngM,noun,"the official Thai flag of three colors originated by King Mongkut or King Rama VI. Red represents the Kingdom; white religion; and blue, the King"
ธงที่ปักอยู่ข้างนอกก็โบกปลิวอยู่ไปมา,thohngM theeF bpakL yuuL khaangF naawkF gaawF bo:hkL bpliuM yuuL bpaiM maaM,example sentence,"""The flag which was planted outside was blowing vigorously [in the wind]."""
ธงนำ,thohngM namM,noun,standard or banner (referring to a flag) (lit.)
ธงนำ,thohngM namM,noun,the primary issue (fig.)
ธงประเทศไทย  ,thohngM bpraL thaehtF thaiM,noun,the flag of Thailand
ธงสหประชาชาติ ,thohngM saL haL bpraL chaaM chaatF,noun,[ธงสหประชาชาติ] flag of the United Nations
ธงเหลือง ,thohngM leuuangR,noun,the yellow flag; quarantine flag
ธงอเมริกัน,thohngM aL maehM riH ganM,noun,"the Stars and Stripes, American flag"
ธงอังกฤษ ,thohngM angM gritL,noun,the Union Jack; British flag
ธงชัย,thohngM chaiM,proper noun,Thongchai [a Thai given name]
ธน,thohnM,"noun, formal, poetic, loanword, Pali",treasure; wealth; property; money; currency; possessions
ธน,thaH naH,,[alternate pronunciation of ธน]
ธนบัตร ,thaH naH batL,"noun, phrase, loanword, Pali",[formal term] bill; banknote; currency notebank; notes; paper currency
ธน.,,abbreviation,[abbreviation for กรมพระธรรมนูญ]
ธนชาต,thohnM chaatF,proper noun,Thanachart Bank
ธนบุรี,thohnM booL reeM,"proper noun, geographical",[เขตธนบุรี] [administrative district of Bangkok] Tonburi
ธนสาร,thohnM saanR,noun,property; possessions; wealth; assets
ธนัชชา,thaH natH chaaM,proper noun,Thanatcha [Thai female given name]
ธนา,thaH naaM,,[alternate spelling of ธน]
ธนากร,thaH naaM gaawnM,proper noun,Thanakorn [a Thai given name]
ธนาคาร ,thaH naaM khaanM,noun,bank
ธนาคารกรุงไทย,thaH naaM khaanM groongM thaiM,proper noun,Krung Thai Bank
ธนาคารกรุงศรีอยุธยา,thaH naaM khaanM groongM seeR aL yootH thaH yaaM,proper noun,Bank of Ayudhya
ธนาคารกรุงเทพ,thaH naaM khaanM groongM thaehpF,"noun, proper noun",Bangkok Bank
ธนาคารกรุงเทพจะเปิดสาขาใหม่ที่นี่,thaH naaM khaanM groongM thaehpF jaL bpeertL saaR khaaR maiL theeF neeF,example sentence,"""Bangkok bank will open a new branch right here."""
ธนาคารกลาง,thaH naaM khaanM glaangM,noun,a central bank
ธนาคารกสิกรไทย,thaH naaM khaanM gaL siL gaawnM thaiM,proper noun,Thai Kasikorn (Farmer's) Bank
ธนาคารการพาณิชย์,thaH naaM khaanM gaanM phaaM nitH,noun,a commercial bank
ธนาคารเกียรตินาคิน,thaH naaM khaanM giianM dtiL naaM khinM,proper noun,[ธนาคารเกียรตินาคิน] [name of a Thai bank] Kiatnakit
ธนาคารชาติ,thaH naaM khaanM chaatF,noun,national bank
ธนาคารชาร์เตอร์ ,thaH naaM khaanM chaaM dtuuhrM,proper noun,Charter Bank
ธนาคารตีราคาบ้านหลังนั้นไว้ที่ราคาสองล้านบาท,thaH naaM khaanM dteeM raaM khaaM baanF langR nanH waiH theeF raaM khaaM saawngR laanH baatL,example sentence,"""The bank appraised the value of that home at 2 million baht."""
ธนาคารทหารไทย,thaH naaM khaanM thaH haanR thaiM,proper noun,Thai Military Bank
ธนาคารไทยทนุ,thaH naaM khaanM thaiM thaH nooH,proper noun,Thai Danu Bank
ธนาคารไทยพาณิชย์,thaH naaM khaanM thaiM phaaM nitH,proper noun,Siam Commercial Bank
ธนาคารธนชาต,thaH naaM khaanM thohnM chaatF,proper noun,Thanachart Bank
ธนาคารนครหลวงไทย,thaH naaM khaanM naH khaawnM luaangR thaiM,proper noun,Siam City Bank
ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย,thaH naaM khaanM phatH thaH naaM wiH saaR haL gitL khaL naatL glaangM laeH khaL naatL yaawmF haengL bpraL thaehtF thaiM,"noun, proper noun",Small and Medium Sized Enterprise Development Bank of Thailand
ธนาคารพาณิชย์,thaH naaM khaanM phaaM nitH,noun,commercial bank
ธนาคารเพื่อการเกษตร และสหกรณ์การเกษตร,thaH naaM khaanM pheuuaF gaanM gaL saehtL laeH saL haL gaawnM gaanM gaL saehtL,noun,Bank for Agriculture and Agricultural Cooperatives
