word,spell,type,meaning
ศ.,wanM sookL,"proper noun, abbreviation",[abbreviation for วันศุกร์ ] Friday
ศก ,sohkL,"noun, loanword, Cambodian",hair of the head
ศก ,sohkL,noun,era; decade; years
ศกก่อน,sohkL gaawnL,noun,former times; past years
ศกนี่,sohkL neeF,adverb,this era; these days
ศกนี้,sohkL neeH,noun,this year
ศกหน้า,sohkL naaF,noun,next year; coming years
ศก.,saawR gaawM,"noun, abbreviation",[abbreviation for กรมศุลกากร]
ศก.,seeR saL gaehtL,"proper noun, abbreviation",[abbreviation for ศรีษะเกษ ] SSK
ศกุนตลา,saL goonM dtlaaM,proper noun,"Sakuntala, a Sanskrit drama by Kalidasa"
ศงกา,sohngR gaaM,noun,doubt; suspicion; expectation
ศชช.,saawR chaawM chaawM,"proper noun, abbreviation",[abbreviation for ศูนย์ช่วยเหลือประชาชนที่ประสบภัย]
ศตจ.ปชช.,suunR amM nuayM gaanM dtaawL suuF pheuuaF aoM chaH naH khwaamM yaakF johnM haengL chaatF,abbreviation,[abbreviation for ศูนย์อำนวยการต่อสู้เพื่อเอาชนะความยากจนแห่งชาติ] NPEC
ศตพรรษ,saL dtaL phatH,,[alternate spelling of ศตวรรษ ]
ศตมวาร,sohtL maH waanM,noun,the hundredth-day cremation rite
ศตวรรษ ,saL dtaL watH,noun,century
ศตวรรษ ,saL dtaL watH,classifier,[numerical classifier for centuries]
ศธ.,graL suaangM seukL saaR thiH gaanM,"noun, abbreviation",[abbreviation for กระทรวงศึกษาธิการ]
ศปภ.,saawR bpaawM phaawM,"proper noun, abbreviation",[abbreviation for ศูนย์ปฏิบัติการช่วยเหลือผู้ประสบอุทกภัย] FROC
ศพ ,sohpL,noun,corpse; remains; dead body
ศพ ,sohpL,classifier,[numerical classifier for corpse]
ศพช.,saawR phaawM chaawM,"noun, abbreviation",[abbreviation for เศรษฐกิจพอเพียงเพื่อยกระดับชุมชน]
ศร ,saawnR,noun,[ลูกศร] arrow
ศร ,saawnR,"verb, formal",[ทรงศร] [royal use only] to hold an arrow
ศร ,saawnR,noun,arrow
ศรนารายณ์,saawnR naaM raaiM,noun,"sisal, Agave angustifolia"
ศรภ.,saawR raawM phaawM,"noun, abbreviation",[abbreviation for ศูนย์รักษาความปลอดภัย]
ศรส.,saawR raawM saawR,"proper noun, abbreviation",[abbreviation for ศูนย์รักษาความสงบเรียบร้อย] CAPO
