word,spell,type,meaning
ส.,wanM saoR,"proper noun, abbreviation",[abbreviation for วันเสาร์ ] Saturday
อา.,wanM saoR,abbreviation,[abbreviation for] คำสรรพนาม; a pronoun
จ.,wanM saoR,abbreviation,[dictionary abbreviation for] ภาษาสันสกฤต; (Sanskrit)
ส.,khamM sapL phaH naamM,,[alternate pronunciation of ส.]
ส.,phaaM saaR sanR saL gritL,,[alternate pronunciation of ส.]
ส.ก.,saawR gaawM,"proper noun, abbreviation",[Abbreviation for ในซอยเล็ก ๆ ด้านข้างรถขุดตักกำลังเร่งมือปรับพื้นที่]
ส.ค.,singR haaR khohmM,"proper noun, abbreviation",[abbreviation for สิงหาคม ] August
ส.ค.ส.,saawR khaawM saawR,"verb, abbreviation",[abbreviation for ส่งความสุข] Happy New Years
ส.ต.,sipL dtreeM,"noun, abbreviation",[abbreviation for สิบตรี]
ส.ต.ต.,sipL dtamM ruaatL dtreeM,"noun, abbreviation",[abbreviation for สิบตำรวจตรี] Police Lance Corporal
ส.ต.ท.,sipL dtamM ruaatL tho:hM,"noun, abbreviation",[abbreviation for สิบตำรวจโท] Police Corporal
ส.ท.,sipL tho:hM,"noun, abbreviation",[abbreviation for สิบโท]
ส.บ.ม.ย.ห.,saawR baawM maawM yaawM haawR,"interjection, colloquial, abbreviation",[abbreviation for สบายมากอย่าห่วง] Feeling good; don't worry
ส.บช.,saawR baawM chaawM,"proper noun, abbreviation",[abbreviation for สมาคมนักบัญชีและผู้สอบบัญชีรับอนุญาตแห่งประเทศไทย]
ส.ป.ก.,saawR bpaawM gaawM,"noun, proper noun, abbreviation",[abbreviation for สำนักงานการปฏิรูปที่ดินเพื่อเกษตรกรรม] ALRO
ส.ว.,saawR waawM,noun,[abbreviation] Senator
ส.ส.,saawR saawR,noun,[abbreviation] Member of Parliament; Member of the House of Representatives
ส.ส. ระบบเขต,saawR saawR raH bohpL khaehtL,noun,members of parliament elected in a specific district
ส.ส. ระบบสัดส่วน,saawR saawR raH bohpL satL suaanL,noun,members of parliament chosen by proportional representation
ส.ส.ร.,saawR saawR raawM,"noun, abbreviation",[abbreviation for สภาร่างรัฐธรรมนูญ] Constitution Drafting Assembly
ส.ห.,saawR haawR,"noun, abbreviation",[abbreviation for สารวัตรทหาร] MP; military police
ส.อ.,sipL aehkL,"noun, abbreviation",[abbreviation for สิบเอก]
ส.อ.ท.,saawR aawM thaawM,abbreviation,[abbreviation of สภาอุตสาหกรรมแห่งประเทศไทย]
สก.,saL gaaeoF,"proper noun, abbreviation",[abbreviation offor สระแก้ว] SKW
สกปรก ,sohkL gaL bprohkL,adjective,[is] dirty; not clean; filthy; foul
สกปรก ,sohkL gaL bprohkL,noun,[ความสกปรก] dirtiness; uncleanliness
สกปรก ,sohkL gaL bprohkL,adjective,[is] snide; obscene
สกปรกเปื้อนโคลน ,sohkL gaL bprohkL bpeuuanF khlo:hnM,"adjective, phrase",dirt
สกรรม,saL gamM,adjective,[is] active
สกรรมกริยา,saL gamM gaL riH yaaM,noun,[grammar] transitive verb
