word,spell,type,meaning
ด.ม.,daawM maawM,"noun, abbreviation",[abbreviation for ด่านตรวจคนเข้าเมือง]
ดก ,dohkL,adjective,[is] fertile; prolific; fruitful; productive
adjective,[is] plentiful; abundant,,
ดกดื่น,dohkL deuunL,adjective,[are] plentiful; abundant
ดง ,dohngM,noun,jungle; thick grove
"verb, transitive",to dry rice in its pot by continuing to heat it after pouring off the water,,
noun,the monetary currency of Vietnam,,
ดงกุหลาบ,dohngM gooL laapL,noun,a thicket of roses
ดงดิบ ,dohngM dipL,noun,"dense and evergreen jungle or forest or woods, virgin wilderness"
ดงดึก,dohngM deukL,noun,dark jungle
ดงไม้ ,dohngM maaiH,noun,a woods; grove
ดท.,daawM thaawM,"proper noun, abbreviation",[abbreviation for พรรคดำรงไทย] DR.P.
ด้น,dohnF,verb,to push forward or penetrate into
verb,to sew rough 'through' stitches,,
verb,to improvise; to extemporate,,
ด้นกลอน,dohnF glaawnM,"verb, intransitive",to improvise verse
ด้นดั้น,dohnF danF,verb,[same as ดั้นด้น]
ด้นถอยหลัง,dohnF thaawyR langR,"verb, intransitive",to make backstitches
ดนตรี ,dohnM dtreeM,noun,music
ดนตรีคลาสสิก,dohnM dtreeM khlaatF sikL,noun,classical music (as a type)
ดนตรีแจ๊ส ,dohnM dtreeM jaaetH,noun,jazz; jazz music
ดนตรีพ๊อพ ,dohnM dtreeM phaawpH,noun,pop music
ดนตรีพื้นบ้าน,dohnM dtreeM pheuunH baanF,noun,indigenous (folk) music
ดนตรีพื้นเมือง ,dohnM dtreeM pheuunH meuuangM,noun,folk music
ดนตรีร็อค ,dohnM dtreeM rawkH,,rock music
ดนัย,daL naiM,proper noun,Danai [common Thai given name]
ดนัยไม่ใช่คนไม่มีคุณธรรม เพียงเขาพลั้งพลาดไปเท่านั้น,daL naiM maiF chaiF khohnM maiF meeM khoonM naH thamM phiiangM khaoR phlangH phlaatF bpaiM thaoF nanH,example sentence,"""Danai is not an immoral person; he just made a mistake."""
ดนุพล,daL nooH phohnM,proper noun,Danupol [Thai male given name]
ดม ,dohmM,verb,to sniff; to inhale; to smell
ดยุค,daL yookH,"noun, loanword, English",[Thai transcription of the foreign loanword] duke
ดร.,daawkL dtuuhrM,"loanword, English, abbreviation","[abbreviation for ""doctor""] Dr."
