word,spell,type,meaning
ม.,metH,abbreviation,[abbreviation for เมตร] meter
ม.,metH,abbreviation,[abbreviation for มัธยม ] Secondary level
ม.,matH thaH yohmM,,[alternate pronunciation of ม.]
ม.ก.,,,[alternate spelling of มก.]
ม.ค.,mohkH gaL raaM khohmM,"proper noun, abbreviation",[abbreviation for มกราคม ] January
ม.จ.,maawmL jaoF,abbreviation,[abbreviation for หม่อมเจ้า] M.J. (a royal title)
ม.น.ก.,maawM naawM gaawM,"proper noun, abbreviation",[abbreviation for มหาวิทยาลัยนอร์ทกรุงเทพฯ] NBU
ม.ม.,,,[alternate spelling of มม.]
ม.ร.พ.,maawM raawM phaawM,"proper noun, abbreviation",[abbreviation for พรรคมหรัฐพัฒนา]
ม.ร.ว.,maawmL raatF chaH wohngM,"noun, abbreviation",[abbreviation for หม่อมราชวงศ์] M.R. (a royal title)
ม.ล.,maawmL luaangR,"noun, abbreviation",[abbreviation for หม่อมหลวง] M.L.; (a royal title)
ม.ล.,,,[alternate spelling of มล.]
ม้ก ,mohkH,adverb,generally; often; likely
ม้ก ,mohkH,verb,like
มก.,minM liH gramM,abbreviation,[abbreviation for มิลลิกรัม] miligram
มกราคม ,mohkH gaL raaM khohmM,noun,January
มกราคม,maH gaL raaM khohmM,,[alternate pronunciation of มกราคม ]
มกุฎ,maH gootL,noun,crown
มกุฎราชกุมาร,maH gootL raatF chaH gooL maanM,noun,crown prince
มกุฎราชกุมารี,maH gootL raatF chaH gooL maaM reeM,noun,crown princess
มกุฏ,maH gootL,proper noun,Makut
มกุฏราชกุมาร,maH gootL raatF gooL maanM,"noun, proper noun, person, formal, loanword, Pali",a crown prince
มค.,maH haaR saaR raH khaamM,"proper noun, abbreviation",[abbreviation for มหาสารคาม ] MKM
มคธ ,maH khohtH,"proper noun, geographical, adjective","Magadha, a kingdom of ancient India now called Bihar"
มคธ ,maH khohtH,noun,[ภาษามคธ] the Bihar language
มฆา,maH khaaM,noun,name of a zodiacal constellation; tenth constellation containing 5 stars
ม่ง,mohngF,,[alternate spelling of มุ่ง]
ม้ง,mohngH,proper noun,"Hmong, an ethnic minority group of northern Thailand"
มงกุฎ ,mohngM gootL,noun,crown worn on the head; crest
มงกุฎ ,mohngM gootL,adjective,supreme; highest
มงกุฎไทย,mohngM gootL thaiM,proper noun,Order of the Crown of Thailand
มงกุฎราชกุมาร,mohngM gootL raatF chaH gooL maanM,noun,crown prince
มงคล ,mohngM khohnM,adjective,[is] auspicious; favorable
มงคล ,mohngM khohnM,noun,auspiciousness
มงคล ,mohngM khohnM,noun,auspicious item; lucky talisman
มงคล ,mohngM khohnM,noun,auspicious and symbolic thread or garland (as in the headband worn in Thai boxing)
มงคล ,mohngM khohnM,adjective,[ราชมงคล] royal and auspicious
มงคล ,mohngM khohnM,proper noun,Mongkhon [a Thai given name]
มงคล,mohngM khohnM laH,,[alternate pronunciation of มงคล ]
มงคลจักร,mohngM khohnM laH jakL,noun,nuptial auspicious thread
มงคลแฝด,mohngM khohnM faaetL,noun,nuptial good luck thread worn around the bride' s and bridegroom' s heads
มงคลพิธี,mohngM khohnM phiH theeM,noun,festival; rites; auspicious cereemony
มงคลฤกษ์,mohngM khohnM reerkF,noun,auspicious occasion
มงคลวาร,mohngM khohnM laH waanM,noun,auspicious day; [i.e.] Tuesday
มงคลสูตร,mohngM khohnM laH suutL,noun,auspicious and holy ceremonial yarn or string
มช.,maawM chaawM,"proper noun, geographical, abbreviation",[abbreviation for มหาวิทยาลัยเชียงใหม่]
"proper noun, abbreviation",[abbreviation for พรรคมหาชน],,
มณฑนะ,mohnM thaH naH,noun,decoration; ornament; decoration; adornment
มณฑป,mohnM dohpL,noun,a square structure with four arches and a pyramidal roof
noun,[พระมณฑป] cold-water basin with a lid for royal use,,
มณฑล ,mohnM thohnM,noun,precinct; administrative region
noun,a circle,,
มณเฑียร,mohnM thiianM,noun,[ancient spelling of มนเทียร] palace
มณโฑ ,mohnM tho:hM,"proper noun, person","[a character in the Ramanyana epic,] the wife of a giant"
มณี ,maH neeM,"noun, formal, poetic, loanword, Pali",precious stone; jewel; gem; ornament; water-pot
"noun, proper noun, person, formal, loanword, Pali","Manee [a Thai female given name or nickname] (jewels, precious stones)",,
มณีกำลังโกรธ,maH neeM gamM langM gro:htL,example sentence,"""Manee is angry."""
มณีกำลังจะอ่านหนังสือ,maH neeM gamM langM jaL aanL nangR seuuR,example sentence,"""Manee is going to read a book."""
มณีกำลังแต่งหนังสือ,maH neeM gamM langM dtaengL nangR seuuR,example sentence,"""Manii is writing a book."""
มณีกำลังวิ่ง,maH neeM gamM langM wingF,example sentence,"""Manee is running."""
มณีกินข้าวเสร็จ,maH neeM ginM khaaoF setL,example sentence,"""Manee finished eating (rice)."""
มณีจะกำลังอ่านหนังสือพรุ่งนี้เย็น,maH neeM jaL gamM langM aanL nangR seuuR phroongF neeH yenM,example sentence,"""Manee might be reading the book tomorrow evening."""
มณีแดง ,maH neeM daaengM,"noun, phrase, colloquial, poetic",(red) ruby
มณีเพิ่งอ่านหนังสือ,maH neeM pheerngF aanL nangR seuuR,example sentence,"""Manee has just begun to read the book."""
มณีวิ่งจบ,maH neeM wingF johpL,example sentence,"""Manee finished running."""
