word,spell,type,meaning
ง.,ngaH,,d.) — [indicating the fourth item in a list]; Mr. D.
ง. ตามใจแก แต่ใจจริง เราอยากเดินสยามต่อด้วยอ่ะ,ngaH dtaamM jaiM gaaeM dtaaeL jaiM jingM raoM yaakL deernM saL yaamR dtaawL duayF aL,example sentence,"Whatever you want; but actually, I also wanted to go to Siam Square afterwards too."
ง. เหรอๆ งั้นไปเมเจอร์มะ,ngaH ruuhrR ruuhrR nganH bpaiM maehM juuhrM maH,example sentence,Oh yeah? Let's go to Major then!
งก,ngohkH,adjective,[is] avaricious; greedy; stingy; mean
adjective,"[งก ๆ] [is] shaking; trembling; shivering, due to fear or cold",,
งก ๆ,ngohkH ngohkH,adjective,"[งก ๆ] [is] shaking; trembling; shivering, due to fear or cold"
งก ๆ เงิ่น ๆ ,ngohkH ngohkH ngeernF ngeernF,"adjective, idiom",[is] shaking and unable to do anything right
งก ๆ เงิ่น ๆ,ngohkH ngohkH ngeernF ngeernF,adverb,"dodderingly; like an old, infirm peerson; haltingly"
งกงัน,ngohkH nganM,verb,to tremble in fear
งง ,ngohngM,adjective,[is] confused; puzzled; taken aback
"verb, colloquial",[ทำให้งง] confuse; make confused,,
งงงวย,ngohngM nguayM,adjective,[งงงวย] [is] stunned; astonished; perplexed; bewildered; flummoxed
งงงวย,ngohngM nguayM,adjective,[งงงวย] [is] astonishing; perplexing; bewildering; baffling
งงเต้ก,ngohngM dtekF,adjective,[is] stunned; stupefied; flabergasted
งงเป็นไก่ตาแตก ,ngohngM bpenM gaiL dtaaM dtaaekL,adjective,[is] confused; stupefied
งงงัน,ngohngM nganM,adjective,[is] stunned; dazed
งด ,ngohtH,verb,to stop; to cancel; to rescind; to halt; to interrupt; to cease
noun,[การงด] cancellation,,
งดการพิจารณา,ngohtH gaanM phiH jaaM raH naaM,"verb, phrase",to suspend proceedings in a court
งดโทษ,ngohtH tho:htF,"verb, phrase",to grant a reprieve
งดเว้น,ngohtH wenH,verb,to abstain; refrain from
งดเว้นอบายมุข,ngohtH wenH aL baaiM yaH mookH,"verb, phrase",to refrain from sinful activity; abstain from vices
งดเว้นออกเสียง,ngohtH wenH aawkL siiangR,verb,to abstain from voting
งดไว้,ngohtH waiH,"noun, phrase",to postpone
งดออกเสียง,ngohtH aawkL siiangR,verb,to abstain from voting
งดงาม,ngohtH ngaamM,adjective,[is] beautiful; pretty; gorgeous; splendid; fine
,[ความงดงาม] beauty; loviness; attractiveness,,
งบ ,ngohpH,verb,to assemble; collect; close
noun,account; lump; round; cake; lot,,
งบกำไร-ขาดทุน ,ngohpH gamM raiM khaatL thoonM,"noun, phrase, formal",balance statement
งบกำไรสะสม ,ngohpH gamM raiM saL sohmR,"noun, phrase, formal",retained earnings
งบเงิน,ngohpH ngernM,noun,financial statement
งบดุล,ngohpH doonM,"noun, phrase, formal",[finance] balance; balance sheet; statement
งบประมาณ ,ngohpH bpraL maanM,noun,budget
งบประมาณแผ่นดิน,ngohpH bpraL maanM phaenL dinM,noun,annual government statement of expenditures; budget
งบประมาณมูลค่าหลายหมื่นล้านบาทอาจจะไม่สามารถชุบชีวิตให้ลุ่มน้ำนี้กลับฟื้นคืนชีวิตได้,ngohpH bpraL maanM muunM khaaF laaiR meuunL laanH baatL aatL jaL maiF saaR maatF choopH cheeM witH haiF loomF naamH neeH glapL feuunH kheuunM cheeM witH daiF,example sentence,A budget of many tens of billions of baht may not be able to revive this river basin and return life to it.
งบประมาณยุงลายเป็นเรื่องที่ดูจะชอบกลอยู่มาก ,ngohpH bpraL maanM yoongM laaiM bpenM reuuangF theeF duuM jaL chaawpF gohnM yuuL maakF,"example sentence, colloquial",'Mosquito Budget' sounds seemingly quite odd to me!
งม ,ngohmM,verb,to grope; search; seek; fumble for
งมเข็มในมหาสมุทร,ngohmM khemR naiM maH haaR saL mootL,"example sentence, idiom",To search for a needle in a haystack.
งมโข่ง,ngohmM kho:hngL,adjective,[is] dumb; dull
งมงาย,ngohmM ngaaiM,adjective,[is] ignorant; benighted; foolish; stupid; fatuous; muddleheaded
adjective,"dazzled, bewildered (by the prospect of fame and wealth)",,
"noun, adjective, verb, transitive","(of a fact or situation or belief) blind, blind faith, blind worship, to blindly worship (something)",,
งวง ,nguaangM,noun,trunk; snout; tentacle; tendril
noun,[งวงอากาศยาน] air bridge; covered ramp from air terminal to the airplane,,
งวงอากาศยาน,nguaangM aaM gaatL saL yaanM,noun,[งวงอากาศยาน] air bridge; covered ramp from air terminal to the airplane
ง่วง ,nguaangF,adjective,[is] sleepy; tired
adjective,[ง่วงงุน] [is] sleepy; drowsy,,
verb,is sleepy,,
verb,[คงง่วง] probably is sleepy,,
noun,[ความง่วง] sleepiness,,
ง่วงงุน,nguaangF ngoonM,adjective,[ง่วงงุน] [is] sleepy; drowsy
ง่วงจะตาย,nguaangF jaL dtaaiM,example sentence,I'm so sleepy!
ง่วงนอน ,nguaangF naawnM,adjective,[is] sleepy; tired
ง่วงนอนไหม ,nguaangF naawnM maiH,example sentence,Are you sleepy?
ง่วงเหงา,nguaangF ngaoR,adjective,[is] tired; [is] sleepy
ง่วงเหงาหาวนอน,nguaangF ngaoR haaoR naawnM,"adjective, phrase",[is] drowsy; sleepy; dozy; somnolent; listless
งวงช้าง ,nguaangM chaangH,noun,trunk of an elephant
งวด,nguaatF,adjective,"[of a liquid, stew, or sludge] [is] concentrated by evaporation; dried up; evaporated; nearly dry"
verb,to concentrate by evaporation; to dry up,,
adjective,[is] in tight or short supply,,
noun,lot; shipment; consignment; installment,,
adjective,[usually preceded by เข้ม ] strict; stringent; inflexible; rigid; rigorous; severe; tight; tough,,
noun,"time, period, defined period of time; installment",,
classifier,[numerical classifier for installment payments],,
งวดเข้ามาทุกขณะ,nguaatF khaoF maaM thookH khaL naL,adverb,just about to happen; it’s just around the corner (fig.)
งวดเข้ามาทุกขณะ สำหรับผลสรุปของคณะกรรมการตรวจสอบข้อเท็จจริงกรณีการจัดซื้อหนังสือและสื่อการเรียนการสอนขององค์การบริหารส่วนจังหวัด,nguaatF khaoF maaM thookH khaL naL samR rapL phohnR saL roopL khaawngR khaH naH gamM maH gaanM dtruaatL saawpL khaawF thetH jingM gaL raH neeM gaanM jatL seuuH nangR seuuR laeH seuuL gaanM riianM gaanM saawnR khaawngR ohngM gaanM baawM riH haanR suaanL jangM watL,example sentence,The committee investigating the facts concerning the purchase of books and educational materials by the Provincial Administrative councils is just about ready to issue its summary report.
งวดนี้รัฐบาลก็คงจะต้องยุบสภาอีก,nguaatF neeH ratH thaL baanM gaawF khohngM jaL dtawngF yoopH saL phaaM eekL,example sentence,"This time, the government probably must dissolve parliament."
,,,
ง่วน,nguaanF,verb,to engross; occupy; absorb; engage
ง่วนอยู่กับ,nguaanF yuuL gapL,adjective,[is] absorbed with; engrossed with
งวย,nguayM,adjective,[งงงวย] [is] stunned; astonished; perplexed; bewildered; flummoxed
adjective,[งงงวย] [is] astonishing; perplexing; bewildering; baffling,,
งอ ,ngaawM,,[pronunciation of the 7th letter of the Thai alphabet]
verb,to bend or become bent,,
adjective,bent; crooked,,
verb,[ทำให้งอ] to bend,,
งอได้ ,ngaawM daiF,adjective,flexible; bendable
งอตัว ,ngaawM dtuaaM,verb,to slouch; double over
งอมืองอตีน,ngaawM meuuM ngaawM dteenM,adjective,[is] inert; sit back and do nothing
งอมืองอเท้า,ngaawM meuuM ngaawM thaaoH,"adjective, idiom",[is] lazy; not dilligent
งอมืองอเท้า,ngaawM meuuM ngaawM thaaoH,adjective,[is] inert; sit back and do nothing
งอมืองอเท้า,ngaawM meuuM ngaawM thaaoH,adjective,[is] gutless; without gumption
งอหาย,ngaawM haaiR,adverb,uncontrollably; excessively; extremely
ง้อ ,ngaawH,"verb, transitive, intransitive, colloquial",to try to conciliate; to reconcile; to humble oneself in order to reconcile; to try to make up and seek forgiveness
ง้องอน,ngaawH ngaawnM,verb,to offer to reconcile (with)
งอก ,ngaawkF,verb,to sprout; bud; grow; shoot off
noun,a sprout or outgrowth,,
งอกขึ้น ,ngaawkF kheunF,verb,to grow (plants)
งอกงาม,ngaawkF ngaamM,verb,to bloom; to flourish; to grow; to sprout; to develop
งอกเงย,ngaawkF ngeeuyM,verb,to increase; grow
ง่อกแง่ก,ngaawkF ngaaekF,adjective,[is] unsteady; unfirm; tottering
ง่องแง่ง,ngaawngF ngaaengF,"verb, adverb",lamely; limpingly; slowly; with a stagger
verb,to quibble over a petty matter,,
ง้องแง้ง,ngaawngH ngaaengH,verb,to twist back and forth; fuss
งอแง,ngaawM ngaaeM,"adjective, colloquial",childish; crybaby-like
"verb, intransitive, colloquial",to pout like a child; to be fussy,,
งอน ,ngaawnM,"adjective, colloquial","[is] sulky; petulant; peevish; fractious; huffy; pettish; snappish; grouchy; displeased by an intimate (lover, husband/wife, parent, friend, etc); pouting"
"adjective, colloquial",curved upwards; bent; tilted,,
adjective,[ขี้งอน] peevish; petulant; churlish; fractious,,
งอนง้อ,ngaawnM ngaawH,verb,[ง้องอน]
งอนตุ๊บป่อง ,ngaawnM dtoopH bpaawngL,"adjective, verb, intransitive, figurative, colloquial, idiom","to be infused with petulance (sulkiness, bad temper, ill humour, irritability, peevishness, pique, sullenness) so much that he or she could float or fly"
ง่อนแง่น,ngaawnF ngaaenF,adjective,[is] unstable; unsteady; changeable; variable
ง่อนแง่นโงนเงน,ngaawnF ngaaenF ngo:hnM ngaehnM,adjective,[is] unstable; unsteady; subject to falling (in a political sense)
งอบ,ngaawpF,noun,a hat made of bamboo and palm leaves shaped like an inverted basin; a kind of farmer's hat
งอม ,ngaawmM,adjective,severe; serious; extreme; confirmed
adjective,over-ripe; very old; very tired,,
งอมแงม,ngaawmM ngaaemM,adverb,extremely; severely; almost to death; beyond recovery; thoroughly bad
ง่อย,ngaawyF,adjective,[is] handicapped; lame; disabled
ง่อยเปลี้ยเสียขา,ngaawyF bpliiaF siiaR khaaR,phrase,to lame; be crippled; be disabled
งะ,ngaH,,[suffix]
"interjection, colloquial",What [did you say]?,,
งั่ก,ngakL,adjective,very old
งั่ง,ngangF,"noun, adjective",[derogatory] a fool; foolish
,[นกงั่ง] hornbill,,
"noun, vulgar","[ไอ้งั่ง] [derogatory] ""You, goddamn fool (moron, idiot, nincompoop)!",,
งัด ,ngatH,"verb, transitive",to pry open with a crowbar or lever
,"bring in (a new strategy, approach, method)",,
งัดข้อ,ngatH khaawF,"verb, phrase",to arm wrestle
งัดข้อ,ngatH khaawF,"verb, phrase",to disagree; wrangle; have a clash of ideas
งัดแงะ,ngatH ngaeH,verb,to break in to steal something
งัน ,nganM,adjective,[of plants] stunted
adjective,[is] stumped; at a loss; halted; stopped; paused; stunned,,
verb,[of plants] to fail to germinate; [of a bomb] to fail to explode,,
,[euphonious suffix],,
งั้น,nganH,"adverb, conjunction",then; in that case; otherwise; or else; if not; in other ways
งั้นเรอะ,nganH ruhH,example sentence,Is that it?
งั้นหรือ,nganH reuuR,example sentence,Is that it?
งับ ,ngapH,verb,to bite; nip; snatch away with the teeth
verb,to close; to shut,,
งัย,ngaiM,,[alternate spelling of ไง ]
งัว,nguaaM,noun,bullock
งัวเงีย,nguaaM ngiiaM,adjective,[is] sleepy; drowsy
adverb,sleepily; drowsily,,
งา ,ngaaM,"noun, adjective",tusk; ivory
"noun, adjective",[general] sesame,,
noun,"[ต้นงา] the sesame plant, Sesamum indicum",,
noun,[น้ำมันงา] sesame oil,,
noun,[น้ำงา] sesame sauce,,
งาขาว,ngaaM khaaoR,noun,white sesame seeds
งาช้าง ,ngaaM chaangH,noun,elephant tusk; ivory
งาช้างน้ำ ,ngaaM chaangH naamH,noun,walrus tusk
,,,
งาดำ,ngaaM damM,noun,black sesame seeds
ง้าง ,ngaangH,verb,to lift up; to open; to pull out; to draw back
ง้างกัน ,ngaangH ganM,verb,oppose
งาน ,ngaanM,noun,work; job; duty; business; function
noun,carnival; fair; party; festival; celebration,,
noun,[หน่วยงาน] institution; authority; institute; organization; work group,,
adjective,[ใช้งาน] [is] usable; accessible; practicable,,
,[ใช้งาน] to function; work; operate,,
noun,a Thai land measure,,
,"[of the arts] literary work (a book, novel, etc.); cinema",,
noun,[การงาน] activity,,
classifier,[numerical classifier for a piece of writing],,
noun,[การใช้งาน] use; utility; usability,,
verb,[ได้งาน] to obtain work; be hired,,
งานก็มากอยู่แล้ว ทำไมจะต้องอ้าขาผวาปีกไปรับงานอื่นมาอีก,ngaanM gaawF maakF yuuL laaeoH thamM maiM jaL dtawngF aaF khaaR phaL waaR bpeekL bpaiM rapH ngaanM euunL maaM eekL,example sentence,You already have a lot of work to do; why are you taking on more responsibility by getting another job.
งานก่อสร้าง,ngaanM gaawL saangF,noun,heavy construction work
งานก่อสร้างโครงการนี้ไม่คืบหน้าเลย,ngaanM gaawL saangF khro:hngM gaanM neeH maiF kheuupF naaF leeuyM,example sentence,This construction project is not moving ahead at all!
งานการ,ngaanM gaanM,noun,employment; work; profession; business; job; career; occupation
งานกินเลี้ยง,ngaanM ginM liiangH,noun,social gathering; party; a get-together
งานของเขาไม่เป็นที่น่าพอใจเลย ,ngaanM khaawngR khaoR maiF bpenM theeF naaF phaawM jaiM leeuyM,example sentence,His work does not satisfy me at all.
งานของเธอคือไปช่วยแพ็กหนังสือใส่กล่อง,ngaanM khaawngR thuuhrM kheuuM bpaiM chuayF phaekH nangR seuuR saiL glaawngL,example sentence,Her job is to go and help pack books in boxes.
งานของวีระคือล้างจาน,ngaanM khaawngR weeM raH kheuuM laangH jaanM,example sentence,Wira’s work is to wash the dishes.
งานขันโตกคืนนี้ม่วนแท้ เชียว,ngaanM khanR dto:hkL kheuunM neeH muaanF thaaeH chiaaoM,example sentence,The Khantoke festival this evening was really a lot of fun!
งานขึ้นบ้านใหม่,ngaanM kheunF baanF maiL,noun,housewarming party
งานเข้า,ngaanM khaoF,noun,business orders; customer orders
งานเข้ามาจนล้นทำไม่ทัน เป็นความมหัศจรรย์ที่ไม่เคยพบเห็นมาก่อนในชีวิต,ngaanM khaoF maaM johnM lohnH thamM maiF thanM bpenM khwaamM maH hatL saL janM theeF maiF kheeuyM phohpH henR maaM gaawnL naiM cheeM witH,example sentence,The work is coming in so fast that we cannot keep up; it is an amazing situation that we have never encountered before in our lives.
งานเขียนของเธอเล่นสำบัดสำนวนมากเกินไป จนแทบกลายเป็นบทลิเกไปเลย,ngaanM khiianR khaawngR thuuhrM lenF samR batL samR nuaanM maakF geernM bpaiM johnM thaaepF glaaiM bpenM bohtL liH gaehM bpaiM leeuyM,example sentence,"Her writing is much too eloquent, so much so that it sounds almost like a formal drama."
งานครั้งนี้ได้รับความร่วมมืออย่างดีจากอาจารย์ข้าราชการตลอดจนศิษย์เก่าและศิษย์ปัจจุบัน,ngaanM khrangH neeH daiF rapH khwaamM ruaamF meuuM yaangL deeM jaakL aaM jaanM khaaF raatF chaH gaanM dtlaawtL johnM sitL gaoL laeH sitL bpatL jooL banM,example sentence,"This [year’s] festivities received excellent cooperation from professors, officials, alumni, and current students."
งานค้าง,ngaanM khaangH,noun,backlog; incomplete work
งานคืนสู่เหย้า,ngaanM kheuunM suuL yaoF,noun,homecoming; a homecoming celebration
งานจร,ngaanM jaawnM,noun,odd job; miscellaneous task
งานฉลอง ,ngaanM chaL laawngR,noun,festival; party
งานใดที่ต้องทำเป็นประจำตลอดเวลาอาจทำให้ชินชาด้วยต้องกระทำซ้ำซากไม่น่าตื่นตาตื่นใจ,ngaanM daiM theeF dtawngF thamM bpenM bpraL jamM dtaL laawtL waehM laaM aatL thamM haiF chinM chaaM duayF dtawngF graL thamM saamH saakF maiF naaF dteuunL dtaaM dteuunL jaiM,example sentence,Any task which we must do all the time will make us become bored with it; (we) must (do this work) repetitiously and we cannot get enthusiastic (about it at all).
งานตรวจสถานที่เกิดเหตุและถ่ายภาพ,ngaanM dtruaatL saL thaanR theeF geertL haehtL laeH thaaiL phaapF,noun,crime scene investigation and photography
งานเต้นรำ,ngaanM dtenF ramM,noun,a ball (dance party)
งานแต่งงาน,ngaanM dtaengL ngaanM,noun,wedding
งานแต่งงานของบ่าวสาวคู่นี้ เป็นการหลอมรวมญาติโกโหติกาของมหเศรษฐี ๒ ตระกูลดังของจังหวัด,ngaanM dtaengL ngaanM khaawngR baaoL saaoR khuuF neeH bpenM gaanM laawmR ruaamM yaatF dtiL go:hM ho:hR dtiL gaaM khaawngR maH haL saehtL theeR saawngR dtraL guunM dangM khaawngR jangM watL,example sentence,The couple’s wedding brought together two of the wealthiest and well-known clans in the province.
งานที่คุณได้รับมอบหมายมา รีบทำเสียให้เสร็จก่อนลาพักร้อนนะ อย่าทิ้งไว้ให้มันคาราคาซัง,ngaanM theeF khoonM daiF rapH maawpF maaiR maaM reepF thamM siiaR haiF setL gaawnL laaM phakH raawnH naH yaaL thingH waiH haiF manM khaaM raaM khaaM sangM,example sentence,Hurry up and finish the work that you’ve been assigned; please do it before you go on vacation. Don’t leave it incomplete.
งานที่ใช้ความพิถีพิถันและความละเอียดอ่อนไม่ใช่งานที่เขาพึงประสงค์นัก แต่เขาก็ทำได้อย่างดี,ngaanM theeF chaiH khwaamM phiH theeR phiH thanR laeH khwaamM laH iiatL aawnL maiF chaiF ngaanM theeF khaoR pheungM bpraL sohngR nakH dtaaeL khaoR gaawF thamM daiF yaangL deeM,example sentence,Very meticulous and delicate work is not work which he really wants to do; but he can do it very well.
