word,spell,type,meaning
ช.ส.ม.,chaawM saawR maawM,"proper noun, abbreviation",[abbreviation for พรรคชาติสามัคคี] CSP
ชก ,chohkH,verb,to punch or hit with the fist
ชกต่อย ,chohkH dtaawyL,"verb, formal",to fight; to punch with the fist; to box
ชกต่อยในบริบทของการทะเลาะวิวาทก็ไม่ดี แต่ชกต่อยในบริบทของการปกป้องช่วยเหลือผู้อ่อนแออาจกลายเป็นดี,chohkH dtaawyL naiM baawM riH bohtL khaawngR gaanM thaH lawH wiH waatF gaawF maiF deeM dtaaeL chohkH dtaawyL naiM baawM riH bohtL khaawngR gaanM bpohkL bpaawngF chuayF leuuaR phuuF aawnL aaeM aatL glaaiM bpenM deeM,example sentence,To fight in the context of an aggressor is not good; however to fight in the context of protecting and helping the weak is perhaps a good thing.
ชกโต้,chohkH dto:hF,verb,to fight; box
ชกมวย ,chohkH muayM,verb,to box or fistfight
ชกหมัดแย็บ,chohkH matL yaepH,verb,to throw a jab (punch)
ชกหมัดเสยขึ้น,chohkH matL seeuyR kheunF,verb,to throw an uppercut (punch)
ชง,chohngM,verb,[of spirits and alcoholic drinks/beverages] to mix; [of non-alcoholic drinks/beverages] to fix or make; to make an infusion; to infuse
adjective,[is] at odds with; opposed to; in conflict with,,
ชงชา,chohngM chaaM,verb,to brew tea
ชงโค ,chohngM kho:hM,noun,[ต้นชงโค] purple orchid tree; purple butterfly tree; pink butterfly tree; Bauhinia purpurea
ชฎา ,chaH daaM,noun,headress used in Thai classical dancing and theater
ชดเชย,chohtH cheeuyM,"verb, intransitive","to pay back, compensate, reimburse, repay, indemnify, make reparations"
noun,[ค่าชดเชย] (funds as) compensation for (losses),,
ชดเชยแสง,chohtH cheeuyM saaengR,"verb, phrase",(photography) to add an extra f stop to the image above what the camera meter states
ชดใช้ ,chohtH chaiH,verb,to reimburse; pay back
noun,[การชดใช้] compensating,,
ชดใช้ค่าเสียหาย,chohtH chaiH khaaF siiaR haaiR,"verb, phrase",to pay compensation (for damages); reimburse for losses
ชดใช้เงินชดเชย,chohtH chaiH ngernM chohtH cheeuyM,"verb, phrase",to pay compensation (for damages); reimburse for losses
ชตุทการ์ท,chaH dtootL gaatL,"proper noun, geographical","Stuttgart, a city in Germany"
ชทพ.,chaawM thaawM phaawM,"proper noun, abbreviation",[abbreviation for พรรคชาติไทยพัฒนา]
ชน ,chohnM,verb,to collide; to crash; bump; bump together
