word,spell,type,meaning
ฉก ,chohkL,"verb, transitive",to commit petty theft; to pilfer; to usurp
verb,[as a snake] to strike,,
ฉกชิง,chohkL chingM,verb,to snatch; steal; pilfer
ฉกชิงวิ่งราว,chohkL chingM wingF raaoM,"verb, phrase",to steal; pilfer; grab and run
ฉก.ร.,chaawR gaawM raawM,"noun, abbreviation",[abbreviation for หน่วยเฉพาะกิจกรมทหารราบ]
ฉกฉวย,chohkL chuayR,verb,to seize; grab; take; wrest; snatch; catch; grasp
ฉกรรจ์ ,chaL ganM,adjective,able-bodied; sturdy; robust; strong; in one's prime
adjective,[is] serious; severe; mortal,,
adjective,fierce; ferocious; brutal,,
ฉกาจ ,chaL gaatL,adjective,"ingenious, masterly, excellent in or at"
adjective,serious; severe; mortal,,
adjective,violent; ferocious; fierce,,
adjective,intrepid; valiant,,
ฉกาจฉกรรจ์,chaL gaatL chaL ganM,adjective,[is] stern; harsh; dour; formidable; serious
ฉงน,chaL ngohnR,adjective,[is] in doubt (about); uncertain (of); doubtful (of)
ฉงนใจ,chaL ngohnR jaiM,adjective,[is] doubtful; skeptical
ฉงนฉงาย,chaL ngohnR chaL ngaaiM,adjective,[is] perplexed; confused
ฉงาย,chaL ngaaiM,adjective,[euphonious suffix for กระษาปณ์]
ฉช.,chaL cheerngM saoM,"proper noun, abbreviation",[abbreviation for ฉะเชิงเทรา ] CCO
ฉนวน ,chaL nuaanR,noun,a covered walkway; a breezeway; a corridor
noun,an electric insulator,,
ฉนาก ,chaL naakL,noun,"a sawfish, Pristis perrotteti, Pristis cuspidatus (Pristidae)"
ฉบัง,chaL bangM,"noun, proper noun, formal, loanword, Khmer",[กาพย์ฉบัง] [a type of Thai versification in which one stanza contains sixteen words or syllables]
ฉบับ ,chaL bapL,noun,transcript; document; copy
"noun, formal","edition, copy, issue of a magazine or newspaper; [formal term officially endorsed by the Royal Institute] version (of software)",,
classifier,"[numerical classifier for periodicals, documents, legal documents, newspapers, essays, e-mail, mail, letters, contracts]",,
ฉบับเดี่ยวเนี่ยะเหรอ,chaL bapL diaaoL niaF ruuhrR,example sentence,Just the one copy? [That’s all?].
ฉบับพิมพ์,chaL bapL phimM,noun,(publishing) edition; reprint
ฉบับพิสดาร,chaL bapL phitH saL daanM,adjective,unabridged version
ฉบับสำเนา ,chaL bapL samR naoM,"noun, phrase, formal",a copy (of a document)
ฉบับหน้า ,chaL bapL naaF,noun,next issue
ฉมวก ,chaL muaakL,noun,harpoon; spear
ฉมัง ,chaL mangR,adjective,apt; inclined; suitable
ฉล ,chohnR,"verb, transitive",to cheat; to embezzle
ฉลวย,chaL luayR,"proper noun, person",Chaluay [a Thai given name (unisex)]
ฉลอง ,chaL laawngR,"verb, transitive, intransitive",to celebrate
"verb, transitive",to cross; to cross over; to substitute; to support; to replace,,
,[เลี้ยงฉลอง] celebration dinner; banquet,,
,[เลี้ยงฉลอง] to give a celebration dinner; to host a celebratrion,,
ฉลองครบรอบศตวรรษ,chaL laawngR khrohpH raawpF saL dtaL watH,verb,to celebrate a centennial event
ฉลอม ,chaL laawmR,noun,[เรือฉลอม] [the type of boat known as a] junk
ฉลาก,chaL laakL,noun,a label
ฉลาด ,chaL laatL,adjective,[is] smart; intelligent; clever
,"[ปลาฉลาด] the sawfish, genus Pristis",,
ฉลาดกว่า ,chaL laatL gwaaL,adjective,[is] smarter than...
ฉลาดแกมโกง,chaL laatL gaaemM go:hngM,"adjective, phrase",[is] fiendishly clever; crafty in a dishonest way
ฉลาดเฉลียว,chaL laatL chaL liaaoR,adjective,perceptive; intelligent; discerning
ฉลาดทางอารมณ์,chaL laatL thaangM aaM rohmM,noun,E.Q.; emotional intelligence
ฉลาดเป็นกรด,chaL laatL bpenM grohtL,adjective,extremely intelligent; sharp; smart
ฉลาดเหมือนศรีธนญชัย,chaL laatL meuuanR seeR thaH nohnM chaiM,"verb, phrase",[is] crafty; tricky; full of guile; wiley
ฉลาม ,chaL laamR,noun,shark
noun,[ปลาฉลาม] the shark,,
ฉลามชล,chaL laamR chohnM,"noun, proper noun",The Sharks (nickname for Thai football team Chonburi FC)
ฉลุ ,chaL looL,verb,to perforate; to open up
ฉลุย,chaL luyR,verb,to go through easily
adverb,fast; easily,,
ฉลู ,chaL luuR,"noun, proper noun","[ปีฉลู] the Ox; the second year of the Chinese astrological cycle, marked by the symbol of an ox"
ฉวย,chuayR,"verb, transitive",to seize at; to snatch; to grab; to catch
conjunction,lest...; perchance...; in the (unfortunate) case that...,,
ฉวยจังหวะ,chuayR jangM waL,phrase,to take advantange of an opening
ฉวยโอกาส,chuayR o:hM gaatL,,to take advantage of an opportunity; to seize the day
ฉวยโอกาส,chuayR o:hM gaatL,,to take credit for what someone else has done
ฉวัดเฉวียน ,chaL watL chaL wiianR,verb,[of a bird or plane] to circle in the air; drive around in circles; circulate
adverb,circuitously,,
ฉวี ,chaL weeR,adjective,having beautiful complexion
ฉวีวรรณ,chaL weeR wanM,noun,complexion
ฉอ ,chaawR,,[pronunciation of the 9th letter of the Thai alphabet]
"adjective, loanword, Pali",[Pali numeral] six; [usually used as a prefix] sixth,,
,,,
ฉอศก,chaawR sohkL,noun,the sixth year of the decade
