word,spell,type,meaning
ป.,phaaM saaR baaM leeM,abbreviation,[dictionary abbreviation for] ภาษาบาลี; (Pali)
ป.ตรี,bpaawM dtreeM,"noun, abbreviation","[shortened form for ปริญญาตรี] B.A., B.S."
ป.ป.ง.,bpaawM bpaawM ngaawM,abbreviation,[abbreviation for คณะกรรมการป้องกันและปราบปรามการฟอกเงิน or สำนักงานป้องกันและปราบปรามการฟอกเงิน]
ป.ป.ช.,bpaawM bpaawM chaawM,"noun, abbreviation",[abbreviation for คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ]
ป.พ.พ.,bpaawM phaawM phaawM,"noun, abbreviation",[abbreviation for ประมวลกฎหมายแพ่งและพาณิชย์] CCC
ป.ล.,bpaawM laawM,"noun, abbreviation","[abbreviation for ปัจฉิมลิขิต] postscript, p.s."
ป.ล.๒ บางทีในกล่องอาจไม่มีแมวอยู่จริงก็เป็นได้,bpaawM laawM saawngR baangM theeM naiM glaawngL aatL maiF meeM maaeoM yuuL jingM gaawF bpenM daiF,example sentence,"""PS2. It's also possible that in reality there's no cat at all in the box."""
ป.ล. เรื่องราวใด ๆ หากไม่อาจตั้งคำถาม ไม่อาจวิพากษ์อย่างศิวิไลซ์ ล้วนไม่อาจเชื่อถือได้โดยสนิทใจ,bpaawM laawM reuuangF raaoM daiM haakL maiF aatL dtangF khamM thaamR maiF aatL wiH phaakF yaangL siL wiH laiM luaanH maiF aatL cheuuaF theuuR daiF dooyM saL nitL jaiM,example sentence,"""PS. As with any proposition, if you can't ask questions, if you're not allowed to form judgments in a civilized manner, then, you should not believe them with absolute certainty."""
ปก ,bpohkL,noun,"cover of a book, covering flap or fold"
ปก ,bpohkL,verb,to cover or protect by covering or hiding
ปก ,bpohkL,verb,[จะปก] will protect
ปก ,bpohkL,classifier,[numeric classifier for book titles]
ปกแข็ง,bpohkL khaengR,noun,(of a book) hardcover
ปกคลุม,bpohkL khloomM,verb,to cover
ปกคอเสื้อ ,bpohkL khaawM seuuaF,noun,collar
ปกป้อง,bpohkL bpaawngF,"verb, phrase, formal",to guard; protect; defend; shelter
ปกปักใจรักษา,bpohkL bpakL jaiM rakH saaR,verb,to protect; defend; safeguard; shelter; take care of; shield; preserve; maintain
ปกปิด,bpohkL bpitL,verb,to cover up; conceal
ปกปิดกลเม็ด,bpohkL bpitL gohnM laH metH,"verb, phrase",to hide one's strategy
ปกเสื้อตอนหน้า ,bpohkL seuuaF dtaawnM naaF,noun,lapel
ปกหนังสือ,bpohkL nangR seuuR,noun,book cover
ปกอ่อน,bpohkL aawnL,adjective,paperback (book)
ปกครอง ,bpohkL khraawngM,"verb, transitive",to rule; administer; govern
ปกครอง ,bpohkL khraawngM,noun,[การปกครอง] administration; guardianship; watch; period of rule
...ปกครองง่าย มีค่าจ้างแรงงานต่ำ และแน่นอน ต้องมีหลักประกันเรื่องความปลอดภัยมั่นคง,bpohkL khraawngM ngaaiF meeM khaaF jaangF raaengM ngaanM dtamL laeH naaeF naawnM dtawngF meeM lakL bpraL ganM reuuangF khwaamM bplaawtL phaiM manF khohngM,example sentence,"""...[where workers] are be easily managed and their wages are low; and certainly there must be guarantees regarding safety and security [for the business]."""
ปกครองบุตร,bpohkL khraawngM bootL,verb,to have custody of a child; child custody
ปกติ ,bpaL gaL dtiL,adjective,[is] normal; natural; usual; common
ปกติ ,bpaL gaL dtiL,noun,natural state; normality
ปกติ ,bpaL gaL dtiL,adverb,[โดยปกติ] normally
ปกติ ,bpaL gaL dtiL,adverb,usually; normally
ปกติ,bpohkL gaL dtiL,,[alternate pronunciation of ปกติ ]
ปกติแกจะเก็บตัวไม่ค่อยสุงสิงกับใคร ,bpaL gaL dtiL gaaeM jaL gepL dtuaaM maiF khaawyF soongR singR gapL khraiM,example sentence,"""He is usually withdrawn and did not socialize with others."""
ปกติผมเป็นคนที่ไม่ค่อยได้เล่นกอล์ฟอยู่แล้ว และก็ไม่มีเวลาด้วย นอกเสียจากเป็นกอล์ฟเชื่อมสัมพันธ์,bpaL gaL dtiL phohmR bpenM khohnM theeF maiF khaawyF daiF lenF gaawpH yuuL laaeoH laeH gaawF maiF meeM waehM laaM duayF naawkF siiaR jaakL bpenM gaawpH cheuuamF samR phanM,example sentence,"""Usually I don’t play golf and I really don’t have time to do so, except [occasionally] for a friendly game."""
ปกติแล้ว ผมจะจองตั๋ว ผ่านอินเทอร์เน็ตเพราะว่ามันง่ายแล้วก็สะดวก,bpaL gaL dtiL laaeoH phohmR jaL jaawngM dtuaaR phaanL inM thuuhrM netH phrawH waaF manM ngaaiF laaeoH gaawF saL duaakL,example sentence,"""Usually, I make reservations over the Internet because it’s easy and convenient."""
ปกติแล้วผมเป็นคนที่ไม่ได้สนใจเรื่องโปรแกรมหนังเท่าไหร่หรอก,bpaL gaL dtiL laaeoH phohmR bpenM khohnM theeF maiF daiF sohnR jaiM reuuangF bpro:hM graaemM nangR thaoF raiL raawkL,example sentence,"""Usually, I am someone who is not very interested in movies."""
ปกติวิสัย,bpaL gaL dtiL wiH saiR,noun,normality; nature; common; regularity
ปกปักรักษา,bpohkL bpakL rakH saaR,verb,to protect; defend; safeguard; shelter; take care of; shield; preserve; maintain
ปกรณ์,bpaL gaawnM,"noun, Pali",scripture; bible; orthodoxy; authority
ปกรณ์,bpaL gaawnM,"noun, Pali",classical literary composition
ปกรณ์,bpaL gaawnM,"noun, Pali",(reference) book; (technical) manual; textbook; collection of formulas or recipes; treatise; exposition; dissertation
ปกรณ์,bpaL gaawnM,"noun, Pali",letter; document
ปกรณ์,bpaL gaawnM,proper noun,Pakorn [Thai male given name]
