word,spell,type,meaning
พ.,wanM phootH,"proper noun, abbreviation",[abbreviation for วันพุธ ] Wednesday
พ.ก.,phaawM gaawM,"noun, abbreviation",[abbreviation for พรรคพลังคนกีฬา] S.P.O.T.
พ.ก.ง.,phaawM gaawM ngaawM,"noun, abbreviation",[abbreviation for พัสดุเก็บเงินปลายทาง] C.O.D.
พ.ก.ท.,phaawM gaawM thaawM,"proper noun, abbreviation",[abbreviation for พรรคเพื่อนเกษตรไทย]
พ.ค.,phreutH saL phaaM khohmM,"proper noun, abbreviation",[abbreviation for พฤษภาคม ] May
พ.จ.ต.,phanM jaaL dtreeM,"noun, abbreviation",[abbreviation for พันจ่าตรี]
พ.จ.ท.,phanM jaaL tho:hM,"noun, abbreviation",[abbreviation for พันจ่าโท]
พ.จ.อ.,phanM jaaL aehkL,abbreviation,[abbreviation for พันจ่าเอก]
พ.ต.,phanM dtreeM,abbreviation,[abbreviation for พันตรี]
พ.ต.ต.,phanM dtamM ruaatL dtreeM,abbreviation,[abbreviation for บำบัดโรค] Police Major
พ.ต.ท.,phanM dtamM ruaatL tho:hM,"noun, abbreviation",[abbreviation for พันตำรวจโท] Police Lieutenant Colonel
พ.ต.อ.,phanM dtamM ruaatL aehkL,"noun, formal, abbreviation",[abbreviation for พันตำรวจเอก ] Police Colonel
พ.ท.,phanM tho:hM,abbreviation,[abbreviation for พันโท]
พ.ป.ท.,phaawM bpaawM thaawM,"proper noun, abbreviation",[abbreviation for พรรคเพื่อประชาชนไทย]
พ.ย.,phreutH saL jiL gaaM yohnM,"noun, proper noun, abbreviation",[abbreviation for พฤศจิกายน ] November
พ.ร.ก.,phaawM raawM gaawM,"noun, abbreviation",[abbreviation for พระราชกฤษฎีกา] Royal Act
พ.ร.ก. ฉุกเฉิน,phaawM raawM gaawM chookL cheernR,"noun, colloquial",Declaration of a State of Emergency
พ.ร.ก. สถานการณ์ฉุกเฉิน,phaawM raawM gaawM saL thaanR naH gaanM chookL cheernR,noun,Declaration of a State of Emergency
พ.ร.ฎ.,phaawM raawM daawM,"noun, abbreviation",[abbreviation for พระราชกฤษฎีกา]
พ.ร.บ.,phaawM raawM baawM,"noun, abbreviation",[abbreviation for พระราชบัญญัติ]
