word,spell,type,meaning
ว.,wiH saehtL,abbreviation,[abbreviation for] วิเศษณ์ ; a modifier (adjective or adverb)
วก,wohkH,"verb, transitive, intransitive, adverb",to turn back
วกกลับ,wohkH glapL,verb,to return; turn back
วกไปวนมา,wohkH bpaiM wohnM maaM,verb,to walk about/around; go round in a circle; circle; beat about the bush
วกวน,wohkH wohnM,verb,to meander; go round; circle; beat about the bush
วกเวียน,wohkH wiianM,verb,to meander
วง ,wohngM,noun,musical group; band
วง ,wohngM,noun,circle
วง ,wohngM,classifier,"[numerical classifier for circles, musical group, orchestra, bracelet]"
วงกบ,wohngM gohpL,noun,window frame; door frame
วงกลม ,wohngM glohmM,noun,circle; ring
วงการ ,wohngM gaanM,noun,circle of influence or activity; society; industry; consortium
วงการ,wohngM gaanM,,cycle
วงการกฎหมาย,wohngM gaanM gohtL maaiR,noun,legal profession
วงการบิน,wohngM gaanM binM,noun,airline industry
วงการวิชาการ,wohngM gaanM wiH chaaM gaanM,"noun, phrase, formal",academia; academic circle
วงโคจร,wohngM kho:hM jaawnM,noun,[วงโคจร] orbit
วงจร ,wohngM jaawnM,noun,circuty; circuit (electricity)
วงจร,wohngM jaawnM,,cycle
วงจรการหมุนเวียนธาตุอาหาร,wohngM jaawnM gaanM moonR wiianM thaatF aaM haanR,noun,nutrient cycle
วงจรของภูมิอากาศ,wohngM jaawnM khaawngR phuumM aaM gaatL,noun,climatic cycles
วงจรข่าย,wohngM jaawnM khaaiL,noun,network; system
วงจรชีวิตก็จะเริ่มใหม่อีกครั้งเป็นวัฏจักร ,wohngM jaawnM cheeM witH gaawF jaL reermF maiL eekL khrangH bpenM watH dtaL jakL,example sentence,"""The circuit of life begins yet again – this is the lifecycle [of the butterfly]."""
วงจรเบ็ดเสร็จ,wohngM jaawnM betL setL,noun,integrated circuit
วงจรปิด,wohngM jaawnM bpitL,adjective,[is] closed-circuit
วงจรอุบาทว์,wohngM jaawnM ooL baatL,"noun, phrase",vicious circle
วงญาติมิตรสหาย,wohngM yaatF mitH saL haaiR,"noun, phrase",relatives and friends; one's community of friends and kinfolk
วงดนตรี ,wohngM dohnM dtreeM,noun,band; musical group; orchestra
วงดนตรีนี้ไม่ห้อยอยู่บนบันไดชั้นบนเฉย ๆ แต่พยายามปลูกฝังรสนิยมการฟังดนตรีแก่เยาวชนและคนทั่วไป,wohngM dohnM dtreeM neeH maiF haawyF yuuL bohnM banM daiM chanH bohnM cheeuyR cheeuyR dtaaeL phaH yaaM yaamM bpluukL fangR rohtH niH yohmM gaanM fangM dohnM dtreeM gaaeL yaoM waH chohnM laeH khohnM thuaaF bpaiM,example sentence,"""This orchestra is not content to remain on the upper rungs of the (classical music) ladder, but continues to instill a taste for (quality) music amongst the youth and the common man."""
