word,spell,type,meaning
หก ,hohkL,"noun, adjective",six; the number or quantity six
หก ,hohkL,verb,to spill; to overturn; to flip upside-down
หกคูณห้าเท่ากับสามสิบ,hohkL khuunM haaF thaoF gapL saamR sipL,example sentence,[spoken:] 6 × 5 = 30
หก มีศีลธรรม รักษาความสัตย์ หวังดีต่อผู้อื่น,hohkL meeM seenR laH thamM rakH saaR khwaamM satL wangR deeM dtaawL phuuF euunL,example sentence,"""6. Be moral, be truthful, wish others well, be generous, and share with others."""
หกโมงครึ่ง ,hohkL mo:hngM khreungF,adverb,06:30 h; 6:30 a.m.
หกโมงเช้า ,hohkL mo:hngM chaaoH,adverb,06:00 h; 6 a.m.
หกโมงเย็น ,hohkL mo:hngM yenM,adverb,18:00 h; 6 p.m.
หกร้อย,hohkL raawyH,noun,six hundred
หกล้ม ,hohkL lohmH,verb,fall down
หกล้มหน้าคว่ำ,hohkL lohmH naaF khwamF,"verb, phrase",to fall flat on one's face.
หกเลน,hohkL laehnM,adjective,"six-lane (highway, e.g.)"
หกสิบ ,hohkL sipL,,sixty; 60
หกเหลี่ยม,hohkL liiamL,noun,hexagonal
หกคะเมน,hohkL khaH maehnM,verb,to fall head over heels; summersault
หกคะเมนตีลังกา,hohkL khaH maehnM dteeM langM gaaM,"verb, phrase",to do a somersault
หงษ์ ,hohngR,,[alternate spelling of หงส์ ]
หงส์ ,hohngR,noun,swan
หงส์ ,hohngR,noun,[Indian mythology] a mythical goose
หงส์ ,hohngR,noun,Chinese legendary phoenix
หงส์แดง,hohngR daaengM,"noun, proper noun",Thai name for the Liverpool F.C. (Liverpool)
หงส์ร่อนมังกรรำ ,hohngR raawnF mangM gaawnM ramM,"noun, phrase","""hovering phoenix, dancing dragon""; a popular traditional Chinese design"
หงส์เหนือมังกร,hohngR neuuaR mangM gaawnM,"noun, idiom","swan over dragon, the ""woman on top"" position for intercourse"
หงสกุล,hohngR saL goonM,proper noun,[Thai surname]
หงส์หยก ,hohngR yohkL,noun,"[นกหงส์หยก] parakeet; budgerigar, budgie"
หงอ,ngaawR,,to cringe; to fear; to be afraid; to be timid
หงอก,ngaawkL,adjective,[of hair] [is] silver-gray
หงอน,ngaawnR,noun,"the fleshy growth, carnucle, or crest on the top of certain birds or fowl; cock's comb"
หงอนนก ,ngaawnR nohkH,noun,crest
หง่อม,ngaawmL,adjective,[is] aged; senile
หงอย ,ngaawyR,"adjective, intransitive",[is] sad; downcast; depressed; listless
หงอยเหงา,ngaawyR ngaoR,adjective,[is] lonely
หง่อย ,ngaawyL,"adjective, adverb",slow; late; slowly; tardily
หง่างเหง่ง,ngaangL ngengL,"noun, poetic",[onomatopoeia] sound of a bell
หงาย,ngaaiR,adjective,to turn face up; supine; to turn (a barrel) right side up
หงายท้อง,ngaaiR thaawngH,verb,to overturn; turn over; tip over
หงายหลัง,ngaaiR langR,verb,to fall over
หงายหลังตกจากเก้าอี้,ngaaiR langR dtohkL jaakL gaoF eeF,"verb, phrase",to fall off one's chair (in surprise or shock)
หงายเงิบ,ngaaiR ngeerpF,adjective,"[is] prone, lying flat"
หงำเหงอะ,ngamR nguhL,adjective,[is] aged; old; senile
หงิกงอ,ngikL ngaawM,adjective,[is] contorted; deformed; distorted
หงิง,ngingR,adverb,"[onomatopoeia] sound of wimpering, whining, humming"
หงิม,ngimR,adjective,[is] reserved; quiet
adjective,[หงิม ๆ] [is] quiet,,
หงิม ๆ,ngimR ngimR,adjective,[หงิม ๆ] [is] quiet
หงิม ๆ หยิบชิ้นปลามัน,ngimR ngimR yipL chinH bplaaM manM,phrase,A still tongue keeps a wise head
หงึก ๆ,ngeukL ngeukL,verb,to nod one's head (to indicate understanding)
หงุดหงิด,ngootL ngitL,adjective,[is] irritated and annoyed
adjective,[ขี้หงุดหงิด] irritable; irritated,,
noun,[ความหงุดหงิด] irritation; annoyance,,
หงุดหงิดอยู่พักหนึ่ง จนเริ่มคิดใหม่ว่าเครียดก็ไม่ได้ทำให้ถึงที่หมายเร็วขึ้น,ngootL ngitL yuuL phakH neungL johnM reermF khitH maiL waaF khriiatF gaawF maiF daiF thamM haiF theungR theeF maaiR reoM kheunF,example sentence,"""I was annoyed for a moment, then, I reconsidered and thought, my getting angry will get me nowhere fast."""
หจก.,haawR jaawM gaawM,abbreviation,[abbreviation for ห้างหุ้นส่วนจำกัด]
หญ้า ,yaaF,noun,"grass, turf, family Gramineae"
หญ้าคา,yaaF khaaM,noun,lalang grass
หญ้าเฉาก๊วย,yaaF chaoR guayH,"noun, loanword, Chinese",[หญ้าเฉาก๊วย] [the type of] grass used for making jelly grass
หญ้าปากคอก,yaaF bpaakL khaawkF,"example sentence, figurative","""Grass at the entrance to the stall."" — easy pickings; low-hanging fruit"
หญ้าม็อส,yaaF mawtH,noun,moss; lichen
หญ้าหนวดแมว,yaaF nuaatL maaeoM,noun,[หญ้าหนวดแมว] cat's whiskers Orthosiphon grandiflorus
หญ้าแห้ง,yaaF haaengF,noun,hay
หญ้าฝรั่น ,yaaF faL ranL,noun,[general] saffron
noun,"[ต้นหญ้าฝรั่น] saffron, Crocus sativus",,
noun,[สีหญ้าฝรั่น] the color saffron    ,,
หญิง ,yingR,adjective,female
noun,woman; women,,
"noun, adjective",[ผู้หญิง] girl; woman; women,,
หญิงแก่ที่อยู่ในบ้านเวิกผ้าม่านขึ้นช้า ๆ เพราะเกรงว่าคนข้างนอกจะเห็น,yingR gaaeL theeF yuuL naiM baanF weerkF phaaF maanF kheunF chaaH chaaH phrawH graehngM waaF khohnM khaangF naawkF jaL henR,example sentence,"""The old lady who lived in the house raised the curtains slowly because she was afraid that someone outside would see [in]."""
หญิงงาม,yingR ngaamM,noun,beautiful woman; beautiful girl
หญิงชรากัดฟันเดิน แต่เหมือนมีใครยื้อยุดให้ก้าวขาไม่ออก,yingR chaH raaM gatL fanM deernM dtaaeL meuuanR meeM khraiM yeuuH yootH haiF gaaoF khaaR maiF aawkL,example sentence,"""The old woman made a determined effort to walk but it was as if someone were holding her back."""
หญิงชราคนหนึ่งก็กำลังเดินทางมา ใส่เสื้อผ้าเก่า ๆ ขาดกะรุ่งกะริ่ง,yingR chaH raaM khohnM neungL gaawF gamM langM deernM thaangM maaM saiL seuuaF phaaF gaoL gaoL khaatL gaL roongF gaL ringF,example sentence,"""An old woman is walking toward (them); she is wearing an old, torn, and tattered dress."""
หญิงที่ตั้งครรภ์มักจะใจน้อยง่ายกว่าปกติ,yingR theeF dtangF khanM makH jaL jaiM naawyH ngaaiF gwaaL bpaL gaL dtiL,example sentence,"""Pregnant women are more sensitive than they would normally be [if they were not pregnant]."""
หญิงไทย,yingR thaiM,noun,Thai women; Thai woman
หญิงไทยยุคปัจจุบันเห่อเอาค่านิยมของผู้หญิงแถบอเมริกาเพราะเห็นว่าโก้เก๋มีรสนิยม,yingR thaiM yookH bpatL jooL banM huuhrL aoM khaaF niH yohmM khaawngR phuuF yingR thaaepL aL maehM riH gaaM phrawH henR waaF go:hF gehR meeM rohtH niH yohmM,example sentence,"""Nowadays, Thai women are infatuated with the fashions of American women because they believe that chic is in."""
หญิงไทยยุคปัจจุบันเห่อเอาค่านิยมของผู้หญิงแถบอเมริกาเพราะเห็นว่าเริดมีรสนิยม,yingR thaiM yookH bpatL jooL banM huuhrL aoM khaaF niH yohmM khaawngR phuuF yingR thaaepL aL maehM riH gaaM phrawH henR waaF reertF meeM rohtH niH yohmM,example sentence,"""The modern Thai woman is excited about the values of American women because the view [these] women as chic and having good taste."""
หญิงไปเพื่อที่จะไปเอากระเป๋ากลับมาให้ได้ ,yingR bpaiM pheuuaF theeF jaL bpaiM aoM graL bpaoR glapL maaM haiF daiF,example sentence,"""The woman went in order to get her purse back."""
หญิงพรหมจรรย์,yingR phrohmM maH janM,noun,[formal term for] a virgin
หญิงพรหมจารี ,yingR phrohmM maH jaaM reeM,noun,a virgin (female)
หญิงม่าย,yingR maaiF,noun,widower
หญิงมีผมสีทอง,yingR meeM phohmR seeR thaawngM,noun,[Thai description of] a blonde woman
หญิงไม่ทราบนาม ,yingR maiF saapF naamM,"noun, phrase, formal","a Jane, a female of unknown name"
หญิงไม่มีสิทธิที่จะไปรักใคร่ชอบพอ หรือเกี้ยวพาราสีกับชายคนใดก่อน,yingR maiF meeM sitL thiH theeF jaL bpaiM rakH khraiF chaawpF phaawM reuuR giaaoF phaaM raaM seeR gapL chaaiM khohnM daiM gaawnL,example sentence,"""Women do not have the right to take the initiative to love or to court any man."""
หญิงรักร่วมเพศ,yingR rakH ruaamF phaehtF,noun,lesbian
หญิงสาว ,yingR saaoR,noun,"girl, young woman, unmarried woman; year or zodiac sign of the Virgin"
หญิงสาวคิดจะแจ้งเกิดโดยถอดยกทรงเต้นในงานสงกรานต์ แต่วิธีนี้กลับแป๊ก เพราะนอกจากจะไม่ได้เกิดแล้ว ยังโดนข้อหาอนาจารอีกด้วย,yingR saaoR khitH jaL jaaengF geertL dooyM thaawtL yohkH sohngM dtenF naiM ngaanM sohngR graanM dtaaeL wiH theeM neeH glapL bpaaekH phrawH naawkF jaakL jaL maiF daiF geertL laaeoH yangM do:hnM khaawF haaR aL naaM jaanM eekL duayF,example sentence,"""The pretty young actress decided that the best way to become famous would be to take off her bra and dance during Songkran. But it really backfired! Not only did she not become a star, she was arrested and charged with indecent exposure."""
หญิงสาวที่นั่งแท็กซี่ตอนดึกสุ่มเสี่ยงจะถูกข่มขืน,yingR saaoR theeF nangF thaekH seeF dtaawnM deukL soomL siiangL jaL thuukL khohmL kheuunR,example sentence,"""Young women who travel in taxis late at night are at risk of being raped."""
หญิงสาวไม่รู้ว่าจะทำกระไรดีด้วยประหม่าสายตาชายหนุ่ม ,yingR saaoR maiF ruuH waaF jaL thamM graL raiM deeM duayF bpraL maaL saaiR dtaaM chaaiM noomL,example sentence,"""The girl doesn't know what to do, for she feels awkward with the man's staring."""
หญิงสำส่อน,yingR samR saawnL,,prostitute; harlot; whore
หญิงโสด ,yingR so:htL,noun,spinster
หญิงโสเภณีเป็นหญิงที่โลกประณามว่าชั่วช้าสารเลวไม่น่าคบ,yingR so:hR phaehM neeM bpenM yingR theeF lo:hkF bpraL naamM waaF chuaaF chaaH saanR laayoM maiF naaF khohpH,example sentence,"""A prostitute is a woman whom the whole world looks down on as being evil and without redeeming value, and [thus] not worthy of social acceptance."""
หด ,hohtL,verb,[to] shrink; retract; withdraw; draw back
หดตัว,hohtL dtuaaM,verb,to shrink; get smaller in size
หดตัวลง,hohtL dtuaaM lohngM,verb,to contract; shrink
หดหัว,hohtL huaaR,verb,hide (one's) head; shrink from
หดหู่,hohtL huuL,adjective,"[of a person, is] depressed; dejected; despirited"
noun,[ความหดหู่] melancholy; depression; dejection; sadness,,
adjective,[น่าหดหู่] [is feeling or subject to feeling] depressed; dejected,,
adjective,[หดหู่ใจ] [is feeling] depressed,,
หดหู่ใจ,hohtL huuL jaiM,adjective,[หดหู่ใจ] [is feeling] depressed
หทัย,haL thaiM,"noun, formal, poetic, loanword, Pali",heart; mind
