word,spell,type,meaning
ก,,abbreviation,a.) — [indicating the first item in a list]; Mr. A.
abbreviation,[The first letter of the Thai alphabet],,
ก. แกรู้ไหมอ้ายหมอนั่นสอบตกอีกแล้ว,gaaeM ruuH maiR aaiF maawR nanF saawpL dtohkL eekL laaeoH,example sentence,"You know that fellow flunked the exam again, right?"
ก. ใกล้หมดเวลาพักเที่ยงแล้ว ยังกินข้าวไม่เสร็จอีกหรือ,glaiF mohtL waehM laaM phakH thiiangF laaeoH yangM ginM khaaoF maiF setL eekL reuuR,example sentence,Our lunch break is almost over; aren’t you finished eating yet?
ก ข ไม่กระดิกหู,maiF graL dikL huuR,"noun, phrase, idiom",one who has learned the language but still can't read and write.
ก. ขอพูดกับเกล็นครับ ,khaawR phuutF gapL glenM khrapH,"example sentence, formal","[on the phone] ""May I speak to Glenn, please?"
ก. ขอให้สมพรปากนะ,khaawR haiF sohmR phaawnM bpaakL naH,example sentence,Mr. A: From your lips to God’s ear.
ก. เขาจะมาหาคุณวันนี้ ใช่ไหม,khaoR jaL maaM haaR khoonM wanM neeH chaiF maiH,example sentence,"They’re coming to see you today, aren’t they?"
ก. เขาไปไหนเนี่ย,khaoR bpaiM naiR niiaF,example sentence,I wonder where he went.
[ก.] ความจริงตัวผมเองชอบอยู่บ้านมากกว่า แต่สำหรับคนโสดผมว่าอยู่แฟล็ตดีกว่า,khwaamM jingM dtuaaM phohmR aehngM chaawpF yuuL baanF maakF gwaaL dtaaeL samR rapL khohnM so:htL phohmR waaF yuuL flaetH deeM gwaaL,example sentence,"[a.] ""Actually, as for me I prefer living in a house. But for single persons, I think living in a flat is better."
ก. คืนนี้ไปเที่ยวไหนกันดี พวกเรา,kheuunM neeH bpaiM thiaaoF naiR ganM deeM phuaakF raoM,example sentence,"Girls, where should we hang out tonight?"
[ก.] คุณครับ อย่าขับเร็วนักสิครับ กรุณาขับช้า ๆ หน่อยได้ไหมครับ,khoonM khrapH yaaL khapL reoM nakH siL khrapH gaL rooH naaM khapL chaaH chaaH naawyL daiF maiH khrapH,example sentence,"[a.] ""Miss! Don't drive so fast. Could you please slow down a little?"
ก. คุณจะโทรกลับบ้านเมื่อไร,khoonM jaL tho:hM glapL baanF meuuaF raiM,example sentence,When will you call home?
