word,spell,type,meaning
ฤ,riH,"particle, loanword, Sanskrit",a Sanskrit ligature (consonant and vowel combination) which can be pronounced as ริ (ฤทธิ์) or รึ (พฤกษา) or เรอ (ฤกษ์ ). The character is not normally listed in the Thai alphabet although appearing between ร and ล in Thai alphabetical order
ฤ,riH,"particle, formal, poetic, archaic, ancient, loanword, Sanskrit",[a particle indicating negation] not; no [usually used in Thai poetry]
ฤ,riH,"particle, formal, poetic, archaic, ancient, loanword, Sanskrit",[interrogative] which? what?
ฤกษ์ ,reerkF,"noun, loanword, Sanskrit",auspicious occasion; lucky time; propitious moment
ฤกษ์ ,reerkF,"noun, proper noun",[ดาวฤกษ์] fixed star
ฤกษ์งามยามดี,reerkF ngaamM yaamM deeM,noun,auspicious time; the correct moment (for)
ฤกษ์ดี,reerkF deeM,noun,auspicious time
ฤคเวท,reukH khaH waehtF,"proper noun, loanword, Sanskrit",The Rg-Veda—one of the three ancient Hinduism writs
ฤชา,reuH chaaM,"noun, archaic, loanword, Sanskrit",fee
ฤชากร,reuH chaaM gaawnM,"noun, archaic, loanword, Sanskrit",revenue derived from fee
ฤชาธรรมเนียม,reuH chaaM thamM niiamM,noun,(i.e. court) fees; (i.e. membership) dues; charges
ฤชุ,reuH chooH,"adjective, loanword, Sanskrit",[is] straightforward; upright; honest; trustworthy
ฤดี,reuH deeM,"noun, poetic, loanword, Sanskrit",pleasure; delight; gladness
ฤดี,reuH deeM,"proper noun, person, formal, loanword, Pali","Rudee [a Thai female given name] (pleasure, delight)"
ฤดู ,reuH duuM,"noun, loanword, Sanskrit","[climate, weather] season"
ฤดู ,reuH duuM,"noun, loanword, Sanskrit",a period of time in commerce or agriculture
ฤดู ,reuH duuM,"noun, loanword, Sanskrit","[sports, play or show] season"
ฤดู ,reuH duuM,classifier,[numerical classifier for season]
ฤดูการแข่งบอลได้เวียนมาอีกหน ,reuH duuM gaanM khaengL baawnM daiF wiianM maaM eekL hohnR,example sentence,"""The football season has come around again!"""
ฤดูกาล,reuH duuM gaanM,"noun, loanword, Sanskrit",a season
ฤดูกาลก็เป็นสิ่งสำคัญ,reuH duuM gaanM gaawF bpenM singL samR khanM,example sentence,"""The changing of the seasons was an important factor."""
ฤดูเก็บเกี่ยว,reuH duuM gepL giaaoL,noun,a harvest time or busy farming season
ฤดูติดสัด,reuH duuM dtitL satL,noun,animals' mating season
ฤดูไถหว่าน ,reuH duuM thaiR waanL,"noun, phrase, formal",season or time for plowing/ploughing and rice-planting
ฤดูทำนา,reuH duuM thamM naaM,noun,farming or rice-growing season
ฤดูน้ำหลาก,reuH duuM naamH laakL,noun,the flooding season
ฤดูใบไม้ผลิ ,reuH duuM baiM maaiH phliL,noun,the season; spring
ฤดูใบไม้ร่วง ,reuH duuM baiM maaiH ruaangF,"noun, phrase, formal",autumn; fall (the season)
ฤดูฝน ,reuH duuM fohnR,noun,rainy season (July - October in Thailand)
ฤดูร้อน ,reuH duuM raawnH,noun,summer; hot season (March - June in Thailand)
ฤดูร้อนช้างไม่ไปไหนไกลลำห้วย,reuH duuM raawnH chaangH maiF bpaiM naiR glaiM lamM huayF,example sentence,"""[During] the summer elephants do not go far from creeks and streams."""
ฤดูแล้ง ,reuH duuM laaengH,noun,dry season
ฤดูแล้งจัด ๆ ช้างจะขุดหลุมเล็ก ๆ ริม ๆ ห้วยให้น้ำซึมขึ้นมา ๆ,reuH duuM laaengH jatL chaangH jaL khootL loomR lekH rimM huayF haiF naamH seumM kheunF maaM,example sentence,"""During the very dry season, the elephants dig small holes along the edges of the creeks so that water can well up in them."""
ฤดูหนาว ,reuH duuM naaoR,noun,winter; cold season (November - February in Thailand)
ฤทธ์ ,ritH,"adjective, loanword, Sanskrit",prosperous; thriving; growing; rich; increasing
ฤทธา,ritH thaaM,noun,power; effect
ฤทธานุ,ritH thaaM nooH,,[alternate spelling of ฤทธา]
ฤทธานุภาพ,ritH thaaM nooH phaapF,noun,supernatural power
ฤทธิ์,ritH,"noun, adjective, loanword, Sanskrit","enormous ability or resource; formidable force; colossal power; might; supernatural or paranormal power, miraculous or magical faculty"
ฤทธิ์,ritH,"noun, loanword, Sanskrit",prosperity; progress; growth
ฤทธิ์,ritH,"noun, formal, loanword, Sanskrit",[of medicines] effect
ฤทธิ์ทางเภสัชวิทยา,ritH thaangM phaehM satL chaH witH thaH yaaM,noun,pharmacological activity
ฤทธิ์อย่างอ่อน ,ritH yaangL aawnL,"adjective, phrase, formal",[of the effect of medicines or drugs] mild
ฤทธิ์เดช,ritH daehtL,noun,power; might; force; power
ฤทธี,ritH theeM,,[alternate spelling of ฤทธิ์]
ฤทัย ,reuH thaiM,"noun, loanword, Sanskrit",mind; heart; soul; feeling
ฤทัย ,reuH thaiM,"noun, proper noun, person, loanword, Sanskrit","Ruthai [a Thai female given name] (heart, mind)"
ฤษี,reuH seeR,"noun, loanword, Sanskrit",a hermit; anchorite; ascetic
ฤษี,reuH seeR,"noun, figurative, idiom, loanword, Sanskrit","[idiomatic usage: a person who lives alone, away from people and sociey]"
ฤาษี ,reuuM seeR,,[alternate spelling of ฤๅษี ]
ฤๅ,reuuM,"particle, formal, poetic, archaic, ancient, loanword, Sanskrit",[a particle indicating negation] not; no (usually used in Thai poetry)
ฤๅ,reuuM,"particle, Sanskrit","[indicating a question] ""?"""
ฤๅ,reuuM,"particle, Sanskrit",[interrogatory] what; which
ฤๅษี ,reuuM seeR,"noun, loanword, Sanskrit",ascetic; meditating recluse or hermit
ฤๅษีเลี้ยงลิง,reuuM seeR liiangH lingM,"phrase, idiom","to bring up unruly children — ""Like herding cats."""
ฤๅษีเลี้ยงลิง,reuuM seeR liiangH lingM,,[literal] “a hermit shepherding monkeys”
ฤๅษีเลี้ยงลิง,reuuM seeR liiangH lingM,,[metaphor] a government of overachieving but uncontrollable leaders.
ฤๅษีเลี้ยงเต่า,reuuM seeR liiangH dtaoL,"noun, poetic",lit. “a hermit shepherding turtles”
ฤๅษีเลี้ยงเต่า,reuuM seeR liiangH dtaoL,noun,(metaphor) a government of geriatric and unresponsive leaders
