word,spell,type,meaning
ถ.,thaL nohnR,abbreviation,[abbreviation for] ถนน ; road
ถ. เยาวราช,thaL nohnR yaoM waH raatF,proper noun,"[ถ. เยาวราช] Yaowarat Road, the main artery of the ""Chinatown"" section of Bangkok"
ถก,thohkL,verb,to debate; argue; dispute; to discuss
ถก,thohkL,verb,to flay; to roll up; to skin or strip off; to hike up or pull up
ถกเถียง,thohkL thiiangR,verb,to dispute
ถกเถียงโต้แย้ง,thohkL thiiangR dto:hF yaaengH,"verb, phrase",to disagree; argue; object
ถกล,thaL gohnM,verb,build; erect; set up; construct
ถกล,thaL gohnM,adjective,[is] beautiful
ถงัน,thaL nganR,verb,to jump or skip forwards
ถงาด,thaL ngaatL,verb,to crane (one's) neck
ถงาด,thaL ngaatL,verb,to assume a position of readiness to pounce
ถงาด,thaL ngaatL,verb,to pass by
ถด,thohtL,verb,to move; to budge; to withdraw; to creep
ถดถอย,thohtL thaawyR,verb,to retreat; regress; move backwards; withdraw
ถดถอย,thohtL thaawyR,verb,to deteriorate; become worse; degrade
ถดถอย,thohtL thaawyR,adjective,[is] discouraged; disheartened; depressed; dispirited
ถดถอย,thohtL thaawyR,adjective,[is] discouraged
ถนน ,thaL nohnR,noun,road; boulevard; avenue; street
ถนนกำลังจอแจไปด้วยยวดยานพาหนะ,thaL nohnR gamM langM jaawM jaaeM bpaiM duayF yuaatF yaanM phaaM haL naH,example sentence,"""The street is hustling and bustling with all kinds of vehicles."""
ถนนข้าวสาร,thaL nohnR khaaoF saanR,proper noun,"Khao San Road, a road in Bang Lumpu area of Bangkok famous for inexpensive guesthouses for foreigners and travelers"
ถนนชิดลม,thaL nohnR chitH lohmM,"proper noun, geographical",[ถนนชิดลม] [name of a road in Bangkok] Chitlom; Chidlom
ถนนตรงดิ่วไปสู่นครราชสีมา ,thaL nohnR dtrohngM diuL bpaiM suuL naH khaawnM raatF chaH seeR maaM,phrase,This road goes straight to Nakhon Rachasima
ถนนที่ไปบางกะปิ ,thaL nohnR theeF bpaiM baangM gaL bpiL,example sentence,"""The road which goes to Bangkapi."""
ถนนที่สอง ,thaL nohnR theeF saawngR,phrase,the second road
ถนนในเมือง,thaL nohnR naiM meuuangM,noun,a city street
ถนนในอินเดียใต้ส่วนใหญ่เก่าและแคบ สองข้างทางมีต้นไม้ใหญ่โอบรอบ,thaL nohnR naiM inM diiaM dtaaiF suaanL yaiL gaoL laeH khaaepF saawngR khaangF thaangM meeM dtohnF maaiH yaiL o:hpL raawpF,example sentence,"""The streets in Southern India are for the most part old and narrow; large trees embrace the road from both sides."""
ถนนฝุ่นว่างร้างคน,thaL nohnR foonL waangF raangH khohnM,example sentence,"""The streets were dusty and deserted."""
ถนนพระราม,thaL nohnR phraH raamM,"proper noun, geographical","[ถนนพระราม] [names of roads in Bangkok] Rama (I, II, III, IV, V, VI, VII, IX)"
ถนนเพชรบุรี,thaL nohnR phaehtF booL reeM,proper noun,[ถนนเพชรบุรี] [name of a road in Bangkok] Petchaburi; Pejburi; Petchburi
ถนนเพลินจิต,thaL nohnR phleernM jitL,"proper noun, geographical",[ถนนเพลินจิต] [name of a road in Bangkok] Ploenjit; Ploenchit; etc.
ถนนไม่มีคนพลุกพล่าน แต่มีแผงลอยหรือเสื่อแบกะดินอยู่ทุกช่วงเสาไฟฟ้า ขายเครื่องรางเหมือนกันทุกเจ้า,thaL nohnR maiF meeM khohnM phlookH phlaanF dtaaeL meeM phaaengR laawyM reuuR seuuaL baaeM gaL dinM yuuL thookH chuaangF saoR faiM faaH khaaiR khreuuangF raangM meuuanR ganM thookH jaoF,example sentence,"""The streets were not very crowded but shopping stalls or itinerant peddlers displaying their wares on woven mats were set up between each electric pole. Every vendor sold the same amulets."""
ถนนรัชดาภิเษก,thaL nohnR ratH chaH daaM phiH saehkL,"proper noun, geographical",[ถนนรัชดาภิเษก] [name of a road in Bangkok] Rajadabhisake; Rachadapisek; etc.
ถนนราชดำเนิน ,thaL nohnR raatF chaH damM neernM,"proper noun, geographical",Rajdamnern Road
ถนนราชดำริ,thaL nohnR raatF chaH damM riH,"proper noun, geographical",[ถนนราชดำริ] [name of a road in Bangkok] Rajdumri; Rajadamri; Ratchadamri; etc.
ถนนราชปรารภ,thaL nohnR raatF bpraaM rohpH,proper noun,[ถนนราชปรารภ] [name of a road in Bangkok] Rajaprarop; Rachaprarop; Rajprarop
ถนนลูกรัง,thaL nohnR luukF rangM,noun,unpaved road; dirt road; road without asphalt; laterite road
ถนนเลน ,thaL nohnR laehnM,noun,dirt road
ถนนเลี่ยงเมือง,thaL nohnR liiangF meuuangM,noun,by-pass roads; loops (around a city)
ถนนวงแหวน,thaL nohnR wohngM waaenR,noun,[ถนนวงแหวน] rign road; loop
ถนนวิทยุ ,thaL nohnR witH thaH yooH,"proper noun, geographical",Wittayu Road; Wireless Road
ถนนสาธร,thaL nohnR saaR thaawnM,"proper noun, geographical","[ถนนสาธร] [name of a road and financial district in Bangkok] Satorn, Sathorn, etc."
ถนนสายนั้น ที่ทอดยาว,thaL nohnR saaiR nanH theeF thaawtF yaaoM,example sentence,"""That long road ahead..."""
ถนนสายนี้ช่วยร่นเวลาและระยะทางในการเดินทางไปได้อีกมากโข,thaL nohnR saaiR neeH chuayF rohnF waehM laaM laeH raH yaH thaangM naiM gaanM deernM thaangM bpaiM daiF eekL maakF kho:hR,example sentence,"""This road will help to shorten the time and distance it takes to travel by a considerable amount."""
ถนนสีลม ,thaL nohnR seeR lohmM,"proper noun, geographical",Silom Road
ถนนสีลมอยู่ที่ไหน ,thaL nohnR seeR lohmM yuuL theeF naiR,example sentence,"""Where is Silom Road?"""
ถนนสุขุมวิท ,thaL nohnR sooL khoomR witH,"proper noun, geographical",Sukhumvit Road
ถนนหนทาง,thaL nohnR hohnR thaangM,"noun, plural, idiom",roads; streets; lanes
ถนนหลวง ,thaL nohnR luaangR,noun,public thoroughfare
ถนนหลัก,thaL nohnR lakL,noun,[common name for the main street of a town or city] Main street
ถนนใหญ่ ,thaL nohnR yaiL,"noun, formal",main road; arterial route
