word,spell,type,meaning
ฝ.,phaaM saaR faL rangL saehtL,abbreviation,[dictionary abbreviation for] ภาษาฝรั่งเศส; (French)
ฝน ,fohnR,noun,rain
ฝน ,fohnR,"verb, transitive",to sharpen (one's) skill; to hone; whittle; whet; grind
ฝนกระหน่ำลงมาพร้อมกับเสียงฟ้าลั่นครืน,fohnR graL namL lohngM maaM phraawmH gapL siiangR faaH lanF khreuunM,example sentence,"""The rain pounded down while the thunder resounded noisily."""
ฝนขาดเม็ด,fohnR khaatL metH,"verb, intransitive",to stop raining
ฝนจะตกอีกนาน,fohnR jaL dtohkL eekL naanM,adjective,The rain will continue to fall for a while.
ฝนชนิดมีลูกเห็บ,fohnR chaH nitH meeM luukF hepL,noun,[Thai description of] sleet
ฝนชุก ,fohnR chookH,,very rainy
ฝนตก ,fohnR dtohkL,example sentence,"""It's raining."""
ฝนตก ,fohnR dtohkL,verb,it rains; rain falls
ฝนตกกะปริดกะปรอย,fohnR dtohkL gaL bpritL gaL bpraawyM,example sentence,"""It is raining in dribs and drabs."""
ฝนตกขี้หมูไหล,fohnR dtohkL kheeF muuR laiR,adjective,[is] meaningless; of no consequence; irrelevant
ฝนตกขี้หมูไหล,fohnR dtohkL kheeF muuR laiR,adjective,[describing a person] [is] worthless; low-class; wicked; evil
ฝนตกแค่นี้ ไม่หนักหนาอะไรเท่าไหร่หรอก ไปได้ สบายมาก,fohnR dtohkL khaaeF neeH maiF nakL naaR aL raiM thaoF raiL raawkL bpaiM daiF saL baaiM maakF,example sentence,"""It only rained only this much [a little bit]; it didn’t rain heavily at all. We can go now without any trouble."""
ฝนตกตลอดเวลา,fohnR dtohkL dtaL laawtL waehM laaM,example sentence,"""It rains all the time."""
ฝนตกทำให้แผนที่ค่อนข้างจะเปื่อยยุ่ยและต้องถือด้วยความระมัดระวัง,fohnR dtohkL thamM haiF phaaenR theeF khaawnF khaangF jaL bpeuuayL yuyF laeH dtawngF theuuR duayF khwaamM raH matH raH wangM,example sentence,"""The rain made the map rather wet and limp and we had to handle it with great care."""
ฝนตกทุกวัน ,fohnR dtohkL thookH wanM,example sentence,"""It rains every day."""
ฝนตกแบบสาหัสสากรรจ์อย่างนี้ ไม่ต้องไปไหนพอดี,fohnR dtohkL baaepL saaR hatL saaR ganM yaangL neeH maiF dtawngF bpaiM naiR phaawM deeM,example sentence,"""With the rain falling so heavily, we can forget about going anywhere."""
ฝนตกปรอย ๆ,fohnR dtohkL bpraawyM bpraawyM,,"""It's drizzling."""
ฝนตกมาสามวันแล้ว ,fohnR dtohkL maaM saamR wanM laaeoH,example sentence,"""It has been raining for the last three days."""
ฝนตกเมื่อวันเสาร์ที่แล้ว ,fohnR dtohkL meuuaF wanM saoR theeF laaeoH,example sentence,"""It rained last Saturday."""
ฝนตกไม่ทั่วฟ้า ,fohnR dtohkL maiF thuaaF faaH,"example sentence, idiom","""Life is not fair."" [lit. It can't rain everywhere at once]"
ฝนตกไม่มีเค้า,fohnR dtohkL maiF meeM khaaoH,example sentence,"""Things happen unexpectedly."""
ฝนตกหนักบางแห่ง,fohnR dtohkL nakL baangM haengL,"noun, example sentence","""Heavy rain is falling in certain locations."""
ฝนตกอยู่ตลอดวัน,fohnR dtohkL yuuL dtaL laawtL wanM,example sentence,"""It rains all day."""
ฝนต้องตกแน่,fohnR dtawngF dtohkL naaeF,example sentence,"""It's going to rain for sure."""
ฝนถล่มกรุงและอีกหลายจังหวัดในช่วงนี้ เพราะเข้าสู่โหมดฤดูฝนแล้ว,fohnR thaL lohmL groongM laeH eekL laaiR jangM watL naiM chuaangF neeH phrawH khaoF suuL mo:htL reuH duuM fohnR laaeoH,example sentence,"""Rain has now fallen on the capital and in many more provinces because we have already entered rainy season mode."""
ฝนทอง,fohnR thaawngM,"noun, phrase",a tiny vertical stroke or strokes placed on the vowel อิ to create อี or อื
ฝนทั่งให้เป็นเข็ม,fohnR thangF haiF bpenM khemR,"phrase, idiom","""sharpen an anvil to create a pin""; to painstakingly perform an extremely difficult task that takes long time to finish and endure the hardships it entail; ""Constant dropping wears away the stone."" — ""Rome was not built in a day."""
ฝนทิ้งช่วง,fohnR thingH chuaangF,"noun, phrase",a period of low rain; dry spell
ฝนที่ตกอยู่ใกล้ ๆ พัดพาเอาความเย็นและความชุ่มชื้นมากกระทบตัวจนรู้สึกได้,fohnR theeF dtohkL yuuL glaiF glaiF phatH phaaM aoM khwaamM yenM laeH khwaamM choomF cheuunH maakF graL thohpH dtuaaM johnM ruuH seukL daiF,example sentence,"""The nearby rain is blowing in a lot of cool air and humidity which I can readily feel."""
ฝนเทลงมาอย่างหนัก มองไปข้างหน้าไม่เห็นสิ่งใดนอกจากม่านฝน,fohnR thaehM lohngM maaM yaangL nakL maawngM bpaiM khaangF naaF maiF henR singL daiM naawkF jaakL maanF fohnR,example sentence,"""The rain is pouring down heavily; you cannot see anything ahead of you except for curtain of rain."""
ฝนเทียม,fohnR thiiamM,noun,artificial rain; cloud seeding
ฝนปรอย ๆ ,fohnR bpraawyM bpraawyM,noun,rain shower
ฝนพรำ,fohnR phramM,"verb, intransitive",[of rain] to shower lightly
ฝนฟ้า,fohnR faaH,noun,the weather
ฝนฟ้าคะนอง,fohnR faaH khaH naawngM,noun,thunder showers
ฝนฟ้าคะนองกระจาย,fohnR faaH khaH naawngM graL jaaiM,noun,scattered thunder showers
ฝนฟ้าอากาศ,fohnR faaH aaM gaatL,noun,the weather
