word,spell,type,meaning
ค,,noun,[indicating the third item in a listing] Mr. C
ค. คุณไม่ต้องห่วงหรอก ผมคิดว่าผมรู้จักเขาดีพอ,khoonM maiF dtawngF huaangL raawkL phohmR khitH waaF phohmR ruuH jakL khaoR deeM phaawM,example sentence,B. You don’t need to worry. I think that I know him well enough.
ค. ใช้รีเฟล็กซ์ในการเติมแสงบริเวณใบหน้า (วิธีนี้จะให้แสงที่นุ่มและมีมิติมากกว่าการใช้แฟล็ชธรรมดา),chaiH reeM faL lekL naiM gaanM dteermM saaengR baawM riH waehnM baiM naaF wiH theeM neeH jaL haiF saaengR theeF noomF laeH meeM miH dtiL maakF gwaaL gaanM chaiH flaetH thamM maH daaM,example sentence,3. Use a reflector when supplementing light around [a model’s] face. (This method will soften the light and add more dimensions than the use of a regular flash.)
ค. ดี ๆ อยากไปซื้อของอยู่พอดี,deeM deeM yaakL bpaiM seuuH khaawngR yuuL phaawM deeM,example sentence,Cool. I was just thinking I wanted to do some shopping.
ค. แต่เราอยากซื้อของอ่ะ ไปมาบุญครองเหอะ,dtaaeL raoM yaakL seuuH khaawngR aL bpaiM maaM boonM khraawngM huhL,example sentence,But I wanna shop! Let's go MBK I beg you guys!
ค. อย่ามาทำไก๋เลย พี่พาสาวคนไหนไปเที่ยว บอกมานะ ไม่บอกตาย,yaaL maaM thamM gaiR leeuyM pheeF phaaM saaoR khohnM naiR bpaiM thiaaoF baawkL maaM naH maiF baawkL dtaaiM,example sentence,Don’t play dumb with me! Which chick did you go out on a date with? Give it up! I’ll kill you if you don’t.
ค.ญ.,khoonM yingR,abbreviation,"[honorific] Lady, wife of high-ranking Thai official; title for a female of the rank of หม่อมราชวงศ์"
ค.ศ. ,khaawM saawR,abbreviation,"[short for] คริสต์ศักราช; A.D.; ANNO DOMINI; in the year of the Lord""; Christian Era"
คกก.,khaawM gaawM gaawM,"noun, abbreviation",[abbreviation for คณะกรรมการ ] committee
คค.,graL suaangM khaH maH naaM khohmM,"noun, abbreviation",[abbreviation for กระทรวงคมนาคม]
คง ,khohngM,adverb,probably; most likely
auxiliary verb,[auxiliary verb] probably...; may...; might...,,
adjective,[is] permanent; fixed,,
"verb, intransitive, formal",to remain,,
คงกิน,khohngM ginM,verb,[คงกิน] <subject> probably eats
คงแก่เรียน,khohngM gaaeL riianM,adjective,[is] erudite; learned; knowledgeable
คงเขียน,khohngM khiianR,verb,[คงเขียน] <subject> probably writes
