word,spell,type,meaning
ผ.อ.,phaawR aawM,,[alternate spelling of ผอ.]
ผ.อ. เรียกไปพบก็ไปเถอะ เธออย่าปอดกระเส่าไปหน่อยเลย,phaawR aawM riiakF bpaiM phohpH gaawF bpaiM thuhL thuuhrM yaaL bpaawtL graL saoL bpaiM naawyL leeuyM,example sentence,"""[If] the [school] director calls you to meet him, go. Don’t be afraid."""
ผก,phohkL,verb,to turn round; change; turn over; turn up-side down
ผกผัน,phohkL phanR,verb,to veer around; shift; change; turn around; turn over
ผกก.,phaawR gaawM gaawM,"noun, abbreviation",[abbrevation for ผู้กำกับการ]
ผกก.สภ.,phaawR gaawM gaawM saawR phaawM,noun,Superintendent of Provincial Police
ผกค.,phaawR gaawM khaawM,"noun, abbreviation",[abbreviation for ผู้ก่อการร้ายคอมมิวนิสต์]
ผกา,phaL gaaM,noun,flower
ผง ,phohngR,noun,dust; powder
ผงกะหรี่ ,phohngR gaL reeL,noun,curry powder
ผงขาว,phohngR khaaoR,noun,heroin
ผงคลี,phohngR khleeM,noun,fine dust; dirt
ผงชูรส ,phohngR chuuM rohtH,noun,monosodium glutamate (MSG)
ผงซักผ้า ,phohngR sakH phaaF,noun,soap; laundry detergent
ผงซักฟอก ,phohngR sakH faawkF,noun,soap; laundry detergent
ผงพะโล้,phohngR phaH lo:hH,noun,Chinese five spice powder used to make พะโล้ for example
ผงฟอกขาว ,phohngR faawkF khaaoR,noun,sodium hypochlorite — NaOCl; bleach
ผงฟู ,phohngR fuuM,noun,baking powder
ผงก,phaL ngohkL,verb,[of one's head] to nod; to raise; to rear
ผงกศีรษะ,phaL ngohkL seeR saL,verb,to nod; nod in assent
ผงกหัว ,phaL ngohkL huaaR,verb,nod one's head
ผงอบ ,phaL ngaawpL,adjective,near death; very weak
ผงะ ,phaL ngaL,verb,to stop short; to halt
ผงาด ,phaL ngaatL,adjective,[is] dignified; prominent; conspicuous; giant
ผงาบ,phaL ngaapF,verb,to gasp (for air)
ผจง,phaL johngM,verb,to do something meticulously; do something painstakingly
ผจญ ,phaL johnM,"verb, transitive, intransitive, Khmer",to encounter or confront; to face; to brave; to battle
ผจญเผชิญ,phaL johnM phaL cheernM,verb,to encounter; face; confront
ผจญภัย,phaL johnM phaiM,verb,to have an adventure
ผจัญ ,phaL janM,verb,to confront
ผด ,phohtL,noun,blister
ผดุง,phaL doongM,verb,to nurture; to maintain
ผดุง,phaL doongM,noun,[การผดุง] [activity] maintaining
ผดุงครรภ์,phaL doongM khanM,noun,midwifery; obstertrics
ผนวก ,phaL nuaakL,noun,addenda; appendix; supplement
ผนวก ,phaL nuaakL,adjective,[is] supplementary
ผนวช ,phaL nuaatL,verb,[of royalty] to enter the priesthood
ผนัง ,phaL nangR,noun,interior wall; partition
ผนัง ,phaL nangR,noun,[ฝาผนัง] interior wall
ผนังก่ออิฐ ทาสีเหลืองสบายตา,phaL nangR gaawL itL thaaM seeR leuuangR saL baaiM dtaaM,example sentence,"""The cinder block walls were painted a pleasant shade of yellow."""
ผนังทองแดงกำแพงเหล็ก,phaL nangR thaawngM daaengM gamM phaaengM lekL,"noun, phrase, idiom",[metaphor] bulkwark; wall of defense; wall of support; line of defense; protective wall
ผนังหัวเตียง ,phaL nangR huaaR dtiiangM,noun,headboard
ผนึก,phaL neukL,"verb, transitive, intransitive, formal",[formal] to seal
noun,"a seal (i.e, on a letter)",,
ผนึกอำนาจ,phaL neukL amM naatF,"verb, phrase",to consolidate power
ผบ.,,"noun, abbreviation",[abbreviation for ผู้บัญชาการ or ผู้บังคับบัญชา]
ผบ.ฉก.,phuuF banM chaaM gaanM nuayL chaL phawH gitL,"noun, abbreviation",[abbreviation of ผู้บัญชาการหน่วยเฉพาะกิจ]
ผบ.ตร.,phuuF banM chaaM gaanM dtamM ruaatL haengL chaatF,abbreviation,[abbreviation for ผู้บัญชาการตำรวจแห่งชาติ]
ผบ.ทบ.,phuuF banM chaaM gaanM thaH haanR bohkL,"noun, abbreviation",[abbreviation for ผู้บัญชาการทหารบก]
ผบ.ทบ. ในฐานะประธาน คตร. ฉวยจังหวะและโอกาสที่สถานการณ์รัฐบาลเพลี่ยงพล้ำ,phuuF banM chaaM gaanM thaH haanR bohkL naiM thaaR naH bpraL thaanM khaawM dtaawM raawM chuayR jangM waL laeH o:hM gaatL theeF saL thaanR naH gaanM ratH thaL baanM phliiangF phlaamH,example sentence,"""The Commander in Chief, as the head of the Situation Monitoring Committee, took the initiative and seized the opportunity when the government blundered."""
ผบ.ทร.,phuuF banM chaaM gaanM thaH haanR reuuaM,"noun, abbreviation",[abbreviation for ผู้บัญชาการทหารเรือ]
ผบ.ทอ.,phuuF banM chaaM gaanM thaH haanR aaM gaatL,"noun, abbreviation",[abbreviation for ผู้บัญชาการทหารอากาศ]
ผบ.มทบ.,,abbreviation,"[abbreviation for ผู้บัญชาการ มณฑลทหารบก] CIC, Administrative Region"
ผบ.สส.,phuuF banM chaaM gaanM thaH haanR suungR sootL,"noun, abbreviation",[abbreviation for ผู้บัญชาการทหารสูงสุด]
ผบก.,phaawR baawM gaawM,"noun, abbreviation",[abbreviation for ผู้บัญชาการ]
ผบก.ภ.จว.,phaawR baawM gaawM phuuM thaawnM jangM watL,noun,Commander of Provincial Police
ผบช.,phaawR baawM chaawM,,[abbreviation for ผู้บัญชาการ]
ผบช.ก.,phuuF banM chaaM gaanM dtamM ruaatL saawpL suaanR glaangM,"noun, abbreviation",[abbreviation for ผู้บัญชาการตำรวจสอบสวนกลาง]
ผบช.น.,phuuF banM chaaM gaanM dtamM ruaatL naH khaawnM baanM,"noun, abbreviation",[abbreviation for ผู้บัญชาการตำรวจนครบาล]
ผม ,phohmR,pronoun,[used by male speakers] I; me; my
noun,hair [of the head],,
ผมก็คิดถึงคุณ,phohmR gaawF khitH theungR khoonM,"example sentence, formal","[spoken by a male] ""I miss you too."""
ผมก็เคยไปเกาะสมุย ,phohmR gaawF kheeuyM bpaiM gawL saL muyM,example sentence,"""I also went to Koh Samui."""
ผมก็ได้แต่คารวะท่านที่ทุ่มเททำงานเพื่อปลูกฝังรสนิยมทางศิลป์ให้เกิดขึ้นในสังคมไทย,phohmR gaawF daiF dtaaeL khaaM raH waH thanF theeF thoomF thaehM thamM ngaanM pheuuaF bpluukL fangR rohtH niH yohmM thaangM sinR haiF geertL kheunF naiM sangR khohmM thaiM,example sentence,"""I have nothing but respect for those who put in so much effort to instill appreciation for art in Thai society."""
ผมก็ได้พึ่งใบบุญของหลวงพ่อที่วัดนี้มาตั้งแต่เด็ก,phohmR gaawF daiF pheungF baiM boonM khaawngR luaangR phaawF theeF watH neeH maaM dtangF dtaaeL dekL,example sentence,"""I have depended on the abbot of this temple since I was a child."""
"ผมก็ตอบคล้ายเดิมว่าไม่ได้ฝันว่าจะเป็น ""นักเขียน"" แต่ทำเพราะ ""ความจำเป็น""",phohmR gaawF dtaawpL khlaaiH deermM waaF maiF daiF fanR waaF jaL bpenM nakH khiianR dtaaeL thamM phrawH khwaamM jamM bpenM,example sentence,"""I would answer somewhat like I did before, “I never dreamed of becoming a ‘writer’, but I did so ‘out of necessity’.”."""
ผมก็ถูกกล่าวหาว่าสนับสนุนเผด็จการทั้งที่ความเป็นจริงผมไม่เคยเบี่ยงเบนความคิดจากการต่อสู้เพื่อประชาธิปไตยของประชาชน,phohmR gaawF thuukL glaaoL haaR waaF saL napL saL noonR phaL detL gaanM thangH theeF khwaamM bpenM jingM phohmR maiF kheeuyM biiangL baehnM khwaamM khitH jaakL gaanM dtaawL suuF pheuuaF bpraL chaaM thipH bpaL dtaiM khaawngR bpraL chaaM chohnM,example sentence,"""I have been accused of supporting dictatorship. In truth, I have never deviated in my thinking from struggling for democracy for the people."""
ผมก็นั่งดูโฆษณาไป เรื่อย ๆ ก็มีโฆษณาผลิตภัณฑ์เครื่องสำอางของกินอะไรต่าง ๆ มากมาย,phohmR gaawF nangF duuM kho:htF saL naaM bpaiM reuuayF reuuayF gaawF meeM kho:htF saL naaM phaL litL dtaL phanM khreuuangF samR aangM khaawngR ginM aL raiM dtaangL dtaangL maakF maaiM,example sentence,"""I sat and watched the ads one after the other; there were adds for cosmetic products and various types of food."""
ผมก็เป็นอีกคนที่ไม่สามารถรู้ได้ว่าจะเกิดขึ้นเมื่อไหร่ ก็ได้แต่ยืนดู,phohmR gaawF bpenM eekL khohnM theeF maiF saaR maatF ruuH daiF waaF jaL geertL kheunF meuuaF raiL gaawF daiF dtaaeL yeuunM duuM,example sentence,"""I am yet one more person who is unable to know what the future holds and when it will occur; I can only stand and watch."""
