word,spell,type,meaning
ร.๕,raawM haaF,"noun, abbreviation",[abbreviation for พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว]
ร.ง.,ro:hngM ngaanM,"noun, abbreviation",[abbreviation for โรงงาน] factory
ร.ด.,raawM daawM,"proper noun, abbreviation",[abbreviation for กรมการรักษาดินแดน] TDD
ร.ต.,raawyH dtreeM,"noun, abbreviation",[abbreviation for เรืออากาศตรี and ร้อยตรี]
ร.ต.,reuuaM aaM gaatL dtreeM,,[alternate pronunciation of ร.ต.]
ร.ต.ต.,raawyH dtamM ruaatL dtreeM,"proper noun, person, abbreviation",[abbrevation for ร้อยตำรวจตรี] Police Sub-Lieutenant
ร.ท.,raawyH tho:hM,"noun, abbreviation",[abbreviation for ร้อยโท and เรืออากาศโท]
ร.ท.,reuuaM aaM gaatL tho:hM,,[alternate pronunciation of ร.ท.]
ร.น.,aaM aehnM,"loanword, English, abbreviation","[abbreviation for ""registered nurse""] R.N."
ร.ป.ท.,raawM bpaawM thaawM,"proper noun, abbreviation",[abbreviation for พรรครักประเทศไทย]
ร.ป.ภ.,raawM bpaawM phaawM,"noun, abbreviation",[abbreviation for รักษาความปลอดภัย] Security Guard
ร.พ.,ro:hngM phaH yaaM baanM,"noun, abbreviation",[abbreviation for โรงพยาบาล]
ร.ฟ.ท.,raawM faawM thaawM,"noun, abbreviation",[abbreviation for รถไฟไทย]
ร.ฟ.ล.,raawM faawM laawM,"noun, abbreviation",[abbreviation for รถไฟหลวง] Royal State Railways
ร.ร.,ro:hngM riianM,"noun, abbreviation",[abbreviation of โรงเรียน] school
ร.ล.,,"noun, abbreviation",[abbreviation for เรือรบหลวง] HTMS
ร.อ.,raawyH aehkL,"noun, abbreviation",[abbreviation for ร้อยเอก and เรืออากาศเอก]
ร.อ.,reuuaM aaM gaatL aehkL,,[alternate pronunciation of ร.อ.]
รก ,rohkH,adjective,[is] cluttered; disordered; wild; messy
รก ,rohkH,noun,placenta; afterbirth
รก ,rohkH,noun,brambles; wild undergrowth; thickly covered ground
รกตา ,rohkH dtaaM,adjective,offensive to the eye; being an eyesore
รกร้าง,rohkH raangH,adjective,[is] left uncultivated; neglected and unoccupied
รกร้างว่างเปล่า,rohkH raangH waangF bplaaoL,"verb, phrase",[is] left to grow wild; unattended; unoccupied; undeveloped
รกรุงรัง,rohkH roongM rangM,noun,[รกรุงรัง] clutter; disorder
รกราก,rohkH raakF,"noun, colloquial",homeland; hometown; birth-place; domicile
รง,rohngM,noun,"[ต้นรง] gamboge tree, Garcinia hanburyi"
รง.,graL suaangM raaengM ngaanM,"noun, abbreviation",[abbreviation for กระทรวงแรงงาน]
รงค์,rohngM,"noun, loanword, Pali",color; pigment
รงรอง,rohngM raawngM,adjective,[is] prosperous; beautiful
รช.,raawM chaawM,"proper noun, abbreviation",[abbreviation for พรรครวมใจชาติพัฒนา]
รณรงค์,rohnM naH rohngM,"verb, intransitive, formal, loanword, Pali",to campaign
รด ,rohtH,verb,to spill or pour a fluid on or over; to water plants
รดน้ำ  ,rohtH naamH,verb,"to water the yard, garden, lawn, or plants"
รดน้ำดำหัว,rohtH naamH damM huaaR,verb,water sprinkling (ceremony)
รดน้ำมนต์,rohtH namH mohnM,verb,annoint (someone) with holy water
รดน้ำศพ,rohtH naamH sohpL,"verb, phrase",to perform the funeral bathing ceremony; perform the bathing ceremony for the dead
รดี,raH deeM,,[alternate spelling of รติ]
รติ,raH dtiL,"noun, loanword, Pali, Sanskrit",sexual passion; pleasure; happiness; lust; strong affection
รถ ,rohtH,noun,car; vehicle; bus
รถกระบะ,rohtH graL baL,noun,pickup truck
รถกะปะ,rohtH gaL bpaL,noun,pick up truck
รถกูแม่งเสีย! ,rohtH guuM maaengF siiaR,"example sentence, vulgar","""My damn car is broken!"""
รถเก๋ง ,rohtH gengR,noun,"a sedan, a passenger car"
รถเกราะ ,rohtH grawL,noun,an armored car
รถของเขาโดนเฉี่ยวสีถลอก เขาต้องเอาไปเข้าอู่ให้ช่างโป๊สีตั้งอาทิตย์,rohtH khaawngR khaoR do:hnM chiaaoL seeR thaL laawkL khaoR dtawngF aoM bpaiM khaoF uuL haiF changF bpo:hH seeR dtangF aaM thitH,example sentence,"""His car was sideswiped and the paint scratched; he needs to take the car to the shop to repair the scratches for a whole week."""
รถของเขาวิ่งเร็วกว่ารถของฉัน ,rohtH khaawngR khaoR wingF reoM gwaaL rohtH khaawngR chanR,example sentence,"""His car is faster than mine."""
รถของคุณอยู่ที่โน่น ,rohtH khaawngR khoonM yuuL theeF no:hnF,example sentence,"""Your car is over there."""
รถของผม ,rohtH khaawngR phohmR,noun,my car
รถของผมคือคันนั้น,rohtH khaawngR phohmR kheuuM khanM nanH,example sentence,"""My car is that one."""
รถของผมถูกขโมยไปแล้ว ,rohtH khaawngR phohmR thuukL khaL mooyM bpaiM laaeoH,example sentence,"""My car has been stolen."""
รถขุดตัก ,rohtH khootL dtakL,noun,backhoe
รถเข็น ,rohtH khenR,noun,cart; luggage cart; push cart
รถเข็นกระเป๋า ,rohtH khenR graL bpaoR,noun,luggage carrier/cart
รถเข็นคนพิการ ,rohtH khenR khohnM phiH gaanM,noun,wheelchair
รถเข็นเด็กแบบนอน ,rohtH khenR dekL baaepL naawnM,noun,baby carriage
รถเข็นเด็กแบบพับได้ ,rohtH khenR dekL baaepL phapH daiF,noun,folding baby stroller
รถเข็นตุ๊กตา ,rohtH khenR dtookH gaL dtaaM,noun,child's doll carriage
รถเข็นทราย ,rohtH khenR saaiM,noun,wheelbarrow
รถเข็นล้อเดียว ,rohtH khenR laawH diaaoM,noun,wheelbarrow
รถเข็นสำหรับคนป่วย ,rohtH khenR samR rapL khohnM bpuayL,noun,wheelchair
รถแข่ง ,rohtH khaengL,noun,a racing car
รถคัน,rohtH khanM,noun,car
รถคันกะทัดรัด,rohtH khanM gaL thatH ratH,noun,compact car
รถคันที่เกิดอุบัติเหตุพังยับเยินจนกระทั่งซ่อมแซมไม่ได้,rohtH khanM theeF geertL ooL batL dtiL haehtL phangM yapH yeernM johnM graL thangF saawmF saaemM maiF daiF,example sentence,"""The car that was in an accident was so damaged that it couldn't be repaired."""
รถคันที่สี่เป็นของผม ,rohtH khanM theeF seeL bpenM khaawngR phohmR,example sentence,"[spoken by male] ""The fourth car is mine."""
รถคันนั้นขับเร็วเกินขอบเขตที่กฎหมายกำหนด,rohtH khanM nanH khapL reoM geernM khaawpL khaehtL theeF gohtL maaiR gamM nohtL,example sentence,"""That car is being driven at speeds in excess of the established legal speed limit."""
รถคันนั้นขายแล้วเมื่อวานนี้ครับ ,rohtH khanM nanH khaaiR laaeoH meuuaF waanM neeH khrapH,example sentence,"""That car was sold yesterday."""
รถคันนั้นเฉียดประตูบ้านเราแทบทุกวัน,rohtH khanM nanH chiiatL bpraL dtuuM baanF raoM thaaepF thookH wanM,example sentence,"""That car just misses the door of our home every day."""
รถคันนั้นเหรอ,rohtH khanM nanH ruuhrR,example sentence,"""That car?"""
รถคันนี้ขับเคลื่อนด้วยพลังงานไฟฟ้า,rohtH khanM neeH khapL khleuuanF duayF phaH langM ngaanM faiM faaH,example sentence,"""This car is powered by electricity."""
รถคันนี้เป็นรถส่วนรวม,rohtH khanM neeH bpenM rohtH suaanL ruaamM,example sentence,"""This car is shared amonst all of us."""
รถคันนี้ไปถนนข้าวสารไหมคะ ,rohtH khanM neeH bpaiM thaL nohnR khaaoF saanR maiR khaH,example sentence,"""Does this bus go to Khao Sarn Road?"""
รถคันนี้มีเบาะหลังเป็นที่นั่งเดี่ยวสองที่ สำหรับนั่งทีละหนึ่งคน ,rohtH khanM neeH meeM bawL langR bpenM theeF nangF diaaoL saawngR theeF samR rapL nangF theeM laH neungL khohnM,example sentence,"""This car has two rear bucket seats holding only one person each."""
รถคันนี้มีมูลค่าหลายล้านบาท,rohtH khanM neeH meeM muunM khaaF laaiR laanH baatL,example sentence,"""This car is worth millions of baht."""
รถคันเล็กอยู่ที่บ้านของฉัน ,rohtH khanM lekH yuuL theeF baanF khaawngR chanR,example sentence,"""The small car is at my house."""
รถคันสีแดงสวยยิ่งกว่ารถคันที่เหลืองซะอีก,rohtH khanM seeR daaengM suayR yingF gwaaL rohtH khanM theeF leuuangR saH eekL,example sentence,"""The red car is even more beautiful than the yellow one."""
รถคันหนึ่งแล่นปราดเข้ามาจอดชิดขอบถนน ทันใดก็มีเสียงปืนดังขึ้นหกนัด,rohtH khanM neungL laaenF bpraatL khaoF maaM jaawtL chitH khaawpL thaL nohnR thanM daiM gaawF meeM siiangR bpeuunM dangM kheunF hohkL natH,example sentence,"""A vehicle moved in quickly and parked close to the curb; immediately thereafter came the sound of six shots being fired.""
""A vehicle moved in quickly and parked close to the curb; immediately thereafter six gunshots rang out."""
รถเครื่อง,rohtH khreuuangF,noun,motorcycle
รถจักร ,rohtH jakL,noun,a locomotive
รถจักรดีเซล,rohtH jakL deeM saehnM,noun,diesel locomotive
รถจักรยาน,rohtH jakL graL yaanM,noun,[รถจักรยาน] bicycle; bike
รถจักรยานยนต์ ,rohtH jakL graL yaanM yohnM,noun,a motorbike; a moped
รถจักรไอน้ำ,rohtH jakL aiM naamH,noun,steam locomotive
รถจี๊ป  ,rohtH jeepH,noun,[รถจี๊ป] jeep
รถเจ๊ก,rohtH jekH,noun,rickshaw
รถชน ,rohtH chohnM,noun,crash; collision
รถชนกัน ,rohtH chohnM ganM,noun,car wreck; automobile accident; car crash
