word,spell,type,meaning
ฟ.,faaM raehnM haiM,"noun, abbreviation",[abbreviation for ฟาห์เรนไฮต์] degrees F; °F
ฟก,fohkH,adjective,[is] contused; bruised; beaten
ฟก,fohkH,noun,[รอยฟก] bruise; mark [on one's body]
ฟกช้ำ ,fohkH chaamH,noun,bruise
ฟรอนต์,fraawnM,"loanword, English",[Thai transcription of the foreign loanword] front
ฟรอนต์,fraawnM,loanword,[Thai transcription of the foreign loanword] front; Front Office Section in a hotel
ฟรอยด์,fraawyM,"proper noun, person, loanword, English",Freud
ฟรังโก,frangM go:hM,"proper noun, loanword, English",Franco [an Italian given name]
ฟรังคี,frangM kheeM,"noun, colloquial, loanword","[arguably the original form of ฝรั่ง , believed to be derived from a Portuguese term] a European"
ฟราน,fraanM,"proper noun, loanword, English",Fran [an English given name]
ฟรานเชสก้า,fraanM chaehtF gaaF,"proper noun, loanword, English",Francesca [an English given name]
ฟรานซ์,fraanM,"noun, loanword, English",[Thai transcription of the foreign loanword] France
ฟรานซ์,fraanM,"proper noun, loanword, English",Franz [an German given name]
ฟรานซิส,fraanM sitH,"proper noun, loanword, English",Francis [an English given name]
ฟรานเซส,fraanM saehtF,"proper noun, loanword, English",Frances [an English given name]
ฟรี,freeM,"adjective, loanword, English",[Thai transcription of the foreign loanword] free; [is] free of charge
ฟรีเพลย์,freeM phlaehM,"noun, loanword, English","[Thai transcription of the foreign loanword, ""free play""]"
ฟรีซ,freesF,verb,[Thai transcription of foreign loanword] to freeze
ฟรีไซส,freeM saiH,"adjective, loanword, English",[Thai transcription of the foreign loanword] freesize; one size fits all
ฟรีทาวน์ ,freeM thaaoM,"proper noun, geographical","Freetown, the capital city of เซียร์ราลีโอน  (Sierra Leone)"
ฟรีเทาน์,freeM thaoM,,[alternate spelling of ฟรีทาวน์ ]
ฟรีแลนซ์,freeM laaenM,noun,[Thai transcription of foreign loanword] freelance
ฟรีสไตล์,freeM saL dtaiM,"adjective, loanword, English",[Thai transcription of the foreign loanword] freestyle; one size fits all
ฟรุ้งฟริ้ง,froongH fringH,noun,twinkle
ฟลอร่า,flaawM raaF,"proper noun, loanword, English",Flora [a Spanish given name]
ฟลอริดา,flaawM riH daaM,"proper noun, geographical, loanword, English",Florida [state of the United States]
ฟลอเรนซ์,flaawM raehnM,"proper noun, loanword, English",Florence [an English given name]
ฟลามิงโก,flaaM mingM go:hM,"noun, loanword, English",[นกฟลามิงโก] [Thai transcription of the foreign loanword] flamingo
ฟลามิงโก้,flaaM mingM go:hF,,[alternate spelling of ฟลามิงโก]
ฟลุก,flookH,noun,[Thai transcription of the foreign loanword] fluke; an unexpected windfall
ฟลุค,flookH,"noun, loanword, English",[Thai transcription of the foreign loanword] fluke; by chance; accidental
ฟลุต,flootH,"noun, loanword, English",[Thai transcription of the foreign loanword] flute
ฟลูออกซิทีน,fluuM aawkL siH theenM,,"[Thai transcription of the foreign loanword] ""fluoxetine""—โพรแส็ค (Prozac)"
ฟลูออรีน,fluuM aawM reenM,"noun, loanword, English","[chemistry] Fluorine, F, atomic number 9"
ฟลูออเรสเซนต์,fluuM aawM raehtF saehnM,"noun, loanword, English",[Thai transcription of foreign loanword] fluorescent
ฟลูออไรด์,fluuM aawM raiM,"noun, adjective, loanword, English",[Thai transcription of the foreign loanword] flouride
ฟอ ,faawM,,[pronunciation of the 31st letter of the Thai alphabet]
ฟ่อ,faawF,"interjection, loanword, onomatopoeia",[hissing sound of a snake]
ฟ้อ,faawH,,[alternate spelling of ฟ่อ]
ฟอก ,faawkF,verb,to cleanse; to purify or wash; to scald by fire or heat
ฟอกขาว ,faawkF khaaoR,"verb, idiom",to whitewash; gloss over or cover up a crime or misdeed
ฟอกขาว,faawkF khaaoR,verb,to bleach; whitewash
ฟอกเงิน,faawkF ngernM,verb,to launder money
ฟอกสีฟัน,faawkF seeR fanM,verb,to whiten the teeth
ฟอง ,faawngM,noun,bubble; froth
classifier,[numerical classifier for spheroid objects such as eggs],,
ฟองน้ำ ,faawngM naamH,noun,sponge
ฟองมัน,faawngM manM,noun,"the punctuation mark (๏), formerly used at the beginning of a new paragraph"
ฟองสบู่,faawngM saL buuL,noun,soap bubble
ฟ่อง,faawngF,verb,to float
ฟ้อง ,faawngH,verb,to accuse; prosecute
verb,to sue,,
ฟ้องคดีอาญา,faawngH khaH deeM aaM yaaM,verb,to accuse (someone) of criminal behavior
ฟ้องแย้ง ,faawngH yaaengH,"verb, intransitive",[legal] to present a counter-claim
ฟ้องร้อง,faawngH raawngH,"verb, phrase, formal",to sue; accuse; charge; file; make a prosecution; bring charge against
ฟ้องร้องกล่าวโทษ,faawngH raawngH glaaoL tho:htF,verb,to accuse; make an accusation
ฟอด,faawtF,adjective,[is] spongy
adjective,[ฟอดแฟด] [is] spongy,,
adverb,[onomatopoeic sound of kissing],,
ฟอดแฟด,faawtF faaetF,adjective,[ฟอดแฟด] [is] spongy
ฟอน ,faawnM,verb,to gnaw away; to bite away; to shred
noun,ashes,,
adjective,completely destroyed and ruined,,
ฟ่อน,faawnF,noun,sheaf; bundle
