word,spell,type,meaning
น.,naawM,abbreviation,[abbreviation for] นาฬิกา ; o'clock
น.,naawM,"noun, abbreviation",[abbreviation for นาม ] a noun
น.,naamM,,[alternate pronunciation of น.]
น.ต.,naaM waaM aaM gaatL dtreeM,"noun, abbreviation",[abbreviation for นาวาอากาศตรี]
น.ต.ย.ท.,naawM dtaawM yaawM thaawM,"noun, abbreviation",[abbreviation for น้ำตก แยก ทาง ] one-night stand
น.ท.,naaM waaM aaM gaatL tho:hM,"noun, abbreviation",[abbreviation for นาวาอากาศโท]
น.ย.,naaM wikH gaL yo:hM thinM,abbreviation,[abbreviation for นาวิกโยธิน] the marines; a marine
น.ร.,nakH riianM,"noun, abbreviation",[abbreviation of] นักเรียน
น.ศ.,nakH seukL saaR,"noun, abbreviation",[abbreviation for นักศึกษา]
น.ส. ,naawM saawR,"noun, abbreviation",[abbreviation for นางสาว] [title (honorific) for an unmarried woman] Miss
น.ส.พ.,nangR seuuR phimM,abbreviation,[abbreviation for หนังสือพิมพ์]
น.อ.,naaM waaM aaM gaatL aehkL,"noun, abbreviation",[abbreviation for นาวาอากาศเอก]
นก ,nohkH,noun,bird
นก ,nohkH,noun,(of a revolver or gun) cock hammer; part of the trigger mechanism
นก ,nohkH,"verb, transitive, colloquial",[transient Thai and gay slang meaning] to miss your prey (when going out cruising)
นกกระจอก,nohkH graL jaawkL,noun,[นกกระจอก] sparrow
นกกระจอกเทศ ,nohkH graL jaawkL thaehtF,noun,ostrich
นกกระจาบ,nohkH graL jaapL,noun,[นกกระจาบ] a [kind of] sparrow-like bird Pleoceus baya
นกกระจิบ,nohkH graL jipL,,a tailor bird
นกกระจิบตัวที่มาระรานไม่มีทีท่าว่าจะเลิกลา,nohkH graL jipL dtuaaM theeF maaM raH raanM maiF meeM theeM thaaF waaF jaL leerkF laaM,example sentence,"""The tailor bird which is annoying us does not seem to want to s go away."""
นกกระตั้ว,nohkH graL dtuaaF,noun,"[นกกระตั้ว] cockatoo, Cacatua galerita"
นกกระทา,nohkH graL thaaM,noun,[นกกระทา] quail; partridge
นกกระทุง ,nohkH graL thoongM,noun,[นกกระทุง] pelican
นกกระยาง,nohkH graL yaangM,noun,[นกกระยาง] heron or egret
นกกระเรียน,nohkH graL riianM,noun,"[นกกระเรียน] a [type of] bird, the crane"
นกกระสา,nohkH graL saaR,noun,[นกกระสา] stork
นกกวัก,nohkH gwakL,,"[นกกวัก] a white-breasted waterhen, Amaurornis phoenicurus"
นกกา,nohkH gaaM,noun,"[นกกา] [from the ""kaw"" sound it makes] a crow or crowlike bird"
นกกาเหว่า,nohkH gaaM waoL,noun,[นกกาเหว่า] blackbird; koel
นกกางเขน,nohkH gaangM khaehnR,proper noun,[นกกางเขน] the magpie robin
นกกำกวม,nohkH gamM guaamM,noun,"[นกกำกวม] Burmese stork-billed kingfisher, Pelargopsis gurial burmanica:"
นกแก้ว ,nohkH gaaeoF,noun,[นกแก้ว] parrot (the bird)
นกขมิ้น,nohkH khaL minF,noun,[นกขมิ้น] oriole
นกขุนทอง,nohkH khoonR thaawngM,,[นกขุนทอง] hill myna
นกเขา,nohkH khaoR,noun,[นกเขา] dove (the bird)
นกเขา,nohkH khaoR,"noun, figurative, idiom",[นกเขา] [colloqual idiom for] penis
นกเขาของเขามาจากเขา ,nohkH khaoR khaawngR khaoR maaM jaakL khaoR,example sentence,"[tongue twister] ""His doves came from the mountain."""
นกเขาขัน,nohkH khaoR khanR,"verb, colloquial, idiom",(of a man's genitals) to get hard; to get an erection
นกเขาตัวหนึ่งยืนเกาะอยู่บนกิ่งแห้งเดียวดาย มันกำลังขันอย่างเพลิดเพลิน เสียงร้องดังก้องกังวาน,nohkH khaoR dtuaaM neungL yeuunM gawL yuuL bohnM gingL haaengF diaaoM daaiM manM gamM langM khanR yaangL phleertF phleernM siiangR raawngH dangM gaawngF gangM waanM,example sentence,"""A dove perched all alone on a dry branch; it was cooing gaily in a loud, resounding call."""
นกเค้าแมว ,nohkH khaaoH maaeoM,noun,[นกเค้าแมว] owl; Asian barred owl
นกเค้าแมว,nohkH khaaoH maaeoM,proper noun,"[นกเค้าแมว] pygmy owlet, Glaucidium brodiei"
นกเค้าแมวตัวใหญ่ซุกตัวอยู่ในไออุ่นของปีกที่ห่มคลุมตัวเอง,nohkH khaaoH maaeoM dtuaaM yaiL sookH dtuaaM yuuL naiM aiM oonL khaawngR bpeekL theeF hohmL khloomM dtuaaM aehngM,example sentence,"""The large owl concealed itself in the warmth of the wings which covered its body."""
นกงั่ง,nohkH ngangF,,[นกงั่ง] hornbill
นกเงือก,nohkH ngeuuakF,noun,[นกเงือก] hornbill (bird)
นกจาบคาเครา,nohkH jaapL khaaM khraoM,noun,[นกจาบคาเครา] red-bearded bee-eater
นกช้อน,nohkH chaawnH,noun,[นกช้อน] [informal] ibis
นกช้อนหอย,nohkH chaawnH haawyR,noun,[นกช้อนหอย] ibis
นกต่อ ,nohkH dtaawL,"noun, phrase, figurative, colloquial, idiom",[negative connotation] a decoy [used to attract peopel's attention and deceive them]
นกตะกรุม,nohkH dtaL groomM,noun,"[นกตะกรุม] lesser adjutant stork , Leptoptilos javanicus"
นกแถบอเมริกาเหนือ ,nohkH thaaepL aL maehM riH gaaM neuuaR,noun,a North American bird (eg. blue jay)
นกทางนวล ,nohkH thaangM nuaanM,noun,tern; common sea swallow
นกน้อยทำรังแต่พอตัว,nohkH naawyH thamM rangM dtaaeL phaawM dtuaaM,"example sentence, idiom","""Cut your coat according to your cloth."""
นกน้อยในกรงทอง,nohkH naawyH naiM grohngM thaawngM,"noun, idiom","someone who is being protected or raised in a ""golden cage,"" a happy, luxurious, and pampering environment or manner"
นกนั่นเรียกว่าอะไรคะ? ,nohkH nanF riiakF waaF aL raiM khaH,example sentence,"[spoken by a female] ""What sort of bird is that?"""
นกนางแอ่น ,nohkH naangM aenL,noun,swallow (the bird)
นกนางนวล,nohkH naangM nuaanM,noun,[นกนางนวล] gull; seagull
นกปูด,nohkH bpuutL,noun,"[นกปูด] crow pheasant, Centropus sinensis"
นกพิราบ ,nohkH phiH raapF,noun,[นกพิราบ] pigeon
นกพิราบขาวตัวนั้น ถึงแม้ว่าจะตายไปแล้ว ตายไปอย่างเงียบ ๆ ไม่มีญาติพี่น้องเศร้าโศกร่ำไห้เสียใจ ไม่มีการจัดงานศพที่เอิกเกริกใหญ่โต,nohkH phiH raapF khaaoR dtuaaM nanH theungR maaeH waaF jaL dtaaiM bpaiM laaeoH dtaaiM bpaiM yaangL ngiiapF maiF meeM yaatF pheeF naawngH saoF so:hkL ramF haiF siiaR jaiM maiF meeM gaanM jatL ngaanM sohpL theeF eerkL gaL reerkL yaiL dto:hM,example sentence,"""Even though the white pigeon died, it died peacefully; there were no crying relatives showing their grief; there was no large, noisy funeral."""
นกเพนกวิน ,nohkH phaehnM gwinM,"noun, loanword, English",[นกเพนกวิน] [Thai transcription of the foreign loanword] penguin
นกฟลามิงโก ,nohkH flaaM mingM go:hM,"noun, loanword, English",[นกฟลามิงโก] [Thai transcription of the foreign loanword] flamingo
นกยาง ,nohkH yaangM,"noun, proper noun",[นกยาง] heron (the bird)
นกย้ายถิ่นจากพื้นที่ที่หนาวเย็นไปสู่พื้นที่ที่อบอุ่นขึ้น,nohkH yaaiH thinL jaakL pheuunH theeF theeF naaoR yenM bpaiM suuL pheuunH theeF theeF ohpL oonL kheunF,example sentence,"""The birds migrated from the colder climate to a more tropical location."""
นกยูง,nohkH yuungM,noun,[นกยูง] peacock
นกร้า,nohkH raaH,,[นกร้า] a peacock-like bird. Also called อีร้า
นกแร้ง,nohkH raaengH,noun,[นกแร้ง] vulture; Torgos calvus (Accipitridae); Pseudogyps bengalensis
นกเล็กมีหน้าอกสีแดง ,nohkH lekH meeM naaF ohkL seeR daaengM,noun,[describing a] robin
นกสองหัว,nohkH saawngR huaaR,"noun, phrase",a person who wants to play both sides of the fence; a person who wants to ingratiate himself into two opposing factions.
นกสีขาวบินไปเกาะที่กิ่งไม้ ,nohkH seeR khaaoR binM bpaiM gawL theeF gingL maaiH,example sentence,"""A white bird flew by and alighted on a tree branch."""
นกแสก,nohkH saaekL,,"[นกแสก] barn owl, Strix flammea, Tyto alba"
นกหงส์หยก,nohkH hohngR yohkL,noun,"[นกหงส์หยก] parakeet; budgerigar, budgie"
นกหัวขวาน ,nohkH huaaR khwaanR,noun,woodpecker
นกเหยี่ยว,nohkH yiaaoL,noun,"[นกเหยี่ยว] Falcon, Hawk, Kite, Kestrel"
นกอินทรี,nohkH inM seeM,noun,[นกอินทรี] eagle
นกอีกา,nohkH eeM gaaM,noun,"[นกอีกา] crow; jungle crow, Corvus macrorhynchos"
นกเอี้ยงควาย,nohkH iiangF khwaaiM,noun,[นกเอี้ยงควาย] jungle myna
นกเอี้ยงสาริกา,nohkH iiangF saaR riH gaaM,noun,[นกเอี้ยงสาริกา] the common myna; magpie; Actriothires tristis (Sturnidae)
นกเอี้ยงหงอน,nohkH iiangF ngaawnR,noun,[นกเอี้ยงหงอน] white-vented myna
นกเอี้ยงหัวสีทอง,nohkH iiangF huaaR seeR thaawngM,noun,[นกเอี้ยงหัวสีทอง] golden-crested myna
นกฮัมมิงเบิร์ด,nohkH hamM mingM beertL,"noun, loanword, English",[นกฮัมมิงเบิร์ด] [Thai transcription of the foreign loanword] hummingbird
นกฮูก,nohkH huukF,noun,[นกฮูก] oriental barn owl
นกหวีด,nohkH weetL,noun,whistle
นกแอร์,nohkH aaeM,proper noun,"Nok Airlines, a low-cost airline in Thailand"
นค.,naawngR khaaiM,"proper noun, abbreviation",[abbreviation for หนองคาย ] NKI
นคร ,naH khaawnM,"noun, Sanskrit",city; town; municipality
นครนายก,naH khaawnM naaM yohkH,"proper noun, geographical","Nakhon Nayok, a province in central Thailand with a 1995 population of 237,145 (rank 69 of 76)"
นครบาล,naH khaawnM baanM,noun,[นครบาล] metropolis
นครบาล,naH khaawnM baanM,adjective,[นครบาล] [is] metropolitan
นครปฐม,naH khaawnM bpaL thohmR,"proper noun, geographical","Nakhon Pathom, a province in central Thailand with a 1995 population of 730,076 (rank 32 of 76)"
นครปฐมเอฟซี,naH khaawnM bpaL thohmR aehfL seeM,proper noun,"[Thai transcription of ""Nakornpathom FC""]"
นครพนม,naH khaawnM phaH nohmM,"proper noun, geographical","Nakhon Phanom, a province in northeastern Thailand with a 1995 population of 690,035 (rank 34 of 76)"
นครราชสีมา ,naH khaawnM raatF chaH seeR maaM,"proper noun, geographical","Nakhon Ratchasima, a province in northeastern Thailand with a 1995 population of 2,467,831 (rank 2 of 76); also known as โคราช (Khorat)"
นครศรีธรรมราช ,naH khaawnM seeR thamM maH raatF,"proper noun, geographical","Nakhon Si Thammarat, a province in southern Thailand with a 1995 population of 1,488,947 (rank 6 of 76). The capital city, Nakhon Si Thammarat is a regional industrial center."
นครสวรรค์,naH khaawnM saL wanR,"proper noun, geographical","Nakhon Sawan, a province in northern Thailand with a 1995 population of 1,116,803 (rank 14 of 76)"
นครหลวง ,naH khaawnM luaangR,noun,capital city
นครวัด,naH khaawnM watH,"proper noun, loanword, Cambodian",[Thai transcription of name] Ankor Wat
นงคราญ,nohngM khraanM,noun,beautiful woman; fair maiden
นงนุช,nohngM nootH,noun,Nongnut [a Thai female name]
นงลักษณ์,nohngM lakH,proper noun,Nongluck [a Thai given name]
นฐ.,naH khaawnM bpaL thohmR,"proper noun, abbreviation",[abbreviation for นครปฐม] NPT
นทท.,naawM thaawM thaawM,"noun, abbreviation",[abbreviation for นักท่องเที่ยว] tourist
นที,naH theeM,"noun, formal, poetic, loanword, Pali",stream; river
นธ.,naH raaM thiH waatF,"proper noun, abbreviation",[abbreviation for นราธิวาส ] NWT
นน.,naanF,"proper noun, abbreviation",[abbreviation for น่าน ] NAN
นนท์,nohnM,noun,pleasure; delight; enjoyment; happiness; joy; contentment; satisfaction; bliss
นนท์,nohnM,noun,a small earthen cistern
นนท์,nohnM,"noun, Pali, Sanskrit",son
นนทน์,nohnM,"noun, Sanskrit",delight; joy
"noun, Sanskrit",son; child,,
นนทบุรี ,nohnM thaH booL reeM,"proper noun, geographical","Nonthaburi, a province in central Thailand with a 1995 population of 754,627 (rank 28 of 76)"
นนทิ,nohnM thiH,"noun, Sanskrit",delight; bliss; felicity
noun,Siva; Vishnu,,
นบ,nohpH,verb,"to pay respect by clasping both hands together palm to palm, to pay respect to, to bend the head"
นบพระภูมิบาล บุญดิเรก,nohpH phraH phuuM miH baanM boonM yaaM diL raehkF,,"To the supreme Protector of the Realm,"
นบ.,nohnM thaH booL reeM,"proper noun, abbreviation",[abbreviation for นนทบุรี ] NBI
นบนอบ,nohpH naawpF,verb,to respect; revere; venerate; curtsy; regard; honor; worship
นปุงสก,naH bpoongM saL gaL,"noun, adjective, Pali, Sanskrit",eunuch; [is] gender-neutered
นปุงสกลิงค์,naH bpoongM saL gaL lingM,"adjective, Pali, Sanskrit",[is] gender-neutered
นปุงสกลึงค์,naH bpoongM saL gaL leungM,,[alternate spelling of นปุงสกลิงค์]
นโปเลียน,naH bpo:hM liianM,"proper noun, loanword, French",Napoleon
นพ,nohpH,"adjective, formal, poetic, loanword, Pali",[Pali numeral] nine; [usually used as a prefix] ninth
"proper noun, person",Nop [a common Thai nickname],,
นพ,nohpH phaH,,[alternate pronunciation of นพ]
นพเก้า ,nohpH phaH gaaoF,"noun, proper noun, phrase, formal",[the Thai counterpart of] นพรัตน์
นพเคราะห์ ,nohpH phaH khrawH,noun,nine astrological bodies
นพรัตน์ ,nohpH ratH,"noun, phrase, formal, poetic, loanword, Pali",[ornament] the nine gems
นพรัตน์,nohpH phaH ratH,"proper noun, person",Nopparat [a male or female given name] (nine gems)
นพรัตน์,nohpH ratH,noun,[rank] name of the highest state decoration royally conferred on a commoner
นพศก,nohpH phaH sohkL,noun,ninth year of the decade
นพ.,naawM phaawM,"proper noun, abbreviation",[abbreviation for นายแพทย์ ] (male medical) Dr.
นพ.,naH khaawnM phaH nohmM,"proper noun, abbreviation",[abbreviation for นครพนม] NPM
นพ.,naawM phaawM,"proper noun, abbreviation",[abbreviation for หน่วยพิทักษ์ชายแดน] BG
นพคุณ,nohpH phaH khoonM,"noun, proper noun",Nopakhoon [a Thai male name] (gold)
นพดล,noH phaH dohnM,proper noun,"Nopadol, Nopadon [a Thai given name]"
นพมาศ ,nohpH phaH maatF,"proper noun, person","[นางนพมาศ] Noppamas, granddaughter of พ่อขุนรามคำแหงมหาราช, a court lady of exceptional wit and charm; she was believed to be the first to have devised the กระทง  and to have raised court practices to a high standard"
นภ.,naawngR buaaM lamM phuuM,"proper noun, abbreviation",[abbreviation for หนองบัวลำภู ] NBP
นภสร,naH phaH saawnR,proper noun,Napasorn [a Thai given name]
นภา,naH phaaM,"noun, adjective, poetic, loanword, Pali",sky; air; atmosphere; firmament; wind
นภากาศ,naH phaaM gaatL,noun,sky
นม ,nohmM,noun,[general] milk
นม ,nohmM,noun,a woman's breast
นม ,nohmM,noun,[น้ำนม] milk
นม ,nohmM,noun,udder
นม ๑ กล่อง,nohmM neungL glaawngL,"noun, phrase",a carton of milk
นม ๑ ขวด,nohmM neungL khuaatL,"noun, phrase",a bottle of milk
นมข้น ,nohmM khohnF,noun,"cream (rich, fatty part of milk); evaporated milk or sweetened condensed milk"
นมข้นจืด,nohmM khohnF jeuutL,noun,evaporated milk (not sweetened)
นมข้นหวาน,nohmM khohnF waanR,"noun, phrase",sweetened condensed milk
นมขาดมันเนย,nohmM khaatL manM neeuyM,noun,0% fat milk; skimmed milk
นมถั่วเหลือง,nohmM thuaaL leuuangR,noun,soy milk
นมเนย,nohmM neeuyM,noun,dairy products
นมบูด,nohmM buutL,noun,spoiled milk
นมปั่น ,nohmM bpanL,noun,milk shake
นมเปรี้ยว ,nohmM bpriaaoF,noun,yogurt
นมผง ,nohmM phohngR,noun,powdered milk
นมพร่องมันเนย,nohmM phraawngF manM neeuyM,,low fat milk; semi-skimmed milk
นมพร่องมันเนยในความหมายที่เข้าใจง่าย ๆ หมายถึงนมที่แยกไขมันออกไปบางส่วน,nohmM phraawngF manM neeuyM naiM khwaamM maaiR theeF khaoF jaiM ngaaiF ngaaiF maaiR theungR nohmM theeF yaaekF khaiR manM aawkL bpaiM baangM suaanL,example sentence,"""Low fat milk means, simply, milk from which a portion of the (butter) fat has been removed."""
