word,spell,type,meaning
ล.,litH,"noun, abbreviation",[abbreviation for ลิตร] liter
ลคร ,laH khaawnM,noun,a play (in a theater)
ลง ,lohngM,verb,to come down; go down; get off; get out of; descend; land
ลง ,lohngM,verb,to lay down; put down; set down
ลง ,lohngM,verb,to sign (one's name); to inscribe; to jot down; to write
ลง ,lohngM,"adverb, preposition",down
ลง ,lohngM,verb,to rub
ลง ,lohngM,"verb, colloquial",[usually preceded by มา  and followed by กับ ] to take (something) out on (someone)
ลงกลอน,lohngM glaawnM,verb,to lock (a lock); to latch (a latch); bolt (a door)
ลงขัน,lohngM khanR,"verb, intransitive, figurative",to contribute money; to donate; [lit.] to place money in the collection bowl
ลงข่าว,lohngM khaaoL,"verb, transitive",to publish the news
ลงเข็ม,lohngM khemR,"verb, intransitive",to drive a (foundation) pile
ลงแขก,lohngM khaaekL,"verb, transitive, intransitive",(of neighbors or the local community) to come down to help (ie. at harvest time)
ลงแขก,lohngM khaaekL,"verb, figurative, colloquial",to gang-rape
ลงความเห็น,lohngM khwaamM henR,verb,to conclude; to judge
ลงคอ,lohngM khaawM,adverb,without remorse; hardheartedly; heartlessly; shamelessly
ลงคะแนน ,lohngM khaH naaenM,verb,to vote (in an election)
ลงโฆษณา,lohngM kho:htF saL naaM,"verb, phrase",to advertise; place an ad
ลงชื่อ,lohngM cheuuF,"verb, intransitive",to sign (one's) name; to sign a petition
ลงดาบ,lohngM daapL,"verb, phrase",to punish; behead [arhaic]
ลงแดง,lohngM daaengM,verb,to suffer from excessive bloody flux; suffer from severe dysentery
ลงตัว,lohngM dtuaaM,adjective,[is] well laid-out
ลงตัว,lohngM dtuaaM,verb,to lay oneself down; to lay itself down
ลงตัว,lohngM dtuaaM,adjective,divisibly; without a remainder
ลงตัว,lohngM dtuaaM,verb,to fall into place
ลงทอง,lohngM thaawngM,"verb, transitive",to cover (something) with gold; to gild
ลงท้อง,lohngM thaawngH,"verb, intransitive",to have diarrhea
ลงทะเบียน ,lohngM thaH biianM,verb,to register
ลงทัณฑ์,lohngM thanM,verb,to punish; assign a penalty
ลงทุน ,lohngM thoonM,verb,to invest
