word,spell,type,meaning
บ,baawM,,[alternate spelling of บ่]
บ่,baawL,"formal, colloquial, poetic, ancient","[Isaan dialect, ancient, poetic] no; not; nay; nah"
บ่จอย,baawL jaawyM,adjective,[Isaan dialect] not good; bad
บ่มิ,baawL miH,"phrase, formal, poetic, archaic, ancient",[poetic] no; not
บ่แม่น,baawL maaenF,verb,"[Isaan dialect] not, is not"
บ่ฮู่เรื่องดอก,baawL huuF reuuangF daawkL,example sentence,"[Isaan dialect] ""I don't understand!"""
บ. ,baatL,"noun, abbreviation",[abbreviation for บาท ] baht
บ. ,baatL,abbreviation,[abbreviation for คำบุพบท] a preposition
บ.,khamM boopL phaH bohtL,,[alternate pronunciation of บ. ]
บ.ก.,bohtL banM naaM thiH gaanM,"noun, abbreviation",[abbreviation for บทบรรณาธิการ] editor; Ed.
บ.ข.ส.,baawM khaawR saawR,,[abbreviation for บริษัท ขนส่ง จำกัด]
บก ,bohkL,noun,land; dry land; terra firma; high ground
บก ,bohkL,adjective,over land; dry; terrestrial; via land
บก ,bohkL,adjective,reduced; disheartened
บก.,beungM gaanM,"proper noun, abbreviation",[abbreviation for บึงกาฬ]
บก.,,"noun, abbreviation",[abbreviation for บรรณาธิการ] ed.
บก.จร.,gaawngM bangM khapH gaanM dtamM ruaatL jaL raaM jaawnM,"proper noun, abbreviation",[abbreviation for กองบังคับการตำรวจจราจร] TTP
บก.สส.,baawM gaawM saawR saawR,"noun, abbreviation",[abbreviation for บัญชาการสูงสุด]
บกพร่อง ,bohkL phraawngF,adjective,[of goods] [are] depleted; deficient; lacking; wanting; incomplete
บกพร่อง ,bohkL phraawngF,adjective,[of a person] [is] negligent
บกพร่องโดยสุจริต,bohkL phraawngF dooyM sootL jaL ritL,noun,"an ""honest mistake"""
บขส.,baawM khaawR saawR,"proper noun, abbreviation",[abbreviation for บริษัทขนส่งจำกัด] The Transportion Co.
บ่ง ,bohngL,"verb, transitive",to puncture with a pinprick
บ่ง ,bohngL,verb,to specify an item by pointing
บ่งชัด,bohngL chatH,verb,to indicate; reveal; point out; point to; show
บ่งชี้,bohngL cheeH,"verb, phrase",to identify; signify; indicate
บงการ ,bohngM gaanM,verb,[showing disapproval] to direct or dictate; issue a directive or order; give commands; issue a direct command; give orders; direct; supervise; orchestrate; instigate
