word,spell,type,meaning
ภ.,phuuM thaawnM,"noun, abbreviation",[abbreviation for ภูธร]
ภ.ง.ด.,phaaM seeR ngernM daiF,"noun, abbreviation",[abbreviation for ภาษีเงินได้] income tax
ภ.พ.,phaaM seeR muunM khaaF pheermF,"noun, abbreviation",[abbreviation for ภาษีมูลค่าเพิ่ม] VAT
ภก.,phuuM getL,"proper noun, abbreviation",[abbreviation for ภูเก็ต ] PKT
ภควัทคีตา,phohkH khaH watH kheeM dtaaM,"proper noun, loanword, Sanskrit",Bhagavad Gita
ภควันต์,phaH khaH wanM,proper noun,Buddha; lord Buddha
ภคินี ,phaH khiH neeM,"noun, poetic",sister (older or younger)
ภท.,phaawM thaawM,"noun, abbreviation",[abbreviation for พรรคภูมิใจไทย]; BJT; PTP
ภพ ,phohpH,noun,world; the world
ภพ ,phohpH,"noun, formal, loanword, Pali",birth; existence; being; origin; birth; life
ภพ ,phohpH,"noun, formal, poetic",[พระทรงภพ] [synonym for] the king
ภพชาติข้างหน้า,phohpH chaatF khaangF naaF,noun,the next life; afterlife
ภพชาติหน้า,phohpH chaatF naaF,noun,[ภพชาติหน้า] the afterlife; reincarnated life
ภพนี้,phohpH neeH,noun,the present world
ภพหน้า,phohpH naaF,noun,the next world; the hereafter; the afterlife
ภมร,phaH maawnM,noun,bee
ภมริน,phaH maH rinM,noun,bee
ภมรี,phohmM maH reeM,noun,bee; female bee; queen bee
ภมุ,phaH mooH,noun,eyebrow
ภยันตราย,phaH yanM dtaL raaiM,"noun, loanword, Pali",danger risk; harm; dreadful harm
ภยาคติ,phaH yaaM khaH dtiL,,bias arising out of fear
ภร,phaH raH,,to support; feed; bring up; raise
ภรณ์พรรณ,phohnM phanM,proper noun,Phonphan [a woman's name] (one who has a fine complexion)
ภรณ์พรรณ,phohnM phanM,noun,a [certain type of] fine fabric
ภรณ์พันธ์,phohnM phanM,proper noun,"Phonphan [a woman's name] (one who is fascinated with clothes, dresses, ornaments, or accessories)"
ภรณ์พันธุ์,phohnM phanM,proper noun,Phonphan [a woman's name] (one who was born to a dressmaking family)
ภรต,phaH rohtH,,dancer; actor
ภรตวรรษ,phaH ratH dtaL watH,,India
ภรตศาสตร์,phaH rohtH dtaL saatL,,science of dancing and singing
ภรรดร,phanM daawnM,noun,a husband
ภรรดา,phanM daaM,noun,a husband
ภรรยา ,phanM raH yaaM,noun,wife
ภรรยา,phanM yaaM,,[alternate pronunciation of ภรรยา ]
ภรรยาเก่า,phanM raH yaaM gaoL,noun,ex-wife
ภรรยาของเขากระแนะกระแหนเขาอยู่ตลอดเวลา,phanM raH yaaM khaawngR khaoR graL naeH graL naaeR khaoR yuuL dtaL laawtL waehM laaM,example sentence,"""His wife always ridicules him."""
ภรรยาของตนว่าควรปลูกศาลเพียงตาทำพิธีบวงสรวงเทพยดาเพื่อขอทายาทไว้สืบสกุล,phanM raH yaaM khaawngR dtohnM waaF khuaanM bpluukL saanR phiiangM dtaaM thamM phiH theeM buaangM suaangR thaehpF phaH yaH daaM pheuuaF khaawR thaaM yaatF waiH seuupL saL goonM,example sentence,"""His wife said that they should build a temporary shrine [and] perform a ceremony of offerings to the spirits in order to beseech them for decedents to carry on their name."""
ภรรยาของผม,phanM raH yaaM khaawngR phohmR,noun,my wife
ภรรยาของผมทำกับข้าวไม่เป็น ทำงานบ้านก็ไม่เป็น เธอมักจะทิ้งผ้ากองพะเนินไว้หน้าห้องน้ำ,phanM raH yaaM khaawngR phohmR thamM gapL khaaoF maiF bpenM thamM ngaanM baanF gaawF maiF bpenM thuuhrM makH jaL thingH phaaF gaawngM phaH neernM waiH naaF haawngF naamH,example sentence,"""My wife can’t cook; she can’t do housework. She just throws [her] clothes into a pile in front of the bathroom."""
ภรรยาของผมอย่างน้อยผมสามารถจะเลี้ยงดูแลหล่อนได้ดีพอ,phanM raH yaaM khaawngR phohmR yaangL naawyH phohmR saaR maatF jaL liiangH duuM laaeM laawnL daiF deeM phaawM,example sentence,"""I’m at least able to support my wife well enough."""
ภรรยาต้องน้ำตาตกในเพราะได้สามีที่เจ้าชู้,phanM raH yaaM dtawngF namH dtaaM dtohkL naiM phrawH daiF saaR meeM theeF jaoF chuuH,example sentence,"""The wife is tormented because her husband is a philanderer."""
ภรรยาที่เขาไม่ได้วี่แววข่าวคราวอะไรเลย ตลอดยี่สิบกว่าปีที่ผ่านมา ,phanM raH yaaM theeF khaoR maiF daiF weeF waaeoM khaaoL khraaoM aL raiM leeuyM dtaL laawtL yeeF sipL gwaaL bpeeM theeF phaanL maaM,"noun, phrase, colloquial",a wife he hadn't seen hide nor hair of in over 20 years
ภรรยานอกสมรส,phanM raH yaaM naawkF sohmR rohtH,noun,illegal wife; concubine; second wife; minor wife
ภรรยามีหน้าที่ห้าประการ,phanM raH yaaM meeM naaF theeF haaF bpraL gaanM,example sentence,"""The wife has five duties:"""
ภรรยาไม่ควรก้าวก่ายงานของสามี,phanM raH yaaM maiF khuaanM gaaoF gaaiL ngaanM khaawngR saaR meeM,example sentence,"""A wife should not interfere with her husband's business."""
ภราดร,phaH raaM daawnM,noun,elder or younger brother
ภราดร,phaH raaM daL raH,,[alternate pronunciation of ภราดร]
ภราดรภาพ,phaH raaM daL raH phaapF,noun,brotherhood; fraternity
ภราดา,phaH raaM daaM,noun,brother (figuratively)
ภริยา ,phaH riH yaaM,noun,wife; wife of a high-ranking government official
ภรู,phruuM,,eyebrow
ภว,phaH waH,"Pali, Sanskrit",birth; existence; being
ภววิสัย ,phaH waH wiH saiR,noun,objective criteria
ภวังค์,phaH wangM,noun,"(properly) the limbo between conception and birth, unconciousness,the subconscious; (popularly) daydream, reverie, chimera, trance"
ภอ ,phaawM,,[pronunciation of the 32nd letter of the Thai alphabet]
ภักดี,phakH deeM,"adjective, verb, transitive, intransitive",[is] loyal to (one's chief); to have faith
noun,loyalty; faith; respect; allegiance; honesty,,
ภักษ์ ,phakH,verb,to eat; to consume food
ภักษการ,phakH saL gaanM,,cook; food-maker; chef
ภักษา,phakH saaR,noun,prey; victim; food
ภักษาหาร,phakH saaR haanR,noun,"food; a prey, a victim"
ภัณฑ์ ,phanM,noun,product; goods; wares; utensil; article; object; item; paraphernalia
ภัณฑาคาร,phanM thaaM khaanM,,storehouse; warehouse
ภัณฑาคาริก,phanM daaM khaaM rikH,,keeper of monks' belongings
ภัณฑารักษ์,phanM thaaM rakH,noun,storekeeper; curator
ภัต ,phatH,noun,food
ภัตตา ,phatH dtaaM,noun,food; meal
ภัตตาคาร,phatH dtaaM khaanM,"noun, formal, loanword, Pali",restaurant; dining room
ภัตตาคารอาหารทะเล ,phatH dtaaM khaanM aaM haanR thaH laehM,noun,seafood restaurant
ภัตตาหาร,phatH dtaaM haanR,noun,[holy language used by monks] food; (a monk's) meal
ภัตร,phatH,noun,food; rice
ภัทร,phatH,"adjective, loanword, Pali",magnificent; glorious; auspicious
ภัทรมหาราช,phatH maH haaR raatF,noun,a glorious sovereign
ภัทรบทมาส,phatH thaH raH bohtL thaH maatF,proper noun,the tenth lunar month
ภัย ,phaiM,"noun, loanword, Pali",harm; danger; catastrophe; fear; dread; peril
"noun, loanword, Pali",adventure,,
ภัยกว่า ,phaiM gwaaL,adverb,more dangerous
ภัยก่อการร้าย,phaiM gaawL gaanM raaiH,noun,terrorist threat
ภัยความมั่นคงของชาติ,phaiM khwaamM manF khohngM khaawngR chaatF,noun,a danger to national security
ภัยความมั่นคงต่อชาติ,phaiM khwaamM manF khohngM dtaawL chaatF,"noun, phrase",national security (dangers)
ภัยคุกคาม,phaiM khookH khaamM,noun,a threatening danger; a dangerous threat
ภัยคุกคามระดับโลก,phaiM khookH khaamM raH dapL lo:hkF,noun,global threat; world-wide threat
ภัยตามรูปแบบ,phaiM dtaamM ruupF baaepL,noun,conventional threat
ภัยธรรมชาติ,phaiM thamM maH chaatF,noun,natural disaster
